RECORDNAME,INTID,NBL2,NBL,NBT,NBR,SBL,SBT,SBR,EBU,EBL,EBT,EBR,EBR2,WBU,WBL,WBT,WBR,NEL,NET,NER,NWL2,NWL,NWT,NWR,SEL,SET,SER,SER2,SWL,SWT,SWR,PED,HOLD
HeadwayFact,191,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
Turning Speed,191,,15,60,9,15,60,9,9,15,60,9,,9,15,60,9,,,,,,,,,,,,,,,,
FirstDetect,191,,50,50,50,50,50,50,,50,50,50,,,50,50,50,,,,,,,,,,,,,,,,
LastDetect,191,,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,
DetectPhase1,191,,3,8,8,7,4,4,,1,6,6,,,5,2,2,,,,,,,,,,,,,,,,
DetectPhase2,191,,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,
DetectPhase3,191,,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,
DetectPhase4,191,,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,
SwitchPhase,191,,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,
numDetects,191,,1,1,1,1,1,1,,1,1,1,,,1,1,1,,,,,,,,,,,,,,,,
DetectPos1,191,,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,
DetectSize1,191,,50,50,50,50,50,50,,50,50,50,,,50,50,50,,,,,,,,,,,,,,,,
DetectType1,191,,3,3,3,3,3,3,,3,3,3,,,3,3,3,,,,,,,,,,,,,,,,
DetectExtend1,191,,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,
DetectQueue1,191,,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,
DetectDelay1,191,,0,0,0,0,0,0,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,
Exit Lanes,191,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
CBD,191,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,191,,373,292,135,329,209,371,0,237,263,214,,0,261,891,498,,,,,,,,,,,,,,,,
Up Node,193,,197,197,197,183,183,183,234,234,234,234,,235,235,235,235,,,,,,,,,,,,,,,,
Dest Node,193,,234,183,235,235,197,234,234,183,235,197,,235,197,234,183,,,,,,,,,,,,,,,,
Lanes,193,,1,2,0,1,2,0,0,1,1,0,,0,1,1,0,,,,,,,,,,,,,,,,
Shared,193,,0,2,,0,2,,,0,2,,,,0,2,,,,,,,,,,,,,,,,,
Width,193,,12,12,12,12,12,12,12,12,12,12,,12,12,12,12,,,,,,,,,,,,,,,,
Storage,193,,100,,,100,,,,95,,,,,70,,,,,,,,,,,,,,,,,,
Taper,193,,25,,,25,,,,25,,,,,25,,,,,,,,,,,,,,,,,,
StLanes,193,,1,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,
Grade,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,193,,,45,,,45,,,,30,,,,,30,,,,,,,,,,,,,,,,,
Phase1,193,,,1,,,1,,,,2,,,,,2,,,,,,,,,,,,,,,,,
PermPhase1,193,,1,,,1,,,,2,,,,,2,,,,,,,,,,,,,,,,,,
LostTime,193,,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,,,,,,,,,,,,,,,,
Lost Time Adjust,193,,-2,-2,0,-2,-2,0,0,-2,-2,0,,0,-2,-2,0,,,,,,,,,,,,,,,,
IdealFlow,193,,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,1900,1900,1900,1900,,,,,,,,,,,,,,,,
SatFlow,193,,1770,3536,0,1770,3529,0,0,1770,1641,0,,0,1770,1641,0,,,,,,,,,,,,,,,,
SatFlowPerm,193,,769,3536,0,145,3529,0,0,1345,1641,0,,0,1345,1641,0,,,,,,,,,,,,,,,,
Allow RTOR,193,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
SatFlowRTOR,193,,0,1,0,0,3,0,0,0,43,0,,0,0,12,0,,,,,,,,,,,,,,,,
Volume,193,,10,1857,10,10,569,10,0,40,10,40,,0,40,10,40,,,,,,,,,,,,,,,,
Peds,193,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Bicycles,193,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
PHF,193,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,,,
Growth,193,,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,,,,,,,,,,,,,,,,
HeavyVehicles,193,,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,,,,,,,,,,,,,,,
BusStops,193,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Midblock,193,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
Distance,193,,,480,,,2151,,,,901,,,,,952,,,,,,,,,,,,,,,,,
TravelTime,193,,,7.3,,,32.6,,,,20.5,,,,,21.6,,,,,,,,,,,,,,,,,
Right Channeled,193,,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,
Alignment,193,,0,0,1,0,0,1,3,0,0,1,,3,0,0,1,,,,,,,,,,,,,,,,
Enter Blocked,193,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
HeadwayFact,193,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
Turning Speed,193,,15,60,9,15,60,9,9,15,60,9,,9,15,60,9,,,,,,,,,,,,,,,,
FirstDetect,193,,50,50,,50,50,,,50,50,,,,50,50,,,,,,,,,,,,,,,,,
LastDetect,193,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectPhase1,193,,1,1,,1,1,,,2,2,,,,2,2,,,,,,,,,,,,,,,,,
DetectPhase2,193,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectPhase3,193,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectPhase4,193,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
SwitchPhase,193,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
numDetects,193,,1,1,,1,1,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,
DetectPos1,193,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectSize1,193,,50,50,,50,50,,,50,50,,,,50,50,,,,,,,,,,,,,,,,,
DetectType1,193,,3,3,,3,3,,,3,3,,,,3,3,,,,,,,,,,,,,,,,,
DetectExtend1,193,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectQueue1,193,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectDelay1,193,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
Exit Lanes,193,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
CBD,193,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,193,,11,2029,0,11,629,0,0,43,54,0,,0,43,54,0,,,,,,,,,,,,,,,,
Up Node,195,,198,198,198,410,410,410,211,211,211,211,,212,212,212,212,,,,,,,,,,,,,,,,
Dest Node,195,,211,410,212,212,198,211,211,410,212,198,,212,198,211,410,,,,,,,,,,,,,,,,
Lanes,195,,1,2,0,1,2,0,0,1,1,0,,0,1,1,0,,,,,,,,,,,,,,,,
Shared,195,,0,2,,0,2,,,0,2,,,,0,2,,,,,,,,,,,,,,,,,
Width,195,,12,12,12,12,12,12,12,12,12,12,,12,12,12,12,,,,,,,,,,,,,,,,
Storage,195,,50,,,60,,,,75,,,,,100,,,,,,,,,,,,,,,,,,
Taper,195,,25,,,25,,,,25,,,,,25,,,,,,,,,,,,,,,,,,
StLanes,195,,1,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,
Grade,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,195,,,45,,,45,,,,30,,,,,30,,,,,,,,,,,,,,,,,
Phase1,195,,,1,,,1,,,,2,,,,,2,,,,,,,,,,,,,,,,,
PermPhase1,195,,1,,,1,,,,2,,,,,2,,,,,,,,,,,,,,,,,,
LostTime,195,,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,,,,,,,,,,,,,,,,
Lost Time Adjust,195,,-2,-2,0,-2,-2,0,0,-2,-2,0,,0,-2,-2,0,,,,,,,,,,,,,,,,
IdealFlow,195,,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,1900,1900,1900,1900,,,,,,,,,,,,,,,,
SatFlow,195,,1770,3536,0,1770,3532,0,0,1770,1641,0,,0,1770,1641,0,,,,,,,,,,,,,,,,
SatFlowPerm,195,,548,3536,0,151,3532,0,0,1345,1641,0,,0,1345,1641,0,,,,,,,,,,,,,,,,
Allow RTOR,195,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
SatFlowRTOR,195,,0,1,0,0,2,0,0,0,43,0,,0,0,13,0,,,,,,,,,,,,,,,,
Volume,195,,10,1830,10,10,860,10,0,40,10,40,,0,40,10,40,,,,,,,,,,,,,,,,
Peds,195,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Bicycles,195,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
PHF,195,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,,,
Growth,195,,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,,,,,,,,,,,,,,,,
HeavyVehicles,195,,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,,,,,,,,,,,,,,,
BusStops,195,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Midblock,195,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
Distance,195,,,1084,,,1103,,,,377,,,,,351,,,,,,,,,,,,,,,,,
TravelTime,195,,,16.4,,,16.7,,,,8.6,,,,,8,,,,,,,,,,,,,,,,,
Right Channeled,195,,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,
Alignment,195,,0,0,1,0,0,1,3,0,0,1,,3,0,0,1,,,,,,,,,,,,,,,,
Enter Blocked,195,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
HeadwayFact,195,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
Turning Speed,195,,15,60,9,15,60,9,9,15,60,9,,9,15,60,9,,,,,,,,,,,,,,,,
FirstDetect,195,,50,50,,50,50,,,50,50,,,,50,50,,,,,,,,,,,,,,,,,
LastDetect,195,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectPhase1,195,,1,1,,1,1,,,2,2,,,,2,2,,,,,,,,,,,,,,,,,
DetectPhase2,195,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectPhase3,195,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectPhase4,195,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
SwitchPhase,195,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
numDetects,195,,1,1,,1,1,,,1,1,,,,1,1,,,,,,,,,,,,,,,,,
DetectPos1,195,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectSize1,195,,50,50,,50,50,,,50,50,,,,50,50,,,,,,,,,,,,,,,,,
DetectType1,195,,3,3,,3,3,,,3,3,,,,3,3,,,,,,,,,,,,,,,,,
DetectExtend1,195,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectQueue1,195,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
DetectDelay1,195,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
Exit Lanes,195,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
CBD,195,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,195,,11,2000,0,11,946,0,0,43,54,0,,0,43,54,0,,,,,,,,,,,,,,,,
Up Node,196,,208,208,208,180,180,180,161,161,161,161,,309,309,309,309,,,,,,,,,,,,,,,,
Dest Node,196,,161,180,309,309,208,161,161,180,309,208,,309,208,161,180,,,,,,,,,,,,,,,,
Lanes,196,,1,2,0,1,2,0,0,1,1,1,,0,1,1,0,,,,,,,,,,,,,,,,
Shared,196,,0,2,,0,2,,,0,1,,,,0,2,,,,,,,,,,,,,,,,,
Width,196,,12,12,12,12,12,12,12,12,12,12,,12,12,12,12,,,,,,,,,,,,,,,,
Storage,196,,135,,,150,,,,200,,,,,20,,,,,,,,,,,,,,,,,,
Taper,196,,25,,,25,,,,25,,,,,25,,,,,,,,,,,,,,,,,,
StLanes,196,,1,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,
Grade,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,196,,,45,,,45,,,,40,,,,,40,,,,,,,,,,,,,,,,,
Phase1,196,,,1,,,1,,,,2,,,,,2,,,,,,,,,,,,,,,,,
PermPhase1,196,,1,,,1,,,,2,,2,,,2,,,,,,,,,,,,,,,,,,
LostTime,196,,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,,,,,,,,,,,,,,,,
Lost Time Adjust,196,,-2,-2,0,-2,-2,0,0,-2,-2,-2,,0,-2,-2,0,,,,,,,,,,,,,,,,
IdealFlow,196,,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,1900,1900,1900,1900,,,,,,,,,,,,,,,,
SatFlow,196,,1770,3532,0,1770,3392,0,0,1681,1686,1583,,0,1770,1786,0,,,,,,,,,,,,,,,,
SatFlowPerm,196,,573,3532,0,212,3392,0,0,1333,1282,1553,,0,690,1786,0,,,,,,,,,,,,,,,,
Allow RTOR,196,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
SatFlowRTOR,196,,0,3,0,0,80,0,0,0,0,87,,0,0,1,0,,,,,,,,,,,,,,,,
Volume,196,,137,1385,21,5,566,193,0,456,2,80,,0,8,3,1,,,,,,,,,,,,,,,,
Peds,196,,3,0,0,0,0,3,0,2,0,6,,0,6,0,2,,,,,,,,,,,,,,,,
Bicycles,196,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
PHF,196,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,,,
Growth,196,,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,,,,,,,,,,,,,,,,
HeavyVehicles,196,,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,,,,,,,,,,,,,,,
BusStops,196,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Midblock,196,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
Distance,196,,,2039,,,3240,,,,2843,,,,,521,,,,,,,,,,,,,,,,,
TravelTime,196,,,30.9,,,49.1,,,,48.5,,,,,8.9,,,,,,,,,,,,,,,,,
Right Channeled,196,,,,0,,,2,,,,0,,,,,0,,,,,,,,,,,,,,,,
Right Radius,196,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,
Add Lanes,196,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Alignment,196,,0,0,1,0,0,1,3,0,0,1,,3,0,0,1,,,,,,,,,,,,,,,,
Enter Blocked,196,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
HeadwayFact,196,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
Turning Speed,196,,15,60,9,15,60,9,9,15,60,9,,9,15,60,9,,,,,,,,,,,,,,,,
FirstDetect,196,,50,50,,50,50,,,50,50,50,,,20,50,,,,,,,,,,,,,,,,,
LastDetect,196,,0,0,,0,0,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,
DetectPhase1,196,,1,1,,1,1,,,2,2,2,,,2,2,,,,,,,,,,,,,,,,,
DetectPhase2,196,,0,0,,0,0,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,
DetectPhase3,196,,0,0,,0,0,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,
DetectPhase4,196,,0,0,,0,0,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,
SwitchPhase,196,,0,0,,0,0,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,
numDetects,196,,1,1,,1,1,,,1,1,1,,,1,1,,,,,,,,,,,,,,,,,
DetectPos1,196,,0,0,,0,0,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,
DetectSize1,196,,50,50,,50,50,,,50,50,50,,,20,50,,,,,,,,,,,,,,,,,
DetectType1,196,,3,3,,3,3,,,3,3,3,,,3,3,,,,,,,,,,,,,,,,,
DetectExtend1,196,,0,0,,0,0,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,
DetectQueue1,196,,0,0,,0,0,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,
DetectDelay1,196,,0,0,,0,0,,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,
Exit Lanes,196,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
CBD,196,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic in shared lane,196,,,,,,,,,*50,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,196,,149,1528,0,5,825,0,0,248,250,87,,0,9,4,0,,,,,,,,,,,,,,,,
Up Node,197,,479,479,479,193,193,193,407,407,407,407,,434,434,434,434,,,,,,,,,,,,,,,,
Dest Node,197,,407,193,434,434,479,407,407,193,434,479,,434,479,407,193,,,,,,,,,,,,,,,,
Lanes,197,,0,2,0,0,2,0,0,0,1,0,,0,0,1,0,,,,,,,,,,,,,,,,
Shared,197,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
Width,197,,12,12,12,12,12,12,12,12,12,12,,12,12,12,12,,,,,,,,,,,,,,,,
Storage,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taper,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,197,,,45,,,45,,,,30,,,,,30,,,,,,,,,,,,,,,,,
Phase1,197,,,1,,,1,,,,2,,,,,2,,,,,,,,,,,,,,,,3,
LostTime,197,,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,,,,,,,,,,,,,,,,
Lost Time Adjust,197,,0,-2,0,0,-2,0,0,0,2,0,,0,0,2,0,,,,,,,,,,,,,,,,
IdealFlow,197,,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,1900,1900,1900,1900,,,,,,,,,,,,,,,,
SatFlow,197,,0,3539,0,0,3539,0,0,0,1863,0,,0,0,1863,0,,,,,,,,,,,,,,,,
SatFlowPerm,197,,0,3539,0,0,3539,0,0,0,1863,0,,0,0,1863,0,,,,,,,,,,,,,,,,
Allow RTOR,197,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
SatFlowRTOR,197,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Volume,197,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Peds,197,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Bicycles,197,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
PHF,197,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,,,
Growth,197,,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,,,,,,,,,,,,,,,,
HeavyVehicles,197,,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,,,,,,,,,,,,,,,
BusStops,197,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Midblock,197,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
Distance,197,,,579,,,480,,,,1423,,,,,1167,,,,,,,,,,,,,,,,,
TravelTime,197,,,8.8,,,7.3,,,,32.3,,,,,26.5,,,,,,,,,,,,,,,,,
Right Channeled,197,,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,
Alignment,197,,0,0,1,0,0,1,3,0,0,1,,3,0,0,1,,,,,,,,,,,,,,,,
Enter Blocked,197,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
HeadwayFact,197,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
Turning Speed,197,,15,60,9,15,60,9,9,15,60,9,,9,15,60,9,,,,,,,,,,,,,,,,
FirstDetect,197,,,50,,,50,,,,50,,,,,50,,,,,,,,,,,,,,,,,
LastDetect,197,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
DetectPhase1,197,,,1,,,1,,,,2,,,,,2,,,,,,,,,,,,,,,,,
DetectPhase2,197,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
DetectPhase3,197,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
DetectPhase4,197,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
SwitchPhase,197,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
numDetects,197,,,1,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,
DetectPos1,197,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
DetectSize1,197,,,50,,,50,,,,50,,,,,50,,,,,,,,,,,,,,,,,
DetectType1,197,,,3,,,3,,,,3,,,,,3,,,,,,,,,,,,,,,,,
DetectExtend1,197,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
DetectQueue1,197,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
DetectDelay1,197,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
Exit Lanes,197,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
CBD,197,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,197,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Up Node,198,,215,215,215,195,195,195,437,437,437,437,,436,436,436,436,,,,,,,,,,,,,,,,
Dest Node,198,,437,195,436,436,215,437,437,195,436,215,,436,215,437,195,,,,,,,,,,,,,,,,
Lanes,198,,0,3,0,0,2,0,0,0,1,0,,0,0,1,0,,,,,,,,,,,,,,,,
Shared,198,,0,0,,0,0,,,0,0,,,,0,0,,,,,,,,,,,,,,,,,
Width,198,,12,12,12,12,12,12,12,12,12,12,,12,12,12,12,,,,,,,,,,,,,,,,
Storage,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taper,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StLanes,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,198,,,45,,,45,,,,30,,,,,30,,,,,,,,,,,,,,,,,
Phase1,198,,,1,,,1,,,,2,,,,,2,,,,,,,,,,,,,,,,3,
LostTime,198,,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,,,,,,,,,,,,,,,,
Lost Time Adjust,198,,0,-2,0,0,-2,0,0,0,2,0,,0,0,2,0,,,,,,,,,,,,,,,,
IdealFlow,198,,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,1900,1900,1900,1900,,,,,,,,,,,,,,,,
SatFlow,198,,0,5085,0,0,3539,0,0,0,1863,0,,0,0,1863,0,,,,,,,,,,,,,,,,
SatFlowPerm,198,,0,5085,0,0,3539,0,0,0,1863,0,,0,0,1863,0,,,,,,,,,,,,,,,,
Allow RTOR,198,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
SatFlowRTOR,198,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Volume,198,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Peds,198,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Bicycles,198,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
PHF,198,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,0.92,0.92,0.92,0.92,,,,,,,,,,,,,,,,
Growth,198,,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,,,,,,,,,,,,,,,,
HeavyVehicles,198,,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,,,,,,,,,,,,,,,
BusStops,198,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
Midblock,198,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
Distance,198,,,2721,,,1084,,,,2783,,,,,2020,,,,,,,,,,,,,,,,,
TravelTime,198,,,41.2,,,16.4,,,,63.3,,,,,45.9,,,,,,,,,,,,,,,,,
Right Channeled,198,,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,
Alignment,198,,0,0,1,0,0,1,3,0,0,1,,3,0,0,1,,,,,,,,,,,,,,,,
Enter Blocked,198,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,
HeadwayFact,198,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,
Turning Speed,198,,15,60,9,15,60,9,9,15,60,9,,9,15,60,9,,,,,,,,,,,,,,,,
FirstDetect,198,,,50,,,50,,,,50,,,,,50,,,,,,,,,,,,,,,,,
LastDetect,198,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
DetectPhase1,198,,,1,,,1,,,,2,,,,,2,,,,,,,,,,,,,,,,,
DetectPhase2,198,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
DetectPhase3,198,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
DetectPhase4,198,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
SwitchPhase,198,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
numDetects,198,,,1,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,
DetectPos1,198,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
DetectSize1,198,,,50,,,50,,,,50,,,,,50,,,,,,,,,,,,,,,,,
DetectType1,198,,,3,,,3,,,,3,,,,,3,,,,,,,,,,,,,,,,,
DetectExtend1,198,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
DetectQueue1,198,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
DetectDelay1,198,,,0,,,0,,,,0,,,,,0,,,,,,,,,,,,,,,,,
