RECORDNAME,INTID,NBL2,NBL,NBT,NBR,SBL,SBT,SBR,EBU,EBL,EBT,EBR,EBR2,WBU,WBL,WBT,WBR,NEL,NET,NER,NWL2,NWL,NWT,NWR,SEL,SET,SER,SER2,SWL,SWT,SWR,PED,HOLD
TravelTime,4,,,10.3,,,16.7,,,,,,,,,,,,,,,,,,,,,,25.5,,,,
Right Channeled,4,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,
Alignment,4,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,0,,1,,
Enter Blocked,4,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,,
HeadwayFact,4,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,
Turning Speed,4,,,60,9,15,60,,,,,,,,,,,,,,,,,,,,,,15,,9,,
FirstDetect,4,,,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LastDetect,4,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exit Lanes,4,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,
CBD,4,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,4,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,0,,
Up Node,5,,503,503,503,312,312,312,284,284,284,284,,313,313,313,313,,,,,,,,,,,,,,,,
Dest Node,5,,284,312,313,313,503,284,284,312,313,503,,313,503,284,312,,,,,,,,,,,,,,,,
Lanes,5,,1,3,1,1,3,1,0,1,2,0,,0,2,1,1,,,,,,,,,,,,,,,,
Shared,5,,0,0,,0,0,,,0,2,,,,0,0,,,,,,,,,,,,,,,,,
Width,5,,12,12,12,12,12,12,12,12,12,12,,12,12,12,12,,,,,,,,,,,,,,,,
Storage,5,,250,,100,255,,145,,85,,,,,135,,95,,,,,,,,,,,,,,,,
Taper,5,,25,,25,25,,25,,25,,,,,25,,25,,,,,,,,,,,,,,,,
StLanes,5,,1,,1,1,,1,,1,,,,,1,,1,,,,,,,,,,,,,,,,
Grade,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,5,,,35,,,35,,,,30,,,,,30,,,,,,,,,,,,,,,,,
Phase1,5,,3,8,5,7,4,,,1,6,,,,5,2,7,,,,,,,,,,,,,,,,
PermPhase1,5,,8,,8,4,,4,,,,,,,,,2,,,,,,,,,,,,,,,,
LostTime,5,,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,,,,,,,,,,,,,,,,
