[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,4.0
allRedTime,1.0
Walk,5.0
DontWalk,11.0
HV,0.02
PHF,0.90
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,4.0
LostTimeAdjust,0.0
ScenarioDate,04/19/2016
ScenarioTime,9:00 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,2218665,261695,0,,,,,,
2,0,2218123,260485,0,,,,,,
3,1,2217593,260709,0,,,,,,
4,0,2220558,259441,0,,,,,,
6,1,2220753,259817,0,,,,,,
7,1,2220425,259200,0,,,,,,
8,0,2220921,259267,0,,,,,,
9,1,2221234,259729,0,,,,,,
10,1,2220693,258911,0,,,,,,
11,0,2221511,258983,0,,,,,,
12,1,2221753,259376,0,,,,,,
13,1,2221073,258621,0,,,,,,
14,1,2217675,259472,0,,,,,,
15,1,2224180,257800,0,,,,,,
16,0,2222995,258335,0,,,,,,
17,1,2223350,259066,0,,,,,,
18,1,2222780,257893,0,,,,,,
19,0,2222531,258551,0,,,,,,
Curve Pt X,23,,,,,,
Curve Pt Y,23,,,,,,
Curve Pt Z,23,,,,,,
Link Is Hidden,23,false,,,,,
Street Name Is Hidden,23,false,,,,,
Up ID,24,,22,,,,
Lanes,24,,2,,,,
Name,24,,Hamilton Place Blvd.,,,,
Distance,24,,506,,,,
Speed,24,,35,,,,
Time,24,,9.9,,,,
Grade,24,,0,,,,
Median,24,,0,,,,
Offset,24,,0,,,,
TWLTL,24,,0,,,,
Crosswalk Width,24,,16,,,,
Mandatory Distance,24,,200,,,,
Mandatory Distance2,24,,1539,,,,
Positioning Distance,24,,1026,,,,
Positioning Distance2,24,,2052,,,,
Curve Pt X,24,,,,,,
Curve Pt Y,24,,,,,,
Curve Pt Z,24,,,,,,
Link Is Hidden,24,,false,,,,
Street Name Is Hidden,24,,false,,,,
Up ID,25,,,,,,33
Lanes,25,,,,,,2
Name,25,,,,,,Lee Hwy
Distance,25,,,,,,1289
Speed,25,,,,,,40
Time,25,,,,,,22.0
Grade,25,,,,,,0
Median,25,,,,,,12
Offset,25,,,,,,0
TWLTL,25,,,,,,0
Crosswalk Width,25,,,,,,16
Mandatory Distance,25,,,,,,200
Mandatory Distance2,25,,,,,,1761
Positioning Distance,25,,,,,,1174
Positioning Distance2,25,,,,,,2348
Curve Pt X,25,,,,,,
Curve Pt Y,25,,,,,,
Curve Pt Z,25,,,,,,
Link Is Hidden,25,,,,,,false
Street Name Is Hidden,25,,,,,,false
Up ID,33,,,2,4,25,58
Lanes,33,,,5,5,5,4
Name,33,,,Shallowford Rd.,Shallowford Rd.,Lee Hwy,Lee Hwy
Distance,33,,,1272,1377,1289,1655
Speed,33,,,40,40,40,40
Time,33,,,21.7,23.5,22.0,28.2
Grade,33,,,0,0,0,0
Median,33,,,24,24,12,12
Offset,33,,,0,0,0,0
TWLTL,33,,,1,1,0,1
Crosswalk Width,33,,,16,16,16,16
Mandatory Distance,33,,,416,416,416,416
Mandatory Distance2,33,,,1761,1761,1761,1761
