[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,08/28/2023
ScenarioTime,10:52 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,3671,8231,0,,,,,,
2,1,5110,8629,0,,,,,,
3,0,4507,8340,0,,,,,,
4,1,4493,8585,0,,,,,,
5,1,4588,8008,0,,,,,,
6,3,-10209,4050,0,,,,,,
7,0,3701,8356,0,,,,,,
8,1,3701,8548,0,,,,,,
9,0,36,8837,0,,,,,,
10,0,1443,8710,0,,,,,,
11,1,1434,9006,0,,,,,,
12,1,1451,8453,0,,,,,,
13,1,-10083,4254,0,,,,,,
14,0,-1294,8642,0,,,,,,
15,1,-1309,8967,0,,,,,,
16,1,-1276,8264,0,,,,,,
17,1,46,9161,0,,,,,,
18,1,44,8349,0,,,,,,
20,0,-2767,8437,0,,,,,,
21,1,-2751,8308,0,,,,,,
Up ID,16,,14,,,,
Lanes,16,,1,,,,
Name,16,,Shelby Rd,,,,
Distance,16,,378,,,,
Speed,16,,30,,,,
Time,16,,8.6,,,,
Grade,16,,0,,,,
Median,16,,12,,,,
Offset,16,,0,,,,
TWLTL,16,,0,,,,
Crosswalk Width,16,,16,,,,
Mandatory Distance,16,,200,,,,
Mandatory Distance2,16,,1320,,,,
Positioning Distance,16,,880,,,,
Positioning Distance2,16,,1760,,,,
Curve Pt X,16,,,,,,
Curve Pt Y,16,,,,,,
Curve Pt Z,16,,,,,,
Link Is Hidden,16,,false,,,,
Street Name Is Hidden,16,,false,,,,
Up ID,17,9,,,,,
Lanes,17,1,,,,,
Name,17,,,,,,
Distance,17,324,,,,,
Speed,17,30,,,,,
Time,17,7.4,,,,,
Grade,17,0,,,,,
Median,17,12,,,,,
Offset,17,0,,,,,
TWLTL,17,0,,,,,
Crosswalk Width,17,16,,,,,
Mandatory Distance,17,200,,,,,
Mandatory Distance2,17,1320,,,,,
Positioning Distance,17,880,,,,,
Positioning Distance2,17,1760,,,,,
Curve Pt X,17,,,,,,
Curve Pt Y,17,,,,,,
Curve Pt Z,17,,,,,,
Link Is Hidden,17,false,,,,,
Street Name Is Hidden,17,false,,,,,
Up ID,18,,9,,,,
Lanes,18,,1,,,,
