osm_node_id,time_window,time_interval,travel_time_delta,capacity,v_over_c,cycle_no,cycle_length,green_time,red_time,stage_no,mvmt_text_id,start_green_time,end_green_time,geometry,
46,000019_00029,None,None,3469.1,0.25,0,90,67.5,22.5,1,WBT,000019,00029,0,
46,000019_00029,None,None,0,0,0,90,67.5,22.5,1,WBR,000019,00029,0,
46,00029_000019,None,None,568.4,0,0,90,22.5,67.5,2,NBL,00029,000019,0,
49,000052_00025,None,None,0,0,0,90,35.2,54.8,1,EBL,000052,00025,0,
49,000052_00025,None,None,1657.8,0.72,0,90,35.2,54.8,1,EBT,000052,00025,0,
49,000052_00025,None,None,0,0,0,90,35.2,54.8,1,EBR,000052,00025,0,
49,000019_000052,None,None,1561.5,0.03,0,90,28.2,61.8,1,WBL,000019,000052,0,
49,000019_00025,None,None,3243.1,0.32,0,90,63.4,26.6,1,WBT,000019,00025,0,
49,000019_00025,None,None,0,0,0,90,63.4,26.6,1,WBR,000019,00025,0,
49,00025_000019,None,None,391.4,0.07,0,90,26.6,63.4,2,NBL,00025,000019,0,
