INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed,,,,,,,,,,,,,,,,,,,
Speed,5,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,5,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Median,5,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Offset,5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
TWLTL,5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Width,5,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandatory Distance,5,,200,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandatory Distance2,5,,1320,,,,,,,,,,,,,,,,,,,,,,,,,,
Positioning Distance,5,,880,,,,,,,,,,,,,,,,,,,,,,,,,,
Positioning Distance2,5,,1760,,,,,,,,,,,,,,,,,,,,,,,,,,
Curve Pt X,5,,-346828,,,,,,,,,,,,,,,,,,,,,,,,,,
Curve Pt Y,5,,9398,,,,,,,,,,,,,,,,,,,,,,,,,,
Curve Pt Z,5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Link Is Hidden,5,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Name Is Hidden,5,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Up ID,6,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,6,,103rd Ave,,,,,,,,,,,,,,,,,,,,,,,,,,
Distance,6,,575,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,6,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,6,,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Grade,6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Median,6,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Offset,6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
TWLTL,6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Crosswalk Width,6,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandatory Distance,6,,200,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandatory Distance2,6,,1320,,,,,,,,,,,,,,,,,,,,,,,,,,
Positioning Distance,6,,880,,,,,,,,,,,,,,,,,,,,,,,,,,
Positioning Distance2,6,,1760,,,,,,,,,,,,,,,,,,,,,,,,,,
Curve Pt X,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curve Pt Y,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curve Pt Z,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link Is Hidden,6,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Name Is Hidden,6,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Up ID,7,10,8,11,9,,,,,,,,,,,,,,,,,,,,,,,,
Lanes,7,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,
