[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,03/03/2016
ScenarioTime,7:00 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,0,-1350,-100,0,,,,,,
2,0,47,-90,0,,,,,,
3,0,1255,-86,0,,,,,,
4,0,3860,-70,0,,,,,,
99,2,-700,-95,0,,,,,,
101,1,-3971,-113,0,,,,,,
102,1,-1344,1227,0,,,,,,
103,1,-400,520,0,,,,,,
104,1,277,484,0,,,,,,
Enter Blocked,1,,0,0,0,,,1,0,0,,,0,0,0,,,1,0,0,,,,,,,,,,,,,
HeadwayFact,1,,1.00,1.00,1.00,,,1.00,1.00,1.00,,,1.00,1.00,1.00,,,1.00,1.00,1.00,,,,,,,,,,,,,
Turning Speed,1,,15,60,6,,,15,60,6,,,15,60,6,,,15,60,6,,,,,,,,,,,,,
FirstDetect,1,,20,100,,,,20,100,,,,20,100,,,,20,100,,,,,,,,,,,,,,
LastDetect,1,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,,,,,,,,,,,
DetectPhase1,1,,7,4,,,,3,8,,,,1,6,,,,5,2,,,,,,,,,,,,,,
DetectPhase2,1,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,,,,,,,,,,,
DetectPhase3,1,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,,,,,,,,,,,
DetectPhase4,1,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,,,,,,,,,,,
SwitchPhase,1,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,,,,,,,,,,,
numDetects,1,,1,2,,,,1,2,,,,1,2,,,,1,2,,,,,,,,,,,,,,
DetectPos1,1,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,,,,,,,,,,,
DetectSize1,1,,20,6,,,,20,6,,,,20,6,,,,20,6,,,,,,,,,,,,,,
DetectType1,1,,3,3,,,,3,3,,,,3,3,,,,3,3,,,,,,,,,,,,,,
DetectExtend1,1,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,,,,,,,,,,,
DetectQueue1,1,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,,,,,,,,,,,
DetectDelay1,1,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,,,,,,,,,,,
DetectPos2,1,,,94,,,,,94,,,,,94,,,,,94,,,,,,,,,,,,,,
DetectSize2,1,,,6,,,,,6,,,,,6,,,,,6,,,,,,,,,,,,,,
DetectType2,1,,,3,,,,,3,,,,,3,,,,,3,,,,,,,,,,,,,,
DetectExtend2,1,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,
Exit Lanes,1,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,,,,,,
CBD,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,1,,49,473,0,,,228,864,0,,,71,1511,0,,,234,918,0,,,,,,,,,,,,,
Up Node,2,111,111,111,111,111,104,104,104,104,104,99,99,99,99,99,3,3,3,3,3,110,110,110,110,110,103,103,103,103,103,,
Dest Node,2,99,103,104,3,110,3,110,111,99,103,103,104,3,110,111,110,111,99,103,104,111,99,103,104,3,104,3,110,111,99,,
Lanes,2,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,2,3,0,1,0,2,0,3,1,0,2,0,3,1,,
Shared,2,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,
Width,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,,
Storage,2,,,,,,,,,,,,330,,235,,,315,,235,,,240,,130,,,220,,135,,,
Taper,2,,,,,,,,,,,,150,,100,,,150,,100,,,150,,100,,,150,,100,,,
StLanes,2,,,,,,,,,,,,2,,1,,,2,,1,,,2,,1,,,2,,1,,,
Grade,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Speed,2,,,30,,,,,30,,,,,40,,,,,35,,,,,30,,,,,30,,,,
Phase1,2,,,,,,,,,,,,5,2,,,,1,6,,,,7,,4,,,3,,8,,,
PermPhase1,2,,,,,,,,,,,,,,,2,,,,,6,,,,,8,,,,,4,,
LostTime,2,4,4,4,4,4,4,4,4,4,4,4,11.6,10.4,4,10.4,4,11.6,10.4,4,10.4,4,11.5,4,6,6,4,11.5,4,6,6,,
Lost Time Adjust,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
IdealFlow,2,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,2100,1900,1900,1900,2100,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,
SatFlow,2,0,0,0,0,0,0,0,0,0,0,0,3794,5085,0,1583,0,3433,5085,0,1583,0,3433,0,3610,1583,0,3433,0,3610,1583,,
SatFlowPerm,2,0,0,0,0,0,0,0,0,0,0,0,3794,5085,0,1583,0,3433,5085,0,1583,0,3433,0,3610,1583,0,3433,0,3610,1583,,
Allow RTOR,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
SatFlowRTOR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,293,0,0,0,0,241,0,0,0,0,241,,
Volume,2,0,0,0,0,0,0,0,0,0,0,0,400,1060,0,255,0,180,355,0,270,0,425,0,545,150,0,450,0,190,280,,
Peds,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bicycles,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
PHF,2,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,
Growth,2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,
HeavyVehicles,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,
BusStops,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Midblock,2,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,
Distance,2,,,676,,,,,618,,,,,747,,,,,1208,,,,,801,,,,,756,,,,
TravelTime,2,,,15.4,,,,,14.0,,,,,12.7,,,,,23.5,,,,,18.2,,,,,17.2,,,,
Right Channeled,2,,,,,0,,,,,0,,,,,0,,,,,0,,,,,4,,,,,4,,
Right Radius,2,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,25,,
Add Lanes,2,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,
Alignment,2,0,0,0,1,1,0,0,0,1,1,0,2,0,1,3,0,2,0,1,3,0,2,0,1,3,0,2,0,1,3,,
Enter Blocked,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,
HeadwayFact,2,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,*1.00,1.00,1.00,1.00,*1.00,1.00,1.00,1.00,1.00,1.00,*1.10,1.00,1.00,1.00,1.00,*1.10,1.00,1.00,1.00,,
Turning Speed,2,15,15,60,9,6,15,15,60,9,6,15,20,60,9,6,20,15,60,9,6,15,15,60,30,6,15,15,60,30,6,,
FirstDetect,2,,,,,,,,,,,,20,100,,20,,20,100,,20,,20,,100,20,,20,,100,20,,
LastDetect,2,,,,,,,,,,,,0,0,,0,,0,0,,0,,0,,0,0,,0,,0,0,,
DetectPhase1,2,,,,,,,,,,,,5,2,,2,,1,6,,6,,7,,4,8,,3,,8,4,,
DetectPhase2,2,,,,,,,,,,,,0,0,,0,,0,0,,0,,0,,0,0,,0,,0,0,,
DetectPhase3,2,,,,,,,,,,,,0,0,,0,,0,0,,0,,0,,0,0,,0,,0,0,,
DetectPhase4,2,,,,,,,,,,,,0,0,,0,,0,0,,0,,0,,0,0,,0,,0,0,,
SwitchPhase,2,,,,,,,,,,,,0,0,,0,,0,0,,0,,0,,0,0,,0,,0,0,,
numDetects,2,,,,,,,,,,,,1,2,,1,,1,2,,1,,1,,2,1,,1,,2,1,,
DetectPos1,2,,,,,,,,,,,,0,0,,0,,0,0,,0,,0,,0,0,,0,,0,0,,
DetectSize1,2,,,,,,,,,,,,20,6,,20,,20,6,,20,,20,,6,20,,20,,6,20,,
DetectType1,2,,,,,,,,,,,,3,3,,3,,3,3,,3,,3,,3,3,,3,,3,3,,
DetectExtend1,2,,,,,,,,,,,,0,0,,0,,0,0,,0,,0,,0,0,,0,,0,0,,
DetectQueue1,2,,,,,,,,,,,,0,0,,0,,0,0,,0,,0,,0,0,,0,,0,0,,
DetectDelay1,2,,,,,,,,,,,,0,0,,0,,0,0,,0,,0,,0,0,,0,,0,0,,
DetectPos2,2,,,,,,,,,,,,,94,,,,,94,,,,,,94,,,,,94,,,
DetectSize2,2,,,,,,,,,,,,,6,,,,,6,,,,,,6,,,,,6,,,
DetectType2,2,,,,,,,,,,,,,3,,,,,3,,,,,,3,,,,,3,,,
DetectExtend2,2,,,,,,,,,,,,,0,,,,,0,,,,,,0,,,,,0,,,
Exit Lanes,2,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,
CBD,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane Group Flow,2,0,0,0,0,0,0,0,0,0,0,0,435,1152,0,277,0,196,386,0,293,0,462,0,592,163,0,489,0,207,304,,
Up Node,3,,109,109,109,,,105,105,105,,,2,2,2,,,4,4,4,,,,,,,,,,,,,
Dest Node,3,,2,105,4,,,4,109,2,,,105,4,109,,,109,2,105,,,,,,,,,,,,,
