Distance,9,3981,1351,2643,5286
Speed,9,40,40,40,40
Time,9,67.9,23.0,45.1,90.1
Grade,9,0,0,0,0
Median,9,12,12,12,12
Offset,9,0,0,0,0
TWLTL,9,0,0,0,0
Crosswalk Width,9,16,16,16,16
Mandatory Distance,9,500,500,500,500
Mandatory Distance2,9,1761,1761,1761,1761
Positioning Distance,9,1174,1174,1174,1174
Positioning Distance2,9,2348,2348,2348,2348
Curve Pt X,9,,,,
Curve Pt Y,9,,,,
Curve Pt Z,9,,,,
Link Is Hidden,9,false,false,false,false
Street Name Is Hidden,9,false,false,false,false
Up ID,10,3600,17,9,11
Lanes,10,4,4,3,4
Name,10,67th Ave,67th Ave,Union Hills Dr,Union Hills Dr
Distance,10,5248,1288,5286,1219
Speed,10,40,40,40,40
Time,10,89.5,22.0,90.1,20.8
Grade,10,0,0,0,0
Median,10,12,12,12,12
Offset,10,0,0,0,0
TWLTL,10,0,0,0,0
Crosswalk Width,10,16,16,16,16
Mandatory Distance,10,500,500,500,500
Mandatory Distance2,10,1761,1761,1761,1761
Positioning Distance,10,1174,1174,1174,1174
Positioning Distance2,10,2348,2348,2348,2348
Curve Pt X,10,,,,11079
Curve Pt Y,10,,,,13539
Curve Pt Z,10,,,,0
Link Is Hidden,10,false,false,false,false
Street Name Is Hidden,10,false,false,false,false
Up ID,11,112,118,10,12
Lanes,11,2,3,3,3
Name,11,64th Ave,64th Dr,Union Hills Dr,Union Hills Dr
Distance,11,1131,279,1219,1313
Speed,11,25,25,40,40
Time,11,30.8,7.6,20.8,22.4
Grade,11,0,0,0,0
Median,11,12,12,12,12
Offset,11,0,0,0,0
TWLTL,11,0,0,0,0
Crosswalk Width,11,16,16,16,16
Mandatory Distance,11,500,500,500,500
Mandatory Distance2,11,1101,1101,1761,1761
Positioning Distance,11,734,734,1174,1174
Positioning Distance2,11,1468,1468,2348,2348
Curve Pt X,11,,,11431,12157
Curve Pt Y,11,,,13655,13972
Curve Pt Z,11,,,0,8873
Link Is Hidden,11,false,false,false,false
Street Name Is Hidden,11,false,false,false,false
Up ID,12,125,40,11,13
Lanes,12,1,2,4,4
Name,12,63rd Ave,63rd Ave,Union Hills Dr,Union Hills Dr
Distance,12,396,1267,1313,2614
Speed,12,25,25,40,40
Time,12,10.8,34.6,22.4,44.6
Grade,12,0,0,0,0
Median,12,0,0,12,12
Offset,12,0,0,0,0
TWLTL,12,0,0,0,0
Crosswalk Width,12,16,16,16,16
Mandatory Distance,12,500,500,500,500
Mandatory Distance2,12,1101,1101,1761,1761
Positioning Distance,12,734,734,1174,1174
Positioning Distance2,12,1468,1468,2348,2348
Curve Pt X,12,,,12441,
Curve Pt Y,12,,,14107,
Curve Pt Z,12,,,0,
Link Is Hidden,12,false,false,false,false
Street Name Is Hidden,12,false,false,false,false
Up ID,13,2850,2950,12,14
Lanes,13,4,4,4,4
Name,13,59th Ave,59th Ave,Union Hills Dr,Union Hills Dr
Distance,13,2650,2530,2614,1398
Speed,13,40,40,40,40
Time,13,45.2,43.1,44.6,23.8
Grade,13,0,0,0,0
Median,13,12,12,12,12
Offset,13,0,0,0,0
TWLTL,13,0,0,0,0
Crosswalk Width,13,16,16,16,16
Mandatory Distance,13,500,500,500,500
Mandatory Distance2,13,1761,1761,1761,1761
Positioning Distance,13,1174,1174,1174,1174
Positioning Distance2,13,2348,2348,2348,2348
Curve Pt X,13,,,,
Curve Pt Y,13,,,,
Curve Pt Z,13,,,,
Link Is Hidden,13,false,false,false,false
Street Name Is Hidden,13,false,false,false,false
Up ID,14,,311,13,15
Lanes,14,,2,4,3
Name,14,,57th Ave,Union Hills Dr,Union Hills Dr
Distance,14,,1211,1398,1249
Speed,14,,25,40,40
Time,14,,33.0,23.8,21.3
Grade,14,,0,0,0
Median,14,,12,12,12
Offset,14,,0,0,0
TWLTL,14,,0,0,0
Crosswalk Width,14,,16,16,16
Mandatory Distance,14,,500,500,500
Mandatory Distance2,14,,1101,1761,1761
Positioning Distance,14,,734,1174,1174
Positioning Distance2,14,,1468,2348,2348
Curve Pt X,14,,17060,,
Curve Pt Y,14,,14792,,
Curve Pt Z,14,,0,,
Link Is Hidden,14,,false,false,false
Street Name Is Hidden,14,,false,false,false
Up ID,15,116,111,14,18
Lanes,15,3,1,4,4
Name,15,55th Ave,55th Ave,Union Hills Dr,Union Hills Dr
Distance,15,1177,599,1249,1326
Speed,15,25,25,40,40
Time,15,32.1,16.3,21.3,22.6
Grade,15,0,0,0,0
Median,15,12,12,12,12
Offset,15,0,0,0,0
TWLTL,15,0,0,0,0
Crosswalk Width,15,16,16,16,16
Mandatory Distance,15,500,500,500,500
Mandatory Distance2,15,1101,1101,1761,1761
Positioning Distance,15,734,734,1174,1174
Positioning Distance2,15,1468,1468,2348,2348
Curve Pt X,15,,,,
Curve Pt Y,15,,,,
Curve Pt Z,15,,,,
Link Is Hidden,15,false,false,false,false
Street Name Is Hidden,15,false,false,false,false
Up ID,16,9,,,
Lanes,16,2,,,
Name,16,75th Ave,,,
Distance,16,1351,,,
Speed,16,40,,,
Time,16,23.0,,,
Grade,16,0,,,
Median,16,12,,,
Offset,16,0,,,
TWLTL,16,0,,,
Crosswalk Width,16,16,,,
Mandatory Distance,16,200,,,
Mandatory Distance2,16,1761,,,
Positioning Distance,16,1174,,,
Positioning Distance2,16,2348,,,
Curve Pt X,16,,,,
Curve Pt Y,16,,,,
Curve Pt Z,16,,,,
Link Is Hidden,16,false,,,
Street Name Is Hidden,16,false,,,
Up ID,17,10,,,
Lanes,17,3,,,
Name,17,67th Ave,,,
Distance,17,1288,,,
Speed,17,40,,,
Time,17,22.0,,,
Grade,17,0,,,
Median,17,12,,,
Offset,17,0,,,
TWLTL,17,0,,,
Crosswalk Width,17,16,,,
Mandatory Distance,17,200,,,
Mandatory Distance2,17,1761,,,
Positioning Distance,17,1174,,,
Positioning Distance2,17,2348,,,
Curve Pt X,17,,,,
Curve Pt Y,17,,,,
Curve Pt Z,17,,,,
Link Is Hidden,17,false,,,
Street Name Is Hidden,17,false,,,
Up ID,18,,,15,
Lanes,18,,,3,
Name,18,,,Union Hills Dr,
Distance,18,,,1326,
Speed,18,,,40,
Time,18,,,22.6,
Grade,18,,,0,
Median,18,,,12,
Offset,18,,,0,
TWLTL,18,,,0,
Crosswalk Width,18,,,16,
Mandatory Distance,18,,,200,
Mandatory Distance2,18,,,1761,
Positioning Distance,18,,,1174,
Positioning Distance2,18,,,2348,
Curve Pt X,18,,,,
Curve Pt Y,18,,,,
Curve Pt Z,18,,,,
Link Is Hidden,18,,,false,
Street Name Is Hidden,18,,,false,
Up ID,40,12,,,
Lanes,40,1,,,
Name,40,63rd Ave,,,
Distance,40,1267,,,
Speed,40,25,,,
Time,40,34.6,,,
Grade,40,0,,,
Median,40,0,,,
Offset,40,0,,,
TWLTL,40,0,,,
Crosswalk Width,40,16,,,
Mandatory Distance,40,200,,,
Mandatory Distance2,40,1101,,,
Positioning Distance,40,734,,,
Positioning Distance2,40,1468,,,
Curve Pt X,40,,,,
Curve Pt Y,40,,,,
Curve Pt Z,40,,,,
Link Is Hidden,40,false,,,
Street Name Is Hidden,40,false,,,
Up ID,43,,,3,4
Lanes,43,,,*2,*3
Name,43,,,Union Hills Dr,Union Hills Dr
Distance,43,,,1063,898
Speed,43,,,40,40
Time,43,,,18.1,15.3
Grade,43,,,0,0
Median,43,,,12,12
Offset,43,,,0,0
TWLTL,43,,,0,0
Crosswalk Width,43,,,16,16
Mandatory Distance,43,,,100,100
Mandatory Distance2,43,,,1761,1761
Positioning Distance,43,,,1174,1174
Positioning Distance2,43,,,2348,2348
Curve Pt X,43,,,,
Curve Pt Y,43,,,,
Curve Pt Z,43,,,,
Link Is Hidden,43,,,false,false
Street Name Is Hidden,43,,,false,false
Up ID,48,,,3,
Lanes,48,,,1,
Name,48,,,,
Distance,48,,,962,
Speed,48,,,25,
Time,48,,,26.2,
Grade,48,,,0,
Median,48,,,24,
Offset,48,,,0,
TWLTL,48,,,0,
Crosswalk Width,48,,,16,
Mandatory Distance,48,,,200,
Mandatory Distance2,48,,,1101,
Positioning Distance,48,,,734,
Positioning Distance2,48,,,1468,
Curve Pt X,48,,,-1721,
Curve Pt Y,48,,,12811,
Curve Pt Z,48,,,0,
Link Is Hidden,48,,,false,
Street Name Is Hidden,48,,,false,
Up ID,64,1,,,
Lanes,64,2,,,
Name,64,91st Ave,,,
Distance,64,4007,,,
Speed,64,40,,,
Time,64,68.3,,,
Grade,64,0,,,
Median,64,12,,,
Offset,64,0,,,
TWLTL,64,1,,,
Crosswalk Width,64,16,,,
Mandatory Distance,64,200,,,
Mandatory Distance2,64,1761,,,
Positioning Distance,64,1174,,,
Positioning Distance2,64,2348,,,
Curve Pt X,64,,,,
Curve Pt Y,64,,,,
Curve Pt Z,64,,,,
Link Is Hidden,64,false,,,
Street Name Is Hidden,64,false,,,
Up ID,75,,1,,
Lanes,75,,2,,
Name,75,,91st Ave,,
Distance,75,,2636,,
Speed,75,,40,,
Time,75,,44.9,,
Grade,75,,0,,
Median,75,,12,,
Offset,75,,0,,
TWLTL,75,,1,,
Crosswalk Width,75,,16,,
Mandatory Distance,75,,200,,
Mandatory Distance2,75,,1761,,
Positioning Distance,75,,1174,,
Positioning Distance2,75,,2348,,
Curve Pt X,75,,,,
Curve Pt Y,75,,,,
Curve Pt Z,75,,,,
Link Is Hidden,75,,false,,
Street Name Is Hidden,75,,false,,
Up ID,107,,,7,8
Lanes,107,,,3,*2
Name,107,,,Union Hills Dr,Union Hills Dr
Distance,107,,,378,411
Speed,107,,,40,40
Time,107,,,6.4,7.0
Grade,107,,,0,0
Median,107,,,24,24
Offset,107,,,0,0
TWLTL,107,,,0,0
Crosswalk Width,107,,,16,16
Mandatory Distance,107,,,100,100
Mandatory Distance2,107,,,1761,1761
Positioning Distance,107,,,1174,1174
Positioning Distance2,107,,,2348,2348
Curve Pt X,107,,,,
Curve Pt Y,107,,,,
Curve Pt Z,107,,,,
Link Is Hidden,107,,,false,false
Street Name Is Hidden,107,,,false,false
Up ID,111,15,,,
Lanes,111,1,,,
Name,111,55th Ave,,,
Distance,111,599,,,
Speed,111,25,,,
Time,111,16.3,,,
Grade,111,0,,,
Median,111,0,,,
Offset,111,0,,,
TWLTL,111,0,,,
Crosswalk Width,111,16,,,
Mandatory Distance,111,200,,,
Mandatory Distance2,111,1101,,,
Positioning Distance,111,734,,,
Positioning Distance2,111,1468,,,
Curve Pt X,111,,,,
Curve Pt Y,111,,,,
Curve Pt Z,111,,,,
Link Is Hidden,111,false,,,
Street Name Is Hidden,111,false,,,
Up ID,112,,11,,
Lanes,112,,1,,
Name,112,,64th Ave,,
Distance,112,,1131,,
Speed,112,,25,,
Time,112,,30.8,,
Grade,112,,0,,
Median,112,,12,,
Offset,112,,0,,
TWLTL,112,,0,,
Crosswalk Width,112,,16,,
Mandatory Distance,112,,200,,
Mandatory Distance2,112,,1101,,
Positioning Distance,112,,734,,
Positioning Distance2,112,,1468,,
Curve Pt X,112,,,,
Curve Pt Y,112,,,,
Curve Pt Z,112,,,,
Link Is Hidden,112,,false,,
Street Name Is Hidden,112,,false,,
Up ID,116,,15,,
Lanes,116,,1,,
Name,116,,55th Ave,,
Distance,116,,1177,,
Speed,116,,25,,
Time,116,,32.1,,
Grade,116,,0,,
Median,116,,12,,
Offset,116,,0,,
TWLTL,116,,0,,
Crosswalk Width,116,,16,,
Mandatory Distance,116,,200,,
Mandatory Distance2,116,,1101,,
Positioning Distance,116,,734,,
Positioning Distance2,116,,1468,,
Curve Pt X,116,,,,
Curve Pt Y,116,,,,
Curve Pt Z,116,,,,
Link Is Hidden,116,,false,,
Street Name Is Hidden,116,,false,,
Up ID,117,,6,,
Lanes,117,,2,,
Name,117,,101 SB,,
Distance,117,,595,,
Speed,117,,45,,
Time,117,,9.0,,
Grade,117,,0,,
Median,117,,0,,
Offset,117,,0,,
TWLTL,117,,0,,
Crosswalk Width,117,,16,,
Mandatory Distance,117,,200,,
Mandatory Distance2,117,,1980,,
Positioning Distance,117,,1320,,
Positioning Distance2,117,,2640,,
Curve Pt X,117,,,,
Curve Pt Y,117,,,,
Curve Pt Z,117,,,,
Link Is Hidden,117,,false,,
Street Name Is Hidden,117,,false,,
Up ID,118,11,,,
Lanes,118,1,,,
Name,118,64th Dr,,,
Distance,118,279,,,
Speed,118,25,,,
Time,118,7.6,,,
Grade,118,0,,,
Median,118,12,,,
Offset,118,0,,,
TWLTL,118,0,,,
Crosswalk Width,118,16,,,
Mandatory Distance,118,200,,,
Mandatory Distance2,118,1101,,,
Positioning Distance,118,734,,,
Positioning Distance2,118,1468,,,
Curve Pt X,118,,,,
Curve Pt Y,118,,,,
Curve Pt Z,118,,,,
Link Is Hidden,118,false,,,
Street Name Is Hidden,118,false,,,
Up ID,119,,5,,
Lanes,119,,1,,
Name,119,,8200 W,,
Distance,119,,239,,
Speed,119,,25,,
Time,119,,6.5,,
Grade,119,,0,,
Median,119,,12,,
Offset,119,,0,,
TWLTL,119,,0,,
Crosswalk Width,119,,16,,
Mandatory Distance,119,,200,,
Mandatory Distance2,119,,1101,,
Positioning Distance,119,,734,,
Positioning Distance2,119,,1468,,
Curve Pt X,119,,,,
Curve Pt Y,119,,,,
Curve Pt Z,119,,,,
Link Is Hidden,119,,false,,
Street Name Is Hidden,119,,false,,
Up ID,121,4,,,
Lanes,121,*3,,,
Name,121,83rd Ave,,,
Distance,121,1845,,,
Speed,121,40,,,
Time,121,31.4,,,
Grade,121,0,,,
Median,121,24,,,
Offset,121,0,,,
TWLTL,121,0,,,
Crosswalk Width,121,16,,,
Mandatory Distance,121,200,,,
Mandatory Distance2,121,1761,,,
Positioning Distance,121,1174,,,
Positioning Distance2,121,2348,,,
Curve Pt X,121,,,,
Curve Pt Y,121,,,,
Curve Pt Z,121,,,,
Link Is Hidden,121,false,,,
Street Name Is Hidden,121,false,,,
Up ID,123,379,4,,
Lanes,123,2,2,,
Name,123,83rd Ave,83rd Ave,,
Distance,123,828,650,,
Speed,123,40,40,,
Time,123,14.1,11.1,,
Grade,123,0,0,,
Median,123,24,24,,
Offset,123,0,0,,
TWLTL,123,0,0,,
Crosswalk Width,123,16,16,,
Mandatory Distance,123,100,100,,
Mandatory Distance2,123,1761,1761,,
Positioning Distance,123,1174,1174,,
Positioning Distance2,123,2348,2348,,
Curve Pt X,123,,,,
Curve Pt Y,123,,,,
Curve Pt Z,123,,,,
Link Is Hidden,123,false,false,,
Street Name Is Hidden,123,false,false,,
Up ID,124,8,,,
Lanes,124,1,,,
Name,124,79th Ave.,,,
Distance,124,904,,,
Speed,124,25,,,
Time,124,24.7,,,
Grade,124,0,,,
Median,124,12,,,
Offset,124,0,,,
TWLTL,124,0,,,
Crosswalk Width,124,16,,,
Mandatory Distance,124,200,,,
Mandatory Distance2,124,1101,,,
Positioning Distance,124,734,,,
Positioning Distance2,124,1468,,,
Curve Pt X,124,,,,
Curve Pt Y,124,,,,
Curve Pt Z,124,,,,
Link Is Hidden,124,false,,,
Street Name Is Hidden,124,false,,,
Up ID,125,,12,,
Lanes,125,,1,,
Name,125,,63rd Ave,,
Distance,125,,396,,
Speed,125,,25,,
Time,125,,10.8,,
Grade,125,,0,,
Median,125,,0,,
Offset,125,,0,,
