[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,0.5
Walk,5.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,11
DefFlow,2000
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,09/30/2020

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
Crosswalk Width,4,16,16,16,16
Mandatory Distance,4,500,500,500,500
Mandatory Distance2,4,1761,1761,1101,1101
Positioning Distance,4,1174,1174,734,734
Positioning Distance2,4,2348,2348,1468,1468
Curve Pt X,4,,,526740,
Curve Pt Y,4,,,77997,
Curve Pt Z,4,,,0,
Link Is Hidden,4,false,false,false,false
Street Name Is Hidden,4,false,false,false,false
Up ID,5,360,4,238,565
Lanes,5,4,3,3,3
Name,5,83rd Ave,83rd Ave,Van Buren,Van Buren
Distance,5,1702,2698,2364,616
Speed,5,45,40,45,45
Time,5,25.8,46.0,35.8,9.3
Grade,5,0,0,0,0
Median,5,11,11,11,11
Offset,5,0,0,0,0
TWLTL,5,1,1,1,1
Crosswalk Width,5,16,16,16,16
Mandatory Distance,5,500,500,500,500
Mandatory Distance2,5,1980,1761,1980,1980
Positioning Distance,5,1320,1174,1320,1320
Positioning Distance2,5,2640,2348,2640,2640
Curve Pt X,5,,,,
Curve Pt Y,5,,,,
Curve Pt Z,5,,,,
Link Is Hidden,5,false,false,false,false
Street Name Is Hidden,5,false,false,false,false
Up ID,6,272,403,1,8
Lanes,6,3,3,4,4
Name,6,79th Ave,79th Ave,McDowell,McDowell
Distance,6,849,608,2643,2656
Speed,6,25,25,45,45
Time,6,23.2,16.6,40.0,40.2
Grade,6,0,0,0,0
Median,6,11,11,11,11
Offset,6,0,0,0,0
TWLTL,6,1,1,1,1
Crosswalk Width,6,16,16,16,16
Mandatory Distance,6,500,500,500,500
Mandatory Distance2,6,1101,1101,1980,1980
Positioning Distance,6,734,734,1320,1320
Positioning Distance2,6,1468,1468,2640,2640
Curve Pt X,6,,,,
Curve Pt Y,6,,,,
Curve Pt Z,6,,,,
Link Is Hidden,6,false,false,false,false
Street Name Is Hidden,6,false,false,false,false
Up ID,7,95,405,530,562
Lanes,7,2,3,3,4
Name,7,79th Ave,79th Ave,Van Buren,Van Buren
Distance,7,970,935,207,674
Speed,7,25,25,45,45
Time,7,26.5,25.5,3.1,10.2
Grade,7,0,0,0,0
Median,7,11,11,11,11
Offset,7,0,0,0,0
TWLTL,7,0,0,1,1
Crosswalk Width,7,16,16,16,16
Mandatory Distance,7,500,500,500,500
Mandatory Distance2,7,1101,1101,1980,1980
Positioning Distance,7,734,734,1320,1320
Positioning Distance2,7,1468,1468,2640,2640
Curve Pt X,7,,,,
Curve Pt Y,7,,,,
Curve Pt Z,7,,,,
Link Is Hidden,7,false,false,false,false
Street Name Is Hidden,7,false,false,false,false
Up ID,8,9,98,6,109
Lanes,8,4,4,4,4
Name,8,75th Ave,75th Ave,McDowell,McDowell
Distance,8,862,1266,2656,595
Speed,8,45,45,45,45
Time,8,13.1,19.2,40.2,9.0
Grade,8,0,0,0,0
Median,8,11,11,11,11
Offset,8,0,0,0,0
TWLTL,8,0,1,1,1
Crosswalk Width,8,16,16,16,16
Mandatory Distance,8,500,500,500,500
Mandatory Distance2,8,1980,1980,1980,1980
Positioning Distance,8,1320,1320,1320,1320
Positioning Distance2,8,2640,2640,2640,2640
Curve Pt X,8,,,,
Curve Pt Y,8,,,,
Curve Pt Z,8,,,,
Link Is Hidden,8,false,false,false,false
Street Name Is Hidden,8,false,false,false,false
Up ID,9,10,8,249,947
Lanes,9,4,4,0,3
Name,9,75th Ave,75th Ave,I-10 WB,I-10 WB
Distance,9,495,862,1329,1340
Speed,9,45,45,40,40
Time,9,7.5,13.1,22.7,22.8
Grade,9,0,0,0,0
Median,9,11,11,11,11
Offset,9,0,0,0,0
TWLTL,9,0,0,0,0
Crosswalk Width,9,16,16,16,16
Mandatory Distance,9,500,500,500,500
Mandatory Distance2,9,1980,1980,1761,1761
Positioning Distance,9,1320,1320,1174,1174
Positioning Distance2,9,2640,2640,2348,2348
Curve Pt X,9,,,,
Curve Pt Y,9,,,,
Curve Pt Z,9,,,,
Link Is Hidden,9,false,false,false,false
Street Name Is Hidden,9,false,false,false,false
Up ID,10,11,9,77,173
Lanes,10,3,4,3,0
Name,10,75th Ave,75th Ave,I-10 EB,I-10 EB
Distance,10,1159,495,1299,1343
Speed,10,45,45,40,40
Time,10,17.6,7.5,22.1,22.9
Grade,10,0,0,0,0
Median,10,22,22,11,11
Offset,10,0,0,0,0
TWLTL,10,1,0,0,0
Crosswalk Width,10,16,16,16,16
Mandatory Distance,10,500,500,500,500
Mandatory Distance2,10,1980,1980,1761,1761
Positioning Distance,10,1320,1320,1174,1174
Positioning Distance2,10,2640,2640,2348,2348
Curve Pt X,10,,,,
Curve Pt Y,10,,,,
Curve Pt Z,10,,,,
Link Is Hidden,10,false,false,false,false
Street Name Is Hidden,10,false,false,false,false
Up ID,11,12,10,365,359
Lanes,11,3,3,3,3
Name,11,75th Ave,75th Ave,Roosevelt,Roosevelt
Distance,11,2536,1159,875,881
Speed,11,45,45,25,25
Time,11,38.4,17.6,23.9,24.0
Grade,11,0,0,0,0
Median,11,11,11,11,11
Offset,11,0,0,0,0
TWLTL,11,1,1,1,1
Crosswalk Width,11,16,16,16,16
Mandatory Distance,11,500,500,500,500
Mandatory Distance2,11,1980,1980,1101,1101
Positioning Distance,11,1320,1320,734,734
Positioning Distance2,11,2640,2640,1468,1468
Curve Pt X,11,,,,
Curve Pt Y,11,,,,
Curve Pt Z,11,,,,
Link Is Hidden,11,false,false,false,false
Street Name Is Hidden,11,false,false,false,false
Up ID,12,678,11,563,531
Lanes,12,3,3,3,3
Name,12,75th Ave,75th Ave,Van Buren,Van Buren 
Distance,12,5395,2536,566,1361
Speed,12,45,45,45,45
Time,12,81.7,38.4,8.6,20.6
Grade,12,0,0,0,0
Median,12,11,11,11,11
Offset,12,0,0,0,0
TWLTL,12,1,1,1,1
Crosswalk Width,12,16,16,16,16
Mandatory Distance,12,500,500,500,500
Mandatory Distance2,12,1980,1980,1980,1980
Positioning Distance,12,1320,1320,1320,1320
Positioning Distance2,12,2640,2640,2640,2640
Curve Pt X,12,,,,
Curve Pt Y,12,,,,
Curve Pt Z,12,,,,
Link Is Hidden,12,false,false,false,false
Street Name Is Hidden,12,false,false,false,false
Up ID,13,97,96,109,15
Lanes,13,2,2,3,3
Name,13,71st Ave,71st Ave,McDowell,McDowell
Distance,13,375,935,2006,2595
Speed,13,25,30,45,45
Time,13,10.2,21.3,30.4,39.3
Grade,13,0,0,0,0
Median,13,11,11,11,11
Offset,13,0,0,0,0
TWLTL,13,0,0,1,1
Crosswalk Width,13,16,16,16,16
Mandatory Distance,13,500,500,500,500
Mandatory Distance2,13,1101,1320,1980,1980
Positioning Distance,13,734,880,1320,1320
Positioning Distance2,13,1468,1760,2640,2640
Curve Pt X,13,,,,
Curve Pt Y,13,,,,
Curve Pt Z,13,,,,
Link Is Hidden,13,false,false,false,false
Street Name Is Hidden,13,false,false,false,false
Up ID,14,372,318,531,20
Lanes,14,2,2,4,4
Name,14,71st Ave,71st Ave,Van Buren,Van Buren
Distance,14,715,529,1333,2666
Speed,14,25,30,45,45
Time,14,19.5,12.0,20.2,40.4
Grade,14,0,0,0,0
Median,14,11,11,11,11
Offset,14,0,0,0,0
TWLTL,14,0,0,1,1
Crosswalk Width,14,16,16,16,16
Mandatory Distance,14,500,500,500,500
Mandatory Distance2,14,1101,1320,1980,1980
Positioning Distance,14,734,880,1320,1320
Positioning Distance2,14,1468,1760,2640,2640
Curve Pt X,14,,,,
Curve Pt Y,14,,,,
Curve Pt Z,14,,,,
Link Is Hidden,14,false,false,false,false
Street Name Is Hidden,14,false,false,false,false
Up ID,15,16,90,13,21
Lanes,15,4,4,3,4
Name,15,67th Ave,67th Ave,McDowell,McDowell
Distance,15,883,1330,2595,2510
Speed,15,40,40,45,45
Time,15,15.1,22.7,39.3,38.0
Grade,15,0,0,0,0
Median,15,11,11,11,11
Offset,15,0,0,0,0
TWLTL,15,0,0,1,1
Crosswalk Width,15,16,16,16,16
Mandatory Distance,15,500,500,500,500
Mandatory Distance2,15,1761,1761,1980,1980
Positioning Distance,15,1174,1174,1320,1320
Positioning Distance2,15,2348,2348,2640,2640
Curve Pt X,15,,,,
Curve Pt Y,15,,,,
Curve Pt Z,15,,,,
Link Is Hidden,15,false,false,false,false
Street Name Is Hidden,15,false,false,false,false
Up ID,16,17,15,606,607
Lanes,16,4,4,0,4
Name,16,67th Ave,67th Ave,I-10 WB,I-10 WB
Distance,16,502,883,1150,1346
Speed,16,40,40,40,40
Time,16,8.6,15.1,19.6,22.9
Grade,16,0,0,0,0
Median,16,22,22,11,11
Offset,16,0,0,0,0
TWLTL,16,0,0,0,0
Crosswalk Width,16,16,16,16,16
Mandatory Distance,16,500,500,500,500
Mandatory Distance2,16,1761,1761,1761,1761
Positioning Distance,16,1174,1174,1174,1174
Positioning Distance2,16,2348,2348,2348,2348
Curve Pt X,16,,,,
Curve Pt Y,16,,,,
Curve Pt Z,16,,,,
Link Is Hidden,16,false,false,false,false
Street Name Is Hidden,16,false,false,false,false
Up ID,17,18,16,221,608
Lanes,17,3,4,4,0
Name,17,67th Ave,67th Ave,I-10 EB,I-10 EB
Distance,17,704,502,1162,1317
Speed,17,40,40,40,40
Time,17,12.0,8.6,19.8,22.4
Grade,17,0,0,0,0
Median,17,22,22,11,11
Offset,17,0,0,0,0
TWLTL,17,0,0,0,0
Crosswalk Width,17,16,16,16,16
Mandatory Distance,17,500,500,500,500
Mandatory Distance2,17,1761,1761,1761,1761
Positioning Distance,17,1174,1174,1174,1174
Positioning Distance2,17,2348,2348,2348,2348
Curve Pt X,17,,,,
Curve Pt Y,17,,,,
Curve Pt Z,17,,,,
Link Is Hidden,17,false,false,false,false
Street Name Is Hidden,17,false,false,false,false
Up ID,18,19,17,953,80
Lanes,18,3,4,2,1
Name,18,67th Ave,67th Ave,Latham,Latham
Distance,18,497,704,548,532
Speed,18,40,40,25,25
Time,18,8.5,12.0,14.9,14.5
Grade,18,0,0,0,0
Median,18,11,11,11,11
Offset,18,0,0,0,0
TWLTL,18,0,0,0,0
Crosswalk Width,18,16,16,16,16
Mandatory Distance,18,500,500,500,500
Mandatory Distance2,18,1761,1761,1101,1101
Positioning Distance,18,1174,1174,734,734
Positioning Distance2,18,2348,2348,1468,1468
Curve Pt X,18,,,,
Curve Pt Y,18,,,,
Curve Pt Z,18,,,,
Link Is Hidden,18,false,false,false,false
Street Name Is Hidden,18,false,false,false,false
Up ID,19,20,18,371,370
Lanes,19,3,4,2,2
Name,19,67th Ave,67th Ave,Roosevelt,Roosevelt
Distance,19,2592,497,890,878
Speed,19,40,40,25,25
Time,19,44.2,8.5,24.3,23.9
Grade,19,0,0,0,0
Median,19,11,11,11,11
Offset,19,0,0,0,0
TWLTL,19,1,0,0,1
Crosswalk Width,19,16,16,16,16
Mandatory Distance,19,500,500,500,500
Mandatory Distance2,19,1761,1761,1101,1101
Positioning Distance,19,1174,1174,734,734
Positioning Distance2,19,2348,2348,1468,1468
Curve Pt X,19,,,,
Curve Pt Y,19,,,,
Curve Pt Z,19,,,,
Link Is Hidden,19,false,false,false,false
Street Name Is Hidden,19,false,false,false,false
Up ID,20,682,19,14,22
Lanes,20,3,3,3,4
Name,20,67th Ave,67th Ave,Van Buren,Van Buren
Distance,20,5334,2592,2666,2548
Speed,20,40,40,45,45
Time,20,90.9,44.2,40.4,38.6
Grade,20,0,0,0,0
Median,20,11,11,11,11
Offset,20,0,0,0,0
TWLTL,20,1,1,1,1
Crosswalk Width,20,16,16,16,16
Mandatory Distance,20,500,500,500,500
Mandatory Distance2,20,1761,1761,1980,1980
Positioning Distance,20,1174,1174,1320,1320
Positioning Distance2,20,2348,2348,2640,2640
Curve Pt X,20,,,,
Curve Pt Y,20,,,,
Curve Pt Z,20,,,,
Link Is Hidden,20,false,false,false,false
Street Name Is Hidden,20,false,false,false,false
Up ID,21,319,74,15,23
Lanes,21,2,2,3,4
Name,21,63rd Ave,63rd Ave,McDowell,McDowell
Distance,21,603,1257,2510,2615
Speed,21,25,25,45,45
Time,21,16.4,34.3,38.0,39.6
Grade,21,0,0,0,0
Median,21,11,11,*14,*14
Offset,21,0,0,0,0
TWLTL,21,0,0,1,1
Crosswalk Width,21,16,16,16,16
Mandatory Distance,21,500,500,500,500
Mandatory Distance2,21,1101,1101,1980,1980
Positioning Distance,21,734,734,1320,1320
Positioning Distance2,21,1468,1468,2640,2640
Curve Pt X,21,,,,
Curve Pt Y,21,,,,
Curve Pt Z,21,,,,
Link Is Hidden,21,false,false,false,false
Street Name Is Hidden,21,false,false,false,false
