[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,0.5
Walk,5.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,4.0
LostTimeAdjust,0.0
ScenarioDate,03/28/2016

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,-1544,-368,0,,,,,,
2,3,11146,-2279,0,,,,,,
3,1,14398,-3558,0,,,,,,
4,0,486,-355,0,,,,,,
5,1,474,4198,0,,,,,,
6,1,502,-6778,0,,,,,,
7,0,3157,-357,0,,,,,,
8,1,3089,5033,0,,,,,,
9,1,3229,-5999,0,,,,,,
10,0,5850,-370,0,,,,,,
11,1,5778,4483,0,,,,,,
12,1,5865,-6188,0,,,,,,
13,0,7641,-354,0,,,,,,
14,1,7947,570,0,,,,,,
15,1,7275,-1746,0,,,,,,
16,0,9774,-399,0,,,,,,
17,1,9704,3353,0,,,,,,
18,0,10404,-922,0,,,,,,
19,1,12646,-521,0,,,,,,
20,0,12263,-2846,0,,,,,,
21,1,11169,-4823,0,,,,,,
22,0,5801,3004,0,,,,,,
23,1,4870,3648,0,,,,,,
24,1,7278,2367,0,,,,,,
25,0,5857,-5660,0,,,,,,
26,1,3975,-5670,0,,,,,,
27,1,6663,-5656,0,,,,,,
28,1,7411,554,0,,,,,,
29,1,7951,-1554,0,,,,,,
Mandatory Distance2,21,,1320,,,,,,
Positioning Distance,21,,880,,,,,,
Positioning Distance2,21,,1760,,,,,,
Curve Pt X,21,,11088,,,,,,
Curve Pt Y,21,,-3756,,,,,,
Curve Pt Z,21,,0,,,,,,
Link Is Hidden,21,,false,,,,,,
Street Name Is Hidden,21,,false,,,,,,
Up ID,22,10,11,23,24,,,,
Lanes,22,5,4,2,2,,,,
Name,22,16th St,16th St,E Morten Ave,E Morten Ave,,,,
Distance,22,3374,1479,1348,1672,,,,
Speed,22,30,30,30,30,,,,
Time,22,76.7,33.6,30.6,38.0,,,,
Grade,22,0,0,0,0,,,,
Median,22,12,12,12,12,,,,
Offset,22,0,0,0,0,,,,
TWLTL,22,1,1,1,0,,,,
Crosswalk Width,22,16,16,16,16,,,,
Mandatory Distance,22,425,425,425,425,,,,
Mandatory Distance2,22,1320,1320,1320,1320,,,,
Positioning Distance,22,880,880,880,880,,,,
Positioning Distance2,22,1760,1760,1760,1760,,,,
Curve Pt X,22,,,5248,6655,,,,
Curve Pt Y,22,,,2976,3046,,,,
Curve Pt Z,22,,,0,0,,,,
Link Is Hidden,22,false,false,false,false,,,,
Street Name Is Hidden,22,false,false,false,false,,,,
Up ID,23,22,,,,,,,
Lanes,23,1,,,,,,,
Name,23,E Morten Ave,,,,,,,
Distance,23,1348,,,,,,,
Speed,23,30,,,,,,,
Time,23,30.6,,,,,,,
Grade,23,0,,,,,,,
Median,23,12,,,,,,,
Offset,23,0,,,,,,,
TWLTL,23,1,,,,,,,
Crosswalk Width,23,16,,,,,,,
Mandatory Distance,23,200,,,,,,,
Mandatory Distance2,23,1320,,,,,,,
Positioning Distance,23,880,,,,,,,
Positioning Distance2,23,1760,,,,,,,
Curve Pt X,23,4856,,,,,,,
Curve Pt Y,23,3032,,,,,,,
Curve Pt Z,23,0,,,,,,,
Link Is Hidden,23,false,,,,,,,
Street Name Is Hidden,23,false,,,,,,,
Up ID,24,,,22,,,,,
Lanes,24,,,1,,,,,
Name,24,,,E Morten Ave,,,,,
Distance,24,,,1672,,,,,
Speed,24,,,30,,,,,
Time,24,,,38.0,,,,,
Grade,24,,,0,,,,,
Median,24,,,0,,,,,
Offset,24,,,0,,,,,
TWLTL,24,,,0,,,,,
Crosswalk Width,24,,,16,,,,,
Mandatory Distance,24,,,200,,,,,
Mandatory Distance2,24,,,1320,,,,,
Positioning Distance,24,,,880,,,,,
Positioning Distance2,24,,,1760,,,,,
Curve Pt X,24,,,6651,,,,,
Curve Pt Y,24,,,2345,,,,,
Curve Pt Z,24,,,0,,,,,
Link Is Hidden,24,,,false,,,,,
Street Name Is Hidden,24,,,false,,,,,
Up ID,25,12,10,26,27,,,,
Lanes,25,4,3,4,3,,,,
Name,25,16th St,16th St,Bethany Home Rd,Bethany Home Rd,,,,
Distance,25,528,5290,1882,806,,,,
Speed,25,30,30,30,30,,,,
Time,25,12.0,120.2,42.8,18.3,,,,
Grade,25,0,0,0,0,,,,
Median,25,12,12,12,12,,,,
Offset,25,0,0,0,0,,,,
TWLTL,25,1,1,1,1,,,,
Crosswalk Width,25,16,16,16,16,,,,
Mandatory Distance,25,500,500,500,500,,,,
Mandatory Distance2,25,1320,1320,1320,1320,,,,
Positioning Distance,25,880,880,880,880,,,,
Positioning Distance2,25,1760,1760,1760,1760,,,,
Curve Pt X,25,,,,,,,,
Curve Pt Y,25,,,,,,,,
Curve Pt Z,25,,,,,,,,
Link Is Hidden,25,false,false,false,false,,,,
