Positioning Distance2,13,,,,,1760,2640,2640,2052
Curve Pt X,13,,,,,,-359366,,
Curve Pt Y,13,,,,,,14381,,
Curve Pt Z,13,,,,,,0,,
Link Is Hidden,13,,,,,false,false,false,false
Street Name Is Hidden,13,,,,,false,false,false,false
Up ID,14,,11,,,,,,
Lanes,14,,2,,,,,,
Name,14,,111th Ave,,,,,,
Distance,14,,401,,,,,,
Speed,14,,30,,,,,,
Time,14,,9.1,,,,,,
Grade,14,,0,,,,,,
Median,14,,12,,,,,,
Offset,14,,0,,,,,,
TWLTL,14,,1,,,,,,
Crosswalk Width,14,,16,,,,,,
Mandatory Distance,14,,200,,,,,,
Mandatory Distance2,14,,1320,,,,,,
Positioning Distance,14,,880,,,,,,
Positioning Distance2,14,,1760,,,,,,
Curve Pt X,14,,,,,,,,
Curve Pt Y,14,,,,,,,,
Curve Pt Z,14,,,,,,,,
Link Is Hidden,14,,false,,,,,,
Street Name Is Hidden,14,,false,,,,,,
Up ID,15,,,,,13,,,
Lanes,15,,,,,2,,,
Name,15,,,,,Thompson Ranch Rd,,,
Distance,15,,,,,684,,,
Speed,15,,,,,30,,,
Time,15,,,,,15.5,,,
Grade,15,,,,,0,,,
Median,15,,,,,24,,,
Offset,15,,,,,0,,,
TWLTL,15,,,,,0,,,
Crosswalk Width,15,,,,,16,,,
Mandatory Distance,15,,,,,200,,,
Mandatory Distance2,15,,,,,1320,,,
Positioning Distance,15,,,,,880,,,
Positioning Distance2,15,,,,,1760,,,
Curve Pt X,15,,,,,,,,
Curve Pt Y,15,,,,,,,,
Curve Pt Z,15,,,,,,,,
Link Is Hidden,15,,,,,false,,,
Street Name Is Hidden,15,,,,,false,,,
Up ID,16,,,,,,,,13
Lanes,16,,,,,,,,2
Name,16,,,,,,,,Thunderbird Rd
Distance,16,,,,,,,,538
Speed,16,,,,,,,,30
Time,16,,,,,,,,12.2
Grade,16,,,,,,,,0
Median,16,,,,,,,,24
Offset,16,,,,,,,,0
TWLTL,16,,,,,,,,0
Crosswalk Width,16,,,,,,,,16
Mandatory Distance,16,,,,,,,,200
Mandatory Distance2,16,,,,,,,,1320
Positioning Distance,16,,,,,,,,880
Positioning Distance2,16,,,,,,,,1760
Curve Pt X,16,,,,,,,,
Curve Pt Y,16,,,,,,,,
Curve Pt Z,16,,,,,,,,
Link Is Hidden,16,,,,,,,,false
Street Name Is Hidden,16,,,,,,,,false
Up ID,17,,,19,,,49,21,20
Lanes,17,,,3,,,6,4,2
Name,17,,,Greenway Rd,,,Grand Ave,Grand ave,Verde St
Distance,17,,,995,,,4063,4722,288
Speed,17,,,25,,,45,45,30
Time,17,,,27.1,,,61.6,71.5,6.5
Grade,17,,,0,,,0,0,0
Median,17,,,24,,,24,24,12
Offset,17,,,0,,,0,0,0
TWLTL,17,,,1,,,0,0,0
Crosswalk Width,17,,,16,,,16,16,16
Mandatory Distance,17,,,583,,,583,583,583
Mandatory Distance2,17,,,1101,,,1980,1980,1320
Positioning Distance,17,,,734,,,1320,1320,880
Positioning Distance2,17,,,1468,,,2640,2640,1760
Curve Pt X,17,,,,,,,,
Curve Pt Y,17,,,,,,,,
Curve Pt Z,17,,,,,,,,
Link Is Hidden,17,,,false,,,false,false,false
Street Name Is Hidden,17,,,false,,,false,false,false
Up ID,18,,,13,25,,,,
Lanes,18,,,3,3,,,,
Name,18,,,Grand Ave,Grand Ave,,,,
