[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,0.5
Walk,5.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.10
PedSpeed,4.0
LostTimeAdjust,0.0
ScenarioDate,09/13/2011

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,0,93545,-61878,0,,,,,,
2,0,89290,-57617,0,,,,,,
3,0,87004,-55281,0,,,,,,
4,0,83193,-51392,0,,,,,,
5,0,82339,-50510,0,,,,,,
6,0,77833,-46274,0,,,,,,
7,0,73946,-42309,0,,,,,,
8,0,72815,-41148,0,,,,,,
9,0,72422,-40744,0,,,,,,
10,0,71413,-39751,0,,,,,,
11,0,67344,-36917,0,,,,,,
12,0,65902,-36444,0,,,,,,
13,0,65607,-36340,0,,,,,,
21,1,96223,-64530,0,,,,,,
38,1,83189,-50450,0,,,,,,
39,1,83195,-52103,0,,,,,,
40,1,82892,-50165,0,,,,,,
41,2,79318,-47411,0,,,,,,
44,1,77233,-46264,0,,,,,,
45,1,78631,-46264,0,,,,,,
46,1,77831,-46939,0,,,,,,
47,1,77831,-45777,0,,,,,,
49,1,73465,-42788,0,,,,,,
50,1,74372,-41858,0,,,,,,
51,1,72462,-41471,0,,,,,,
52,1,73162,-40829,0,,,,,,
54,1,71059,-40110,0,,,,,,
55,1,71873,-41214,0,,,,,,
56,1,72948,-40264,0,,,,,,
57,1,67332,-36151,0,,,,,,
60,1,67327,-38661,0,,,,,,
63,1,65477,-37884,0,,,,,,
64,1,65497,-37870,0,,,,,,
82,1,92220,-61894,0,,,,,,
Crosswalk Width,7,16,16,16,16,,,,
Mandatory Distance,7,875,875,875,875,,,,
Mandatory Distance2,7,1539,1539,747,1365,,,,
Positioning Distance,7,1026,1026,498,910,,,,
Positioning Distance2,7,2052,2052,996,1820,,,,
Curve Pt X,7,,,,,,,,
Curve Pt Y,7,,,,,,,,
Curve Pt Z,7,,,,,,,,
Link Is Hidden,7,false,false,false,false,,,,
Street Name Is Hidden,7,false,false,false,false,,,,
Up ID,8,51,52,9,7,,,,
Lanes,8,3,3,4,4,,,,
Name,8,83rd Avenue,83rd Avenue,Grand Avenue,Grand Avenue,,,,
Distance,8,478,471,564,1621,,,,
Speed,8,25,25,20,14,,,,
Time,8,13.0,12.8,19.2,78.9,,,,
Grade,8,0,0,0,0,,,,
Median,8,12,12,24,24,,,,
Offset,8,0,0,0,0,,,,
TWLTL,8,0,0,0,0,,,,
Crosswalk Width,8,16,16,16,16,,,,
Mandatory Distance,8,875,875,875,875,,,,
Mandatory Distance2,8,1101,1101,879,615,,,,
Positioning Distance,8,734,734,586,410,,,,
Positioning Distance2,8,1468,1468,1172,820,,,,
Curve Pt X,8,,,,,,,,
Curve Pt Y,8,,,,,,,,
Curve Pt Z,8,,,,,,,,
Link Is Hidden,8,false,false,false,false,,,,
Street Name Is Hidden,8,false,false,false,false,,,,
Up ID,9,55,56,10,8,,,,
Lanes,9,3,4,4,4,,,,
Name,9,Peoria Avenue,Peoria Avenue,Grand Avenue,Grand Avenue,,,,
Distance,9,723,712,1416,564,,,,
Speed,9,30,25,21,26,,,,
Time,9,16.4,19.4,46.0,14.8,,,,
Grade,9,0,0,0,0,,,,
Median,9,12,12,12,12,,,,
Offset,9,0,0,0,0,,,,
TWLTL,9,0,0,0,0,,,,
Crosswalk Width,9,16,16,16,16,,,,
Mandatory Distance,9,875,875,875,875,,,,
Mandatory Distance2,9,1320,1101,924,1143,,,,
Positioning Distance,9,880,734,616,762,,,,
Positioning Distance2,9,1760,1468,1232,1524,,,,
Curve Pt X,9,,,,,,,,
Curve Pt Y,9,,,,,,,,
Curve Pt Z,9,,,,,,,,
Link Is Hidden,9,false,false,false,false,,,,
Street Name Is Hidden,9,false,false,false,false,,,,
Up ID,10,54,,11,9,,,,
Lanes,10,2,,4,4,,,,
Name,10,85th Avenue,,Grand Avenue,Grand Avenue,,,,
Distance,10,504,,5120,1416,,,,
Speed,10,30,,43,41,,,,
Time,10,11.5,,81.2,23.5,,,,
Grade,10,0,,0,0,,,,
Median,10,24,,12,12,,,,
Offset,10,0,,0,0,,,,
TWLTL,10,1,,0,0,,,,
Crosswalk Width,10,16,,16,16,,,,
Mandatory Distance,10,437,,437,437,,,,
Mandatory Distance2,10,1320,,1893,1803,,,,
Positioning Distance,10,880,,1262,1202,,,,
Positioning Distance2,10,1760,,2524,2404,,,,
Curve Pt X,10,,,68679,,,,,
Curve Pt Y,10,,,-37037,,,,,
