RECORDNAME,INTID,DATA
Reference Phase,20,408
Offset,20,93
Master,20,0
Yield,20,0
Node 0,20,20
Node 1,20,0
Control Type,21,3
Cycle Length,21,110
Lock Timings,21,0
Referenced To,21,3
Reference Phase,21,206
Offset,21,70
Master,21,0
Yield,21,0
Node 0,21,21
Node 1,21,0
Control Type,22,3
Cycle Length,22,110
Lock Timings,22,0
Referenced To,22,3
Reference Phase,22,206
Offset,22,13
Master,22,0
Yield,22,0
Node 0,22,22
Node 1,22,322
Node 2,22,0
Control Type,23,3
Cycle Length,23,55
Lock Timings,23,0
Referenced To,23,3
Reference Phase,23,206
Offset,23,45
Master,23,0
Yield,23,0
Node 0,23,23
Node 1,23,0
Control Type,24,3
Cycle Length,24,110
Lock Timings,24,0
Referenced To,24,3
Reference Phase,24,1
Offset,24,45
Master,24,0
Yield,24,0
Node 0,24,24
Node 1,24,0
Control Type,25,3
Cycle Length,25,110
Lock Timings,25,0
Referenced To,25,3
Reference Phase,25,1
Offset,25,35
Master,25,0
Yield,25,0
Node 0,25,25
Node 1,25,0
Control Type,27,3
Cycle Length,27,110
Lock Timings,27,0
Referenced To,27,3
Reference Phase,27,408
Offset,27,39
Master,27,0
Yield,27,0
Node 0,27,27
Node 1,27,0
Control Type,28,3
Cycle Length,28,55
Lock Timings,28,0
Referenced To,28,3
Reference Phase,28,1
Offset,28,51
Master,28,0
Yield,28,0
Node 0,28,28
Node 1,28,0
Control Type,29,3
Cycle Length,29,110
Lock Timings,29,0
Referenced To,29,3
Reference Phase,29,408
Offset,29,50
Master,29,0
Yield,29,0
Node 0,29,29
Node 1,29,0
Control Type,30,3
Cycle Length,30,110
Lock Timings,30,0
Referenced To,30,3
Reference Phase,30,1
Offset,30,30
Master,30,0
Yield,30,0
Node 0,30,30
Node 1,30,0
Control Type,31,3
Cycle Length,31,110
Lock Timings,31,0
Referenced To,31,3
Reference Phase,31,1
Offset,31,92
Master,31,0
Yield,31,0
Node 0,31,31
Node 1,31,0
Control Type,33,3
Cycle Length,33,110
Lock Timings,33,0
Referenced To,33,3
Reference Phase,33,408
Offset,33,3
Master,33,0
Yield,33,0
Node 0,33,33
Node 1,33,0
Control Type,34,3
Cycle Length,34,110
Lock Timings,34,0
Referenced To,34,3
Reference Phase,34,1
Offset,34,102
Master,34,0
Yield,34,0
Node 0,34,34
Node 1,34,0
Control Type,35,3
Cycle Length,35,110
Lock Timings,35,0
Referenced To,35,3
Reference Phase,35,206
Offset,35,25
Master,35,0
Yield,35,0
Node 0,35,35
Node 1,35,0
Control Type,36,3
Cycle Length,36,110
Lock Timings,36,0
Referenced To,36,3
Reference Phase,36,206
Offset,36,85
Master,36,0
Yield,36,0
Node 0,36,36
Node 1,36,0
Control Type,37,3
Cycle Length,37,110
Lock Timings,37,0
Referenced To,37,3
Reference Phase,37,206
Offset,37,92
Master,37,0
Yield,37,0
Node 0,37,37
Node 1,37,0
Control Type,38,3
Cycle Length,38,110
Lock Timings,38,0
Referenced To,38,3
Reference Phase,38,206
Offset,38,95
Master,38,0
Yield,38,0
Node 0,38,38
Node 1,38,0
Control Type,39,3
Cycle Length,39,110
Lock Timings,39,0
Referenced To,39,3
Reference Phase,39,1
Offset,39,49
Master,39,0
Yield,39,0
Node 0,39,39
Node 1,39,0
Control Type,40,3
Cycle Length,40,110
Lock Timings,40,0
Referenced To,40,3
Reference Phase,40,1
Offset,40,39
Master,40,0
Yield,40,0
Node 0,40,40
Node 1,40,0
Control Type,41,3
Cycle Length,41,110
Lock Timings,41,0
Referenced To,41,3
Reference Phase,41,206
Offset,41,29
Master,41,0
Yield,41,0
Node 0,41,41
Node 1,41,0
Control Type,42,3
Cycle Length,42,110
Lock Timings,42,0
Referenced To,42,3
Reference Phase,42,408
Offset,42,62
Master,42,0
Yield,42,0
Node 0,42,42
Node 1,42,0
Control Type,43,3
Cycle Length,43,110
Lock Timings,43,0
Referenced To,43,3
Reference Phase,43,408
Offset,43,1
Master,43,0
Yield,43,0
Node 0,43,43
Node 1,43,0
Control Type,44,3
Cycle Length,44,110
Lock Timings,44,0
Referenced To,44,0
Reference Phase,44,1
Offset,44,38
Master,44,0
Yield,44,0
Node 0,44,44
Node 1,44,0
Control Type,45,3
Cycle Length,45,110
Lock Timings,45,0
Referenced To,45,0
Reference Phase,45,1
Offset,45,53
Master,45,0
Yield,45,0
Node 0,45,45
Node 1,45,0
Control Type,46,3
Cycle Length,46,110
Lock Timings,46,0
Referenced To,46,3
Reference Phase,46,1
Offset,46,29
Master,46,0
Yield,46,0
Node 0,46,46
Node 1,46,0
Control Type,47,3
Cycle Length,47,110
Lock Timings,47,0
Referenced To,47,3
Reference Phase,47,1
Offset,47,100
Master,47,0
Yield,47,0
Node 0,47,47
Node 1,47,0
Control Type,49,3
Cycle Length,49,110
Lock Timings,49,0
Referenced To,49,3
Reference Phase,49,206
Offset,49,91
Master,49,0
Yield,49,0
Node 0,49,49
Node 1,49,0
Control Type,50,3
Cycle Length,50,110
Lock Timings,50,0
Referenced To,50,3
Reference Phase,50,1
Offset,50,30
Master,50,0
Yield,50,0
Node 0,50,50
Node 1,50,0
Control Type,51,3
Cycle Length,51,110
Lock Timings,51,0
Referenced To,51,3
Reference Phase,51,206
Offset,51,100
Master,51,0
Yield,51,0
Node 0,51,51
Node 1,51,0
Control Type,52,3
Cycle Length,52,110
Lock Timings,52,0
Referenced To,52,3
Reference Phase,52,1
Offset,52,97
Master,52,0
Yield,52,0
Node 0,52,52
Node 1,52,0
Control Type,53,3
Cycle Length,53,110
Lock Timings,53,0
Referenced To,53,3
Reference Phase,53,1
Offset,53,40
Master,53,0
Yield,53,0
Node 0,53,53
Node 1,53,0
Control Type,54,3
Cycle Length,54,110
Lock Timings,54,0
Referenced To,54,3
Reference Phase,54,1
Offset,54,43
Master,54,0
Yield,54,0
Node 0,54,54
Node 1,54,0
Control Type,55,3
Cycle Length,55,110
Lock Timings,55,0
Referenced To,55,3
Reference Phase,55,206
Offset,55,0
Master,55,0
Yield,55,0
Node 0,55,55
Node 1,55,8055
Node 2,55,0
Control Type,56,3
Cycle Length,56,110
Lock Timings,56,0
Referenced To,56,3
Reference Phase,56,206
Offset,56,38
Master,56,0
Yield,56,0
Node 0,56,56
Node 1,56,0
Control Type,57,3
Cycle Length,57,110
Lock Timings,57,0
Referenced To,57,3
Reference Phase,57,1
Offset,57,40
Master,57,0
Yield,57,0
Node 0,57,57
Node 1,57,0
Control Type,58,3
Cycle Length,58,110
Lock Timings,58,0
Referenced To,58,3
Reference Phase,58,206
Offset,58,48
Master,58,0
Yield,58,0
Node 0,58,58
Node 1,58,0
Control Type,59,3
Cycle Length,59,110
Lock Timings,59,0
Referenced To,59,3
Reference Phase,59,206
Offset,59,59
Master,59,0
Yield,59,0
Node 0,59,59
Node 1,59,0
Control Type,60,3
Cycle Length,60,110
Lock Timings,60,0
Referenced To,60,3
Reference Phase,60,1
Offset,60,5
Master,60,0
Yield,60,0
Node 0,60,60
Node 1,60,0
Control Type,61,3
Cycle Length,61,110
Lock Timings,61,0
Referenced To,61,3
Reference Phase,61,206
Offset,61,89
Master,61,0
Yield,61,0
Node 0,61,61
Node 1,61,0
Control Type,62,3
Cycle Length,62,55
Lock Timings,62,0
Referenced To,62,3
Reference Phase,62,1
Offset,62,32
Master,62,0
Yield,62,0
Node 0,62,62
Node 1,62,0
Control Type,63,3
Cycle Length,63,110
Lock Timings,63,0
Referenced To,63,3
Reference Phase,63,1
Offset,63,8
Master,63,0
Yield,63,0
Node 0,63,63
Node 1,63,0
Control Type,64,3
Cycle Length,64,110
Lock Timings,64,0
Referenced To,64,3
Reference Phase,64,1
Offset,64,74
Master,64,0
Yield,64,0
Node 0,64,64
Node 1,64,0
Control Type,65,0
Cycle Length,65,60
Lock Timings,65,0
Referenced To,65,0
Reference Phase,65,1
Offset,65,0
Master,65,0
Yield,65,0
Node 0,65,65
Node 1,65,0
Control Type,66,3
Cycle Length,66,110
Lock Timings,66,0
Referenced To,66,3
Reference Phase,66,1
Offset,66,85
Master,66,0
Yield,66,0
Node 0,66,66
Node 1,66,0
Control Type,67,3
Cycle Length,67,60
Lock Timings,67,0
Referenced To,67,3
Reference Phase,67,1
Offset,67,30
Master,67,0
Yield,67,0
Node 0,67,67
Node 1,67,0
Control Type,68,3
Cycle Length,68,110
Lock Timings,68,0
Referenced To,68,3
Reference Phase,68,1
Offset,68,103
Master,68,0
Yield,68,0
Node 0,68,68
Node 1,68,0
Control Type,69,3
Cycle Length,69,110
Lock Timings,69,0
Referenced To,69,3
Reference Phase,69,1
Offset,69,98
Master,69,0
Yield,69,0
Node 0,69,69
Node 1,69,0
Control Type,70,3
Cycle Length,70,55
Lock Timings,70,0
Referenced To,70,3
Reference Phase,70,1
Offset,70,0
Master,70,0
Yield,70,0
Node 0,70,70
Node 1,70,0
Control Type,71,3
Cycle Length,71,110
Lock Timings,71,0
Referenced To,71,3
Reference Phase,71,408
Offset,71,40
Master,71,0
Yield,71,0
Node 0,71,71
Node 1,71,0
Control Type,72,3
Cycle Length,72,110
Lock Timings,72,0
Referenced To,72,3
Reference Phase,72,1
Offset,72,80
Master,72,0
Yield,72,0
Node 0,72,72
Node 1,72,0
Control Type,73,3
Cycle Length,73,110
Lock Timings,73,0
Referenced To,73,3
Reference Phase,73,1
Offset,73,97
Master,73,0
Yield,73,0
Node 0,73,73
Node 1,73,0
Control Type,74,3
Cycle Length,74,110
Lock Timings,74,0
Referenced To,74,3
Reference Phase,74,206
Offset,74,85
Master,74,0
Yield,74,0
Node 0,74,74
Node 1,74,0
Control Type,75,3
Cycle Length,75,110
Lock Timings,75,0
Referenced To,75,3
Reference Phase,75,1
Offset,75,40
Master,75,0
Yield,75,0
Node 0,75,75
Node 1,75,0
Control Type,76,3
Cycle Length,76,110
Lock Timings,76,0
Referenced To,76,3
Reference Phase,76,206
Offset,76,40
Master,76,0
Yield,76,0
Node 0,76,76
Node 1,76,0
Control Type,80,3
Cycle Length,80,110
Lock Timings,80,0
Referenced To,80,3
Reference Phase,80,206
Offset,80,64
Master,80,0
Yield,80,0
Node 0,80,80
Node 1,80,0
Control Type,82,3
Cycle Length,82,110
Lock Timings,82,0
Referenced To,82,3
Reference Phase,82,1
Offset,82,69
Master,82,0
Yield,82,0
Node 0,82,82
Node 1,82,0
Control Type,83,3
Cycle Length,83,110
Lock Timings,83,0
Referenced To,83,3
Reference Phase,83,206
Offset,83,106
Master,83,0
Yield,83,0
Node 0,83,83
Node 1,83,0
Control Type,84,3
Cycle Length,84,110
Lock Timings,84,0
Referenced To,84,0
Reference Phase,84,2
Offset,84,23
Master,84,0
Yield,84,0
Node 0,84,84
Node 1,84,0
Control Type,85,3
Cycle Length,85,110
Lock Timings,85,0
Referenced To,85,3
Reference Phase,85,1
Offset,85,45
Master,85,0
Yield,85,0
Node 0,85,85
Node 1,85,0
Control Type,86,3
Cycle Length,86,110
Lock Timings,86,0
Referenced To,86,3
Reference Phase,86,206
Offset,86,100
Master,86,0
Yield,86,0
Node 0,86,86
Node 1,86,0
Control Type,87,3
Cycle Length,87,110
Lock Timings,87,0
Referenced To,87,3
Reference Phase,87,1
Offset,87,93
Master,87,0
Yield,87,0
Node 0,87,87
Node 1,87,0
Control Type,88,3
Cycle Length,88,110
Lock Timings,88,0
Referenced To,88,3
Reference Phase,88,206
Offset,88,56
Master,88,0
Yield,88,0
Node 0,88,88
Node 1,88,0
Control Type,89,3
Cycle Length,89,110
Lock Timings,89,0
Referenced To,89,3
Reference Phase,89,1
Offset,89,27
Master,89,0
Yield,89,0
Node 0,89,89
Node 1,89,0
Control Type,90,3
Cycle Length,90,110
Lock Timings,90,0
Referenced To,90,3
Reference Phase,90,2
Offset,90,21
Master,90,0
Yield,90,0
Node 0,90,90
Node 1,90,0
Control Type,91,3
Cycle Length,91,110
Lock Timings,91,0
Referenced To,91,3
Reference Phase,91,206
Offset,91,90
Master,91,0
Yield,91,0
Node 0,91,91
Node 1,91,0
Control Type,92,3
Cycle Length,92,110
Lock Timings,92,0
Referenced To,92,3
Reference Phase,92,1
Offset,92,41
Master,92,0
Yield,92,0
Node 0,92,92
Node 1,92,0
Control Type,93,3
Cycle Length,93,110
Lock Timings,93,0
Referenced To,93,3
Reference Phase,93,1
Offset,93,21
Master,93,0
Yield,93,0
Node 0,93,93
Node 1,93,0
Control Type,94,3
Cycle Length,94,110
Lock Timings,94,0
Referenced To,94,3
Reference Phase,94,206
Offset,94,6
Master,94,0
Yield,94,0
Node 0,94,94
Node 1,94,0
Control Type,95,3
Cycle Length,95,110
Lock Timings,95,0
Referenced To,95,3
Reference Phase,95,1
Offset,95,0
Master,95,0
Yield,95,0
Node 0,95,95
Node 1,95,0
Control Type,96,3
Cycle Length,96,110
Lock Timings,96,0
Referenced To,96,3
Reference Phase,96,1
Offset,96,104
Master,96,0
Yield,96,0
Node 0,96,96
Node 1,96,0
Control Type,97,3
Cycle Length,97,110
Lock Timings,97,0
Referenced To,97,3
Reference Phase,97,1
Offset,97,65
Master,97,0
Yield,97,0
Node 0,97,97
Node 1,97,0
Control Type,99,3
Cycle Length,99,110
Lock Timings,99,0
Referenced To,99,3
Reference Phase,99,206
Offset,99,10
Master,99,0
Yield,99,0
Node 0,99,99
Node 1,99,0
Control Type,101,3
Cycle Length,101,80
Lock Timings,101,0
Referenced To,101,3
Reference Phase,101,1
Offset,101,77
Master,101,0
Yield,101,0
Node 0,101,101
Node 1,101,0
Control Type,102,3
Cycle Length,102,55
Lock Timings,102,0
Referenced To,102,3
Reference Phase,102,1
Offset,102,11
Master,102,0
Yield,102,0
Node 0,102,102
Node 1,102,0
Control Type,103,3
Cycle Length,103,110
Lock Timings,103,0
Referenced To,103,3
Reference Phase,103,206
Offset,103,0
Master,103,0
Yield,103,0
Node 0,103,103
Node 1,103,303
Node 2,103,0
Control Type,104,3
Cycle Length,104,110
Lock Timings,104,0
Referenced To,104,3
Reference Phase,104,408
Offset,104,106
Master,104,0
Yield,104,0
Node 0,104,104
Node 1,104,0
Control Type,105,3
Cycle Length,105,110
Lock Timings,105,0
Referenced To,105,3
Reference Phase,105,408
Offset,105,60
Master,105,0
Yield,105,0
Node 0,105,105
Node 1,105,0
Control Type,106,3
Cycle Length,106,110
Lock Timings,106,0
Referenced To,106,3
Reference Phase,106,1
Offset,106,62
Master,106,0
Yield,106,0
Node 0,106,106
Node 1,106,0
Control Type,107,3
Cycle Length,107,110
Lock Timings,107,0
Referenced To,107,3
Reference Phase,107,408
Offset,107,103
Master,107,0
Yield,107,0
Node 0,107,107
Node 1,107,0
Control Type,108,3
Cycle Length,108,110
Lock Timings,108,0
Referenced To,108,3
Reference Phase,108,408
Offset,108,0
Master,108,0
Yield,108,0
Node 0,108,108
Node 1,108,0
Control Type,109,3
Cycle Length,109,110
Lock Timings,109,0
Referenced To,109,3
Reference Phase,109,408
Offset,109,108
Master,109,0
Yield,109,0
Node 0,109,109
Node 1,109,0
Control Type,110,3
Cycle Length,110,110
Lock Timings,110,0
Referenced To,110,3
Reference Phase,110,1
Offset,110,40
Master,110,0
Yield,110,0
Node 0,110,110
Node 1,110,0
Control Type,111,3
Cycle Length,111,110
Lock Timings,111,0
Referenced To,111,3
Reference Phase,111,1
Offset,111,100
Master,111,0
Yield,111,0
Node 0,111,111
Node 1,111,0
Control Type,113,3
Cycle Length,113,110
Lock Timings,113,0
Referenced To,113,3
Reference Phase,113,1
Offset,113,64
Master,113,0
Yield,113,0
Node 0,113,113
Node 1,113,0
Control Type,114,3
Cycle Length,114,110
Lock Timings,114,0
Referenced To,114,3
Reference Phase,114,1
Offset,114,94
Master,114,0
Yield,114,0
Node 0,114,114
Node 1,114,0
Control Type,115,3
Cycle Length,115,110
Lock Timings,115,0
Referenced To,115,3
Reference Phase,115,1
Offset,115,90
Master,115,0
Yield,115,0
Node 0,115,115
Node 1,115,0
Control Type,116,3
Cycle Length,116,110
Lock Timings,116,0
Referenced To,116,3
Reference Phase,116,1
Offset,116,95
Master,116,0
Yield,116,0
Node 0,116,116
Node 1,116,0
Control Type,117,3
Cycle Length,117,110
Lock Timings,117,0
Referenced To,117,3
Reference Phase,117,1
Offset,117,86
Master,117,0
Yield,117,0
Node 0,117,117
Node 1,117,0
Control Type,118,3
Cycle Length,118,110
Lock Timings,118,0
Referenced To,118,3
Reference Phase,118,206
Offset,118,0
Master,118,0
Yield,118,0
Node 0,118,118
Node 1,118,0
Control Type,119,3
Cycle Length,119,110
Lock Timings,119,0
Referenced To,119,3
Reference Phase,119,1
Offset,119,39
Master,119,0
Yield,119,0
Node 0,119,119
Node 1,119,0
Control Type,120,3
Cycle Length,120,110
Lock Timings,120,0
Referenced To,120,3
Reference Phase,120,206
Offset,120,104
Master,120,0
Yield,120,0
Node 0,120,120
Node 1,120,0
Control Type,121,3
Cycle Length,121,110
Lock Timings,121,0
Referenced To,121,3
Reference Phase,121,206
Offset,121,60
Master,121,0
Yield,121,0
Node 0,121,121
Node 1,121,0
Control Type,122,3
Cycle Length,122,110
Lock Timings,122,0
Referenced To,122,3
Reference Phase,122,1
Offset,122,34
Master,122,0
Yield,122,0
Node 0,122,122
Node 1,122,0
Control Type,123,3
Cycle Length,123,110
Lock Timings,123,0
Referenced To,123,3
Reference Phase,123,206
Offset,123,105
Master,123,0
Yield,123,0
Node 0,123,123
Node 1,123,0
Control Type,124,3
Cycle Length,124,110
Lock Timings,124,0
Referenced To,124,3
Reference Phase,124,206
Offset,124,100
Master,124,0
Yield,124,0
Node 0,124,124
Node 1,124,0
Control Type,125,3
Cycle Length,125,110
Lock Timings,125,0
Referenced To,125,3
Reference Phase,125,1
Offset,125,107
Master,125,0
Yield,125,0
Node 0,125,125
Node 1,125,0
Control Type,126,3
Cycle Length,126,110
Lock Timings,126,0
Referenced To,126,3
Reference Phase,126,1
Offset,126,89
Master,126,0
Yield,126,0
Node 0,126,126
Node 1,126,0
Control Type,127,3
Cycle Length,127,110
Lock Timings,127,0
Referenced To,127,3
Reference Phase,127,206
Offset,127,98
Master,127,0
Yield,127,0
Node 0,127,127
Node 1,127,0
Control Type,128,3
Cycle Length,128,110
Lock Timings,128,0
Referenced To,128,3
Reference Phase,128,1
Offset,128,71
Master,128,0
Yield,128,0
Node 0,128,128
Node 1,128,0
Control Type,129,3
Cycle Length,129,110
Lock Timings,129,0
Referenced To,129,3
Reference Phase,129,1
Offset,129,35
Master,129,0
Yield,129,0
Node 0,129,129
Node 1,129,0
Control Type,130,3
Cycle Length,130,110
Lock Timings,130,0
Referenced To,130,3
Reference Phase,130,206
Offset,130,98
Master,130,0
Yield,130,0
Node 0,130,130
Node 1,130,0
Control Type,131,3
Cycle Length,131,110
Lock Timings,131,0
Referenced To,131,3
Reference Phase,131,1
Offset,131,93
Master,131,0
Yield,131,0
Node 0,131,131
Node 1,131,0
Control Type,132,3
Cycle Length,132,110
Lock Timings,132,0
Referenced To,132,3
Reference Phase,132,1
Offset,132,45
Master,132,0
Yield,132,0
Node 0,132,132
Node 1,132,0
Control Type,135,3
Cycle Length,135,110
Lock Timings,135,0
Referenced To,135,3
Reference Phase,135,206
Offset,135,0
Master,135,0
Yield,135,0
Node 0,135,135
Node 1,135,335
Node 2,135,0
Control Type,138,3
Cycle Length,138,94
Lock Timings,138,0
Referenced To,138,3
Reference Phase,138,1
Offset,138,40
Master,138,0
Yield,138,0
Node 0,138,138
Node 1,138,0
Control Type,139,3
Cycle Length,139,110
Lock Timings,139,0
Referenced To,139,3
Reference Phase,139,408
Offset,139,70
Master,139,0
Yield,139,0
Node 0,139,139
Node 1,139,0
Control Type,140,3
Cycle Length,140,110
Lock Timings,140,0
Referenced To,140,3
Reference Phase,140,408
Offset,140,8
Master,140,0
Yield,140,0
Node 0,140,140
Node 1,140,340
Node 2,140,0
Control Type,141,3
Cycle Length,141,110
Lock Timings,141,0
Referenced To,141,3
Reference Phase,141,206
Offset,141,88
Master,141,0
Yield,141,0
Node 0,141,141
Node 1,141,341
Node 2,141,0
Control Type,142,3
Cycle Length,142,110
Lock Timings,142,0
Referenced To,142,3
Reference Phase,142,206
Offset,142,107
Master,142,0
Yield,142,0
Node 0,142,142
Node 1,142,342
Node 2,142,0
Control Type,144,3
Cycle Length,144,110
Lock Timings,144,0
Referenced To,144,3
Reference Phase,144,206
Offset,144,2
Master,144,0
Yield,144,0
Node 0,144,144
Node 1,144,344
Node 2,144,0
Control Type,147,3
Cycle Length,147,110
Lock Timings,147,0
Referenced To,147,3
Reference Phase,147,1
Offset,147,92
Master,147,0
Yield,147,0
Node 0,147,147
Node 1,147,0
Control Type,149,3
Cycle Length,149,110
Lock Timings,149,0
Referenced To,149,3
Reference Phase,149,1
Offset,149,75
Master,149,0
Yield,149,0
Node 0,149,149
Node 1,149,0
Control Type,150,3
Cycle Length,150,110
Lock Timings,150,0
Referenced To,150,3
Reference Phase,150,1
Offset,150,26
Master,150,0
Yield,150,0
Node 0,150,150
Node 1,150,0
Control Type,152,3
Cycle Length,152,120
Lock Timings,152,0
Referenced To,152,3
Reference Phase,152,1
Offset,152,106
Master,152,0
Yield,152,0
Node 0,152,152
Node 1,152,0
Control Type,153,3
Cycle Length,153,120
Lock Timings,153,0
Referenced To,153,3
Reference Phase,153,206
Offset,153,1
Master,153,0
Yield,153,0
Node 0,153,153
Node 1,153,0
Control Type,154,3
Cycle Length,154,120
Lock Timings,154,0
Referenced To,154,3
Reference Phase,154,206
Offset,154,113
Master,154,0
Yield,154,0
Node 0,154,154
Node 1,154,0
Control Type,155,3
Cycle Length,155,120
Lock Timings,155,0
Referenced To,155,3
Reference Phase,155,206
Offset,155,3
Master,155,0
Yield,155,0
Node 0,155,155
Node 1,155,355
Node 2,155,0
Control Type,156,3
Cycle Length,156,120
Lock Timings,156,0
Referenced To,156,3
Reference Phase,156,206
Offset,156,103
Master,156,0
Yield,156,0
Node 0,156,156
Node 1,156,0
Control Type,157,3
Cycle Length,157,120
Lock Timings,157,0
Referenced To,157,3
Reference Phase,157,2
Offset,157,103
Master,157,0
Yield,157,0
Node 0,157,157
Node 1,157,0
Control Type,159,3
Cycle Length,159,120
Lock Timings,159,0
Referenced To,159,3
Reference Phase,159,206
Offset,159,55
Master,159,0
Yield,159,0
Node 0,159,159
Node 1,159,0
Control Type,160,3
Cycle Length,160,120
Lock Timings,160,0
Referenced To,160,3
Reference Phase,160,206
Offset,160,40
Master,160,0
Yield,160,0
Node 0,160,160
Node 1,160,0
Control Type,162,3
Cycle Length,162,120
Lock Timings,162,0
Referenced To,162,3
Reference Phase,162,206
Offset,162,100
Master,162,0
Yield,162,0
Node 0,162,162
Node 1,162,0
Control Type,163,3
Cycle Length,163,110
Lock Timings,163,0
Referenced To,163,3
Reference Phase,163,1
Offset,163,35
Master,163,0
Yield,163,0
Node 0,163,163
Node 1,163,0
Control Type,165,3
Cycle Length,165,110
Lock Timings,165,0
Referenced To,165,3
Reference Phase,165,206
Offset,165,109
Master,165,0
Yield,165,0
Node 0,165,165
Node 1,165,0
Control Type,166,3
Cycle Length,166,110
Lock Timings,166,0
Referenced To,166,3
Reference Phase,166,1
Offset,166,27
Master,166,0
Yield,166,0
Node 0,166,166
Node 1,166,0
Control Type,168,3
Cycle Length,168,110
Lock Timings,168,0
Referenced To,168,3
Reference Phase,168,206
Offset,168,100
Master,168,0
Yield,168,0
Node 0,168,168
Node 1,168,0
Control Type,170,3
Cycle Length,170,110
Lock Timings,170,0
Referenced To,170,3
Reference Phase,170,1
Offset,170,45
Master,170,0
Yield,170,0
Node 0,170,170
Node 1,170,0
Control Type,172,3
Cycle Length,172,110
Lock Timings,172,0
Referenced To,172,3
Reference Phase,172,206
Offset,172,0
Master,172,0
Yield,172,0
Node 0,172,172
Node 1,172,372
Node 2,172,0
Control Type,174,3
Cycle Length,174,110
Lock Timings,174,0
Referenced To,174,3
Reference Phase,174,1
Offset,174,77
Master,174,0
Yield,174,0
Node 0,174,174
Node 1,174,0
Control Type,175,3
Cycle Length,175,110
Lock Timings,175,0
Referenced To,175,3
Reference Phase,175,1
Offset,175,81
Master,175,0
Yield,175,0
Node 0,175,175
Node 1,175,0
Control Type,177,3
Cycle Length,177,110
Lock Timings,177,0
Referenced To,177,3
Reference Phase,177,1
Offset,177,81
Master,177,0
Yield,177,0
Node 0,177,177
Node 1,177,0
Control Type,178,3
Cycle Length,178,55
Lock Timings,178,0
Referenced To,178,3
Reference Phase,178,1
Offset,178,35
Master,178,0
Yield,178,0
Node 0,178,178
Node 1,178,0
Control Type,180,3
Cycle Length,180,110
Lock Timings,180,0
Referenced To,180,3
Reference Phase,180,206
Offset,180,0
Master,180,0
Yield,180,0
Node 0,180,180
Node 1,180,0
Control Type,181,3
