mvmt_id,node_id,ib_link_id,ob_link_id,type,movement_name,num_lanes,volume,ib_lane_indices,ob_lane_indices,sumo_dir,is_turn_bay_connector,control,turning_speed_mps
10_9_350_WBR,9,10_9_bay,9_350,right,WBR,1,65.0,0,0,r,False,,4.02336
111_112_to_111_112_bay,111_112_bay_node,111_112,111_112_bay,thru,TURN_BAY_CONNECTOR,3,0.0,"0,0,0","0,1,2",s,True,free,
111_112_92_EBL,112,111_112_bay,112_92,left,EBL,1,0.0,2,0,l,False,,6.7056
111_112_113_EBT,112,111_112_bay,112_113,thru,EBT,1,0.0,1,0,s,False,,26.8224
111_112_5265_EBR,112,111_112_bay,112_5265,right,EBR,1,0.0,0,0,r,False,,4.02336
111_117_to_111_117_bay,111_117_bay_node,111_117,111_117_bay,thru,TURN_BAY_CONNECTOR,3,0.0,"0,1,1","0,1,2",s,True,free,
111_117_452_NBL,117,111_117_bay,117_452,left,NBL,1,51.0,2,0,l,False,,6.7056
111_117_91_NBT,117,111_117_bay,117_91,thru,NBT,2,2026.0,"0,1","0,1",s,False,,26.8224
111_117_451_NBR,117,111_117_bay,117_451,right,NBR,1,1.0,0,0,r,False,,4.02336
111_124_to_111_124_bay,111_124_bay_node,111_124,111_124_bay,thru,TURN_BAY_CONNECTOR,5,0.0,"0,0,1,1,1","0,1,2,3,4",s,True,free,
111_124_125_SBL,124,111_124_bay,124_125,left,SBL,2,99.0,"3,4","1,0",l,False,,6.7056
111_124_139_SBT,124,111_124_bay,124_139,thru,SBT,2,408.0,"1,2","0,1",s,False,,26.8224
111_124_123_SBR,124,111_124_bay,124_123,right,SBR,1,126.0,0,0,r,False,,4.02336
112_111_to_112_111_bay,112_111_bay_node,112_111,112_111_bay,thru,TURN_BAY_CONNECTOR,3,0.0,"0,0,0","0,1,2",s,True,free,
112_111_124_WBL,111,112_111_bay,111_124,left,WBL,1,0.0,2,1,l,False,,6.7056
112_111_7254_WBT,111,112_111_bay,111_7254,thru,WBT,1,0.0,1,0,s,False,,26.8224
112_111_117_WBR,111,112_111_bay,111_117,right,WBR,1,0.0,0,0,r,False,,4.02336
112_113_to_112_113_bay,112_113_bay_node,112_113,112_113_bay,thru,TURN_BAY_CONNECTOR,2,0.0,"0,0","0,1",s,True,free,
112_113_106_EBL,113,112_113_bay,113_106,left,EBL,1,13.0,1,2,l,False,,6.7056
112_113_7257_EBT,113,112_113_bay,113_7257,thru,EBT,1,6.0,0,0,s,False,,26.8224
112_113_127_EBR,113,112_113_bay,113_127,right,EBR,1,36.0,0,0,r,False,,4.02336
112_92_to_112_92_bay,112_92_bay_node,112_92,112_92_bay,thru,TURN_BAY_CONNECTOR,2,0.0,"0,0","0,1",s,True,free,
112_92_548_NBL,92,112_92_bay,92_548,left,NBL,1,55.0,1,1,l,False,,6.7056
112_92_74_NBT,92,112_92_bay,92_74,thru,NBT,1,199.0,0,0,s,False,,26.8224
112_92_95_NBR,92,112_92_bay,92_95,right,NBR,1,31.0,0,0,r,False,,4.02336
113_106_to_113_106_bay,113_106_bay_node,113_106,113_106_bay,thru,TURN_BAY_CONNECTOR,4,0.0,"0,1,2,2","0,1,2,3",s,True,free,
113_106_7255_NBL,106,113_106_bay,106_7255,left,NBL,1,51.0,3,0,l,False,,6.7056
