node_id,x_coord,y_coord,node_type,INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed,INTID_base,TYPE_DESC
159,-111.95250066835412,33.37827575281467,Signalized,159,0,12857,10789,0,,,,,,,0,Signalized
160,-111.94600520517727,33.37827923636506,Signalized,160,0,14840,10790,0,,,,,,,0,Signalized
161,-111.95517800064245,33.354814399196826,Bend,161,2,12038,2252,0,,,,,,,0,Bend
162,-111.93942130219418,33.378307116360794,Signalized,162,0,16850,10800,0,,,,,,,0,Signalized
163,-111.93532355748681,33.378329173260525,Signalized,163,0,18101,10808,0,,,,,,,0,Signalized
164,-111.90268428311536,33.36457318659231,External Node,164,1,28067,5804,0,,,,,,,0,External Node
165,-111.92873964698205,33.378361982987165,Signalized,165,0,20111,10820,0,,,,,,,0,Signalized
166,-111.92063258614863,33.37840251853856,Signalized,166,0,22586,10835,0,,,,,,,0,Signalized
167,-111.93912838200842,33.34729698851365,External Node,167,1,16939,-484,0,,,,,,,0,External Node
168,-111.90934164890513,33.37845839107508,Signalized,168,0,26033,10856,0,,,,,,,0,Signalized
169,-111.96239546417269,33.38650466557631,External Node,169,1,9837,13784,0,,,,,,,0,External Node
170,-111.90069737483022,33.378497511564625,Signalized,170,0,28672,10871,0,,,,,,,0,Signalized
171,-111.96245661982586,33.351515228432326,Unsignalized,171,3,9815,1052,0,,,,,,,0,Unsignalized
172,-111.89372364334565,33.378531103203876,Signalized,172,0,30801,10884,0,,,,,,,0,Signalized
173,-111.91799695804474,33.43874288911307,External Node,173,1,23387,32792,0,,,,,,,0,External Node
174,-111.92869787062912,33.36752603860781,Signalized,174,0,20124,6877,0,,,,,,,0,Signalized
175,-111.91134801020355,33.372209509955724,Signalized,175,0,25421,8582,0,,,,,,,0,Signalized
176,-111.9205901166575,33.377726470039875,External Node,176,1,22599,10589,0,,,,,,,0,External Node
177,-111.91134219466966,33.369516324313544,Signalized,177,0,25423,7602,0,,,,,,,0,Signalized
178,-111.9546036351151,33.363740490064245,Signalized,178,0,12214,5500,0,,,,,,,0,Signalized
179,-111.97127826756098,33.35139755618618,External Node,179,1,7121,1010,0,,,,,,,0,External Node
180,-111.94593790793786,33.36374703831445,Signalized,180,0,14860,5502,0,,,,,,,0,Signalized
