RECORDNAME,INTID,NB,SB,EB,WB,NE,NW,SE,SW
Lanes,420,4,0,5,6,,,,
Name,420,Price Freeway NB,Price Freeway NB,Elliot,Elliot,,,,
Distance,420,928,450,430,350,,,,
Speed,420,30,30,45,45,,,,
Time,420,21.1,10.2,6.5,5.3,,,,
Grade,420,0,0,0,0,,,,
Median,420,12,12,24,24,,,,
Offset,420,0,0,0,0,,,,
TWLTL,420,0,0,0,0,,,,
Crosswalk Width,420,16,16,16,16,,,,
Mandatory Distance,420,458,458,458,458,,,,
Mandatory Distance2,420,1320,1320,1980,1980,,,,
Positioning Distance,420,880,880,1320,1320,,,,
Positioning Distance2,420,1760,1760,2640,2640,,,,
Curve Pt X,420,,,,,,,,
Curve Pt Y,420,,,,,,,,
Curve Pt Z,420,,,,,,,,
Link Is Hidden,420,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,420,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,421,149,165,,,,,,
Lanes,421,*2,*3,,,,,,
Name,421,Rural Road,Rural Road,,,,,,
Distance,421,2061,200,,,,,,
Speed,421,45,45,,,,,,
Time,421,31.2,3,,,,,,
Grade,421,0,0,,,,,,
Median,421,24,24,,,,,,
Offset,421,0,0,,,,,,
TWLTL,421,0,0,,,,,,
Crosswalk Width,421,16,16,,,,,,
Mandatory Distance,421,100,100,,,,,,
Mandatory Distance2,421,1980,1980,,,,,,
Positioning Distance,421,1320,1320,,,,,,
Positioning Distance2,421,2640,2640,,,,,,
Curve Pt X,421,,,,,,,,
Curve Pt Y,421,,,,,,,,
Curve Pt Z,421,,,,,,,,
Link Is Hidden,421,FALSE,FALSE,,,,,,
Street Name Is Hidden,421,FALSE,FALSE,,,,,,
Up ID,422,240,215,,,,,,
Lanes,422,*2,*3,,,,,,
Name,422,McClintock Drive,McClintock Drive,,,,,,
Distance,422,4821,438,,,,,,
Speed,422,45,45,,,,,,
Time,422,73,6.6,,,,,,
Grade,422,0,0,,,,,,
Median,422,12,12,,,,,,
Offset,422,0,0,,,,,,
TWLTL,422,0,0,,,,,,
Crosswalk Width,422,16,16,,,,,,
Mandatory Distance,422,100,100,,,,,,
Mandatory Distance2,422,1980,1980,,,,,,
Positioning Distance,422,1320,1320,,,,,,
Positioning Distance2,422,2640,2640,,,,,,
Curve Pt X,422,,,,,,,,
Curve Pt Y,422,,,,,,,,
Curve Pt Z,422,,,,,,,,
Link Is Hidden,422,FALSE,FALSE,,,,,,
Street Name Is Hidden,422,FALSE,FALSE,,,,,,
Up ID,423,248,236,,,,,,
Lanes,423,*2,3,,,,,,
Name,423,Rural Road,Rural Road,,,,,,
Distance,423,2426,220,,,,,,
Speed,423,45,45,,,,,,
Time,423,36.8,3.3,,,,,,
Grade,423,0,0,,,,,,
Median,423,12,12,,,,,,
Offset,423,0,0,,,,,,
TWLTL,423,0,0,,,,,,
Crosswalk Width,423,16,16,,,,,,
Mandatory Distance,423,100,100,,,,,,
Mandatory Distance2,423,1980,1980,,,,,,
Positioning Distance,423,1320,1320,,,,,,
Positioning Distance2,423,2640,2640,,,,,,
Curve Pt X,423,,,,,,,,
Curve Pt Y,423,,,,,,,,
Curve Pt Z,423,,,,,,,,
Link Is Hidden,423,FALSE,FALSE,,,,,,
Street Name Is Hidden,423,FALSE,FALSE,,,,,,
Up ID,424,,,147,,,,,
Lanes,424,,,1,,,,,
Name,424,,,Embassy Suites,,,,,
Distance,424,,,186,,,,,
Speed,424,,,30,,,,,
Time,424,,,4.2,,,,,
Grade,424,,,0,,,,,
Median,424,,,12,,,,,
Offset,424,,,0,,,,,
TWLTL,424,,,0,,,,,
Crosswalk Width,424,,,16,,,,,
Mandatory Distance,424,,,200,,,,,
Mandatory Distance2,424,,,1320,,,,,
Positioning Distance,424,,,880,,,,,
Positioning Distance2,424,,,1760,,,,,
Curve Pt X,424,,,,,,,,
Curve Pt Y,424,,,,,,,,
Curve Pt Z,424,,,,,,,,
Link Is Hidden,424,,,FALSE,,,,,
Street Name Is Hidden,424,,,FALSE,,,,,
Up ID,425,,,,226,,,,
Lanes,425,,,,1,,,,
Name,425,,,,Ruby,,,,
Distance,425,,,,728,,,,
Speed,425,,,,30,,,,
Time,425,,,,16.5,,,,
Grade,425,,,,0,,,,
Median,425,,,,12,,,,
Offset,425,,,,0,,,,
TWLTL,425,,,,0,,,,
Crosswalk Width,425,,,,16,,,,
Mandatory Distance,425,,,,200,,,,
Mandatory Distance2,425,,,,1320,,,,
Positioning Distance,425,,,,880,,,,
Positioning Distance2,425,,,,1760,,,,
Curve Pt X,425,,,,,,,,
Curve Pt Y,425,,,,,,,,
Curve Pt Z,425,,,,,,,,
Link Is Hidden,425,,,,FALSE,,,,
Street Name Is Hidden,425,,,,FALSE,,,,
Up ID,426,282,158,,,324,,,
Lanes,426,2,0,,,1,,,
Name,426,Price Freeway NB,Price Freeway NB,,,,,,
Distance,426,471,204,,,776,,,
Speed,426,30,30,,,30,,,
Time,426,10.7,4.6,,,17.6,,,
Grade,426,0,0,,,0,,,
Median,426,0,0,,,12,,,
Offset,426,0,0,,,0,,,
TWLTL,426,0,0,,,0,,,
Crosswalk Width,426,16,16,,,16,,,
Mandatory Distance,426,200,200,,,200,,,
Mandatory Distance2,426,1320,1320,,,1320,,,
Positioning Distance,426,880,880,,,880,,,
Positioning Distance2,426,1760,1760,,,1760,,,
Curve Pt X,426,,,,,,,,
Curve Pt Y,426,,,,,,,,
Curve Pt Z,426,,,,,,,,
Link Is Hidden,426,FALSE,FALSE,,,FALSE,,,
Street Name Is Hidden,426,FALSE,FALSE,,,FALSE,,,
Up ID,427,,,,224,,,,
Lanes,427,,,,1,,,,
Name,427,,,,,,,,
Distance,427,,,,160,,,,
Speed,427,,,,30,,,,
Time,427,,,,3.6,,,,
Grade,427,,,,0,,,,
Median,427,,,,12,,,,
Offset,427,,,,0,,,,
TWLTL,427,,,,0,,,,
Crosswalk Width,427,,,,16,,,,
Mandatory Distance,427,,,,200,,,,
Mandatory Distance2,427,,,,1320,,,,
Positioning Distance,427,,,,880,,,,
Positioning Distance2,427,,,,1760,,,,
Curve Pt X,427,,,,,,,,
Curve Pt Y,427,,,,,,,,
Curve Pt Z,427,,,,,,,,
Link Is Hidden,427,,,,FALSE,,,,
Street Name Is Hidden,427,,,,FALSE,,,,
Up ID,428,152,,,,,,,
Lanes,428,1,,,,,,,
Name,428,Calle Los Cerros,,,,,,,
Distance,428,276,,,,,,,
Speed,428,30,,,,,,,
Time,428,6.3,,,,,,,
Grade,428,0,,,,,,,
Median,428,12,,,,,,,
Offset,428,0,,,,,,,
TWLTL,428,0,,,,,,,
Crosswalk Width,428,16,,,,,,,
Mandatory Distance,428,200,,,,,,,
Mandatory Distance2,428,1320,,,,,,,
Positioning Distance,428,880,,,,,,,
Positioning Distance2,428,1760,,,,,,,
Curve Pt X,428,,,,,,,,
Curve Pt Y,428,,,,,,,,
Curve Pt Z,428,,,,,,,,
Link Is Hidden,428,FALSE,,,,,,,
Street Name Is Hidden,428,FALSE,,,,,,,
Up ID,429,268,383,,,,,,
Lanes,429,*1,*2,,,,,,
Name,429,Price Freeway SB,Price Freeway SB,,,,,,
Distance,429,519,3247,,,,,,
Speed,429,30,45,,,,,,
Time,429,11.8,49.2,,,,,,
Grade,429,0,0,,,,,,
Median,429,0,0,,,,,,
Offset,429,0,0,,,,,,
TWLTL,429,0,0,,,,,,
Crosswalk Width,429,16,16,,,,,,
Mandatory Distance,429,100,100,,,,,,
Mandatory Distance2,429,1320,1980,,,,,,
Positioning Distance,429,880,1320,,,,,,
Positioning Distance2,429,1760,2640,,,,,,
Curve Pt X,429,,,,,,,,
Curve Pt Y,429,,,,,,,,
Curve Pt Z,429,,,,,,,,
Link Is Hidden,429,FALSE,FALSE,,,,,,
Street Name Is Hidden,429,FALSE,FALSE,,,,,,
Up ID,430,,,,107,,,,
Lanes,430,,,,1,,,,
Name,430,,,,Cotton Center Blvd,,,,
Distance,430,,,,616,,,,
Speed,430,,,,30,,,,
Time,430,,,,14,,,,
Grade,430,,,,0,,,,
Median,430,,,,12,,,,
Offset,430,,,,0,,,,
TWLTL,430,,,,0,,,,
Crosswalk Width,430,,,,16,,,,
Mandatory Distance,430,,,,200,,,,
Mandatory Distance2,430,,,,1320,,,,
Positioning Distance,430,,,,880,,,,
Positioning Distance2,430,,,,1760,,,,
Curve Pt X,430,,,,,,,,
Curve Pt Y,430,,,,,,,,
Curve Pt Z,430,,,,,,,,
Link Is Hidden,430,,,,FALSE,,,,
Street Name Is Hidden,430,,,,FALSE,,,,
Up ID,431,,,107,,,,,
Lanes,431,,,1,,,,,
Name,431,,,Cotton Center Blvd,,,,,
Distance,431,,,421,,,,,
Speed,431,,,30,,,,,
Time,431,,,9.6,,,,,
Grade,431,,,0,,,,,
Median,431,,,0,,,,,
Offset,431,,,0,,,,,
TWLTL,431,,,0,,,,,
Crosswalk Width,431,,,16,,,,,
Mandatory Distance,431,,,200,,,,,
Mandatory Distance2,431,,,1320,,,,,
Positioning Distance,431,,,880,,,,,
Positioning Distance2,431,,,1760,,,,,
Curve Pt X,431,,,,,,,,
Curve Pt Y,431,,,,,,,,
Curve Pt Z,431,,,,,,,,
Link Is Hidden,431,,,FALSE,,,,,
Street Name Is Hidden,431,,,FALSE,,,,,
Up ID,432,370,223,,,,,,
Lanes,432,0,*2,,,,,,
Name,432,Price Freeway SB,Price Freeway SB,,,,,,
Distance,432,2197,778,,,,,,
Speed,432,30,40,,,,,,
Time,432,49.9,13.3,,,,,,
Grade,432,0,0,,,,,,
Median,432,0,0,,,,,,
Offset,432,0,0,,,,,,
TWLTL,432,0,0,,,,,,
Crosswalk Width,432,16,16,,,,,,
Mandatory Distance,432,100,100,,,,,,
Mandatory Distance2,432,1320,1761,,,,,,
Positioning Distance,432,880,1174,,,,,,
Positioning Distance2,432,1760,2348,,,,,,
Curve Pt X,432,,,,,,,,
Curve Pt Y,432,,,,,,,,
Curve Pt Z,432,,,,,,,,
Link Is Hidden,432,FALSE,FALSE,,,,,,
Street Name Is Hidden,432,FALSE,FALSE,,,,,,
Up ID,433,163,,,,,,,
Lanes,433,1,,,,,,,
Name,433,College,,,,,,,
Distance,433,470,,,,,,,
Speed,433,30,,,,,,,
Time,433,10.7,,,,,,,
Grade,433,0,,,,,,,
Median,433,12,,,,,,,
Offset,433,0,,,,,,,
TWLTL,433,0,,,,,,,
Crosswalk Width,433,16,,,,,,,
Mandatory Distance,433,200,,,,,,,
Mandatory Distance2,433,1320,,,,,,,
Positioning Distance,433,880,,,,,,,
Positioning Distance2,433,1760,,,,,,,
Curve Pt X,433,,,,,,,,
Curve Pt Y,433,,,,,,,,
Curve Pt Z,433,,,,,,,,
Link Is Hidden,433,FALSE,,,,,,,
Street Name Is Hidden,433,FALSE,,,,,,,
Up ID,434,,,197,,,,,
Lanes,434,,,1,,,,,
Name,434,,,Western Canal Path,,,,,
Distance,434,,,1167,,,,,
Speed,434,,,30,,,,,
Time,434,,,26.5,,,,,
Grade,434,,,0,,,,,
Median,434,,,0,,,,,
Offset,434,,,0,,,,,
TWLTL,434,,,0,,,,,
Crosswalk Width,434,,,16,,,,,
Mandatory Distance,434,,,200,,,,,
Mandatory Distance2,434,,,1320,,,,,
Positioning Distance,434,,,880,,,,,
Positioning Distance2,434,,,1760,,,,,
Curve Pt X,434,,,,,,,,
Curve Pt Y,434,,,,,,,,
Curve Pt Z,434,,,,,,,,
Link Is Hidden,434,,,FALSE,,,,,
Street Name Is Hidden,434,,,FALSE,,,,,
Up ID,435,,163,,,,,,
Lanes,435,,1,,,,,,
Name,435,,College,,,,,,
Distance,435,,427,,,,,,
Speed,435,,30,,,,,,
Time,435,,9.7,,,,,,
Grade,435,,0,,,,,,
Median,435,,12,,,,,,
Offset,435,,0,,,,,,
TWLTL,435,,0,,,,,,
Crosswalk Width,435,,16,,,,,,
Mandatory Distance,435,,200,,,,,,
Mandatory Distance2,435,,1320,,,,,,
Positioning Distance,435,,880,,,,,,
Positioning Distance2,435,,1760,,,,,,
Curve Pt X,435,,,,,,,,
Curve Pt Y,435,,,,,,,,
Curve Pt Z,435,,,,,,,,
Link Is Hidden,435,,FALSE,,,,,,
Street Name Is Hidden,435,,FALSE,,,,,,
Up ID,436,,,198,,,,,
Lanes,436,,,1,,,,,
Name,436,,,Western Canal Path,,,,,
Distance,436,,,2020,,,,,
Speed,436,,,30,,,,,
Time,436,,,45.9,,,,,
Grade,436,,,0,,,,,
Median,436,,,0,,,,,
Offset,436,,,0,,,,,
TWLTL,436,,,0,,,,,
Crosswalk Width,436,,,16,,,,,
Mandatory Distance,436,,,200,,,,,
Mandatory Distance2,436,,,1320,,,,,
Positioning Distance,436,,,880,,,,,
Positioning Distance2,436,,,1760,,,,,
Curve Pt X,436,,,,,,,,
Curve Pt Y,436,,,,,,,,
Curve Pt Z,436,,,,,,,,
Link Is Hidden,436,,,FALSE,,,,,
Street Name Is Hidden,436,,,FALSE,,,,,
Up ID,437,,,,198,,,,
Lanes,437,,,,1,,,,
Name,437,,,,Western Canal Path,,,,
Distance,437,,,,2783,,,,
Speed,437,,,,30,,,,
Time,437,,,,63.3,,,,
Grade,437,,,,0,,,,
Median,437,,,,0,,,,
Offset,437,,,,0,,,,
TWLTL,437,,,,0,,,,
Crosswalk Width,437,,,,16,,,,
Mandatory Distance,437,,,,200,,,,
Mandatory Distance2,437,,,,1320,,,,
Positioning Distance,437,,,,880,,,,
Positioning Distance2,437,,,,1760,,,,
Curve Pt X,437,,,,,,,,
Curve Pt Y,437,,,,,,,,
Curve Pt Z,437,,,,,,,,
Link Is Hidden,437,,,,FALSE,,,,
Street Name Is Hidden,437,,,,FALSE,,,,
Up ID,438,491,,,,,,,
Lanes,438,0,,,,,,,
Name,438,I-10 EB,,,,,,,
Distance,438,450,,,,,,,
Speed,438,30,,,,,,,
Time,438,10.2,,,,,,,
Grade,438,0,,,,,,,
Median,438,0,,,,,,,
Offset,438,0,,,,,,,
TWLTL,438,0,,,,,,,
Crosswalk Width,438,16,,,,,,,
Mandatory Distance,438,200,,,,,,,
Mandatory Distance2,438,1320,,,,,,,
Positioning Distance,438,880,,,,,,,
Positioning Distance2,438,1760,,,,,,,
Curve Pt X,438,,,,,,,,
Curve Pt Y,438,,,,,,,,
Curve Pt Z,438,,,,,,,,
Link Is Hidden,438,FALSE,,,,,,,
Street Name Is Hidden,438,FALSE,,,,,,,
Up ID,439,216,,,,,,,
Lanes,439,1,,,,,,,
Name,439,Los Feliz,,,,,,,
Distance,439,1069,,,,,,,
Speed,439,30,,,,,,,
Time,439,24.3,,,,,,,
Grade,439,0,,,,,,,
Median,439,12,,,,,,,
Offset,439,0,,,,,,,
TWLTL,439,0,,,,,,,
Crosswalk Width,439,16,,,,,,,
Mandatory Distance,439,200,,,,,,,
Mandatory Distance2,439,1320,,,,,,,
Positioning Distance,439,880,,,,,,,
Positioning Distance2,439,1760,,,,,,,
Curve Pt X,439,,,,,,,,
Curve Pt Y,439,,,,,,,,
Curve Pt Z,439,,,,,,,,
Link Is Hidden,439,FALSE,,,,,,,
Street Name Is Hidden,439,FALSE,,,,,,,
Up ID,440,,216,,,,,,
Lanes,440,,1,,,,,,
Name,440,,Los Feliz,,,,,,
Distance,440,,1131,,,,,,
Speed,440,,30,,,,,,
Time,440,,25.7,,,,,,
Grade,440,,0,,,,,,
Median,440,,12,,,,,,
Offset,440,,0,,,,,,
TWLTL,440,,0,,,,,,
Crosswalk Width,440,,16,,,,,,
Mandatory Distance,440,,200,,,,,,
Mandatory Distance2,440,,1320,,,,,,
Positioning Distance,440,,880,,,,,,
Positioning Distance2,440,,1760,,,,,,
Curve Pt X,440,,,,,,,,
Curve Pt Y,440,,,,,,,,
Curve Pt Z,440,,,,,,,,
Link Is Hidden,440,,FALSE,,,,,,
Street Name Is Hidden,440,,FALSE,,,,,,
Up ID,441,,205,,,,,,
Lanes,441,,1,,,,,,
Name,441,,Beck,,,,,,
Distance,441,,145,,,,,,
Speed,441,,30,,,,,,
Time,441,,3.3,,,,,,
Grade,441,,0,,,,,,
Median,441,,12,,,,,,
Offset,441,,0,,,,,,
TWLTL,441,,0,,,,,,
Crosswalk Width,441,,16,,,,,,
Mandatory Distance,441,,200,,,,,,
Mandatory Distance2,441,,1320,,,,,,
Positioning Distance,441,,880,,,,,,
Positioning Distance2,441,,1760,,,,,,
Curve Pt X,441,,,,,,,,
Curve Pt Y,441,,,,,,,,
Curve Pt Z,441,,,,,,,,
Link Is Hidden,441,,FALSE,,,,,,
Street Name Is Hidden,441,,FALSE,,,,,,
Up ID,442,54,,,,,,,
Lanes,442,0,,,,,,,
Name,442,Paseo Del Saber,,,,,,,
Distance,442,292,,,,,,,
Speed,442,30,,,,,,,
Time,442,6.6,,,,,,,
Grade,442,0,,,,,,,
Median,442,0,,,,,,,
Offset,442,0,,,,,,,
TWLTL,442,0,,,,,,,
Crosswalk Width,442,16,,,,,,,
Mandatory Distance,442,200,,,,,,,
Mandatory Distance2,442,1320,,,,,,,
Positioning Distance,442,880,,,,,,,
Positioning Distance2,442,1760,,,,,,,
Curve Pt X,442,,,,,,,,
Curve Pt Y,442,,,,,,,,
Curve Pt Z,442,,,,,,,,
Link Is Hidden,442,FALSE,,,,,,,
Street Name Is Hidden,442,FALSE,,,,,,,
Up ID,443,,54,,,,,,
Lanes,443,,0,,,,,,
Name,443,,Paseo Del Saber,,,,,,
Distance,443,,396,,,,,,
Speed,443,,30,,,,,,
Time,443,,9,,,,,,
Grade,443,,0,,,,,,
Median,443,,0,,,,,,
Offset,443,,0,,,,,,
TWLTL,443,,0,,,,,,
Crosswalk Width,443,,16,,,,,,
Mandatory Distance,443,,200,,,,,,
Mandatory Distance2,443,,1320,,,,,,
Positioning Distance,443,,880,,,,,,
Positioning Distance2,443,,1760,,,,,,
Curve Pt X,443,,,,,,,,
Curve Pt Y,443,,,,,,,,
Curve Pt Z,443,,,,,,,,
Link Is Hidden,443,,FALSE,,,,,,
Street Name Is Hidden,443,,FALSE,,,,,,
Up ID,444,,746,,,,,,
Lanes,444,,0,,,,,,
Name,444,,I-10 WB,,,,,,
Distance,444,,705,,,,,,
Speed,444,,30,,,,,,
Time,444,,16,,,,,,
Grade,444,,0,,,,,,
Median,444,,0,,,,,,
Offset,444,,0,,,,,,
TWLTL,444,,0,,,,,,
Crosswalk Width,444,,16,,,,,,
Mandatory Distance,444,,200,,,,,,
Mandatory Distance2,444,,1320,,,,,,
Positioning Distance,444,,880,,,,,,
Positioning Distance2,444,,1760,,,,,,
Curve Pt X,444,,,,,,,,
Curve Pt Y,444,,,,,,,,
Curve Pt Z,444,,,,,,,,
Link Is Hidden,444,,FALSE,,,,,,
Street Name Is Hidden,444,,FALSE,,,,,,
Up ID,445,257,254,245,321,,,,
Lanes,445,4,0,5,6,,,,
Name,445,Price Freeway NB,Price Freeway NB,Warner,Warner,,,,
Distance,445,607,367,330,295,,,,
Speed,445,30,30,45,45,,,,
Time,445,13.8,8.3,5,4.5,,,,
Grade,445,0,0,0,0,,,,
Median,445,12,12,24,24,,,,
Offset,445,0,0,0,0,,,,
TWLTL,445,0,0,0,0,,,,
Crosswalk Width,445,16,16,16,16,,,,
Mandatory Distance,445,458,458,458,458,,,,
Mandatory Distance2,445,1320,1320,1980,1980,,,,
Positioning Distance,445,880,880,1320,1320,,,,
Positioning Distance2,445,1760,1760,2640,2640,,,,
Curve Pt X,445,,,,,,,,
Curve Pt Y,445,,,,,,,,
Curve Pt Z,445,,,,,,,,
Link Is Hidden,445,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,445,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,446,126,,,,,,,
Lanes,446,1,,,,,,,
Name,446,Butte Ave,,,,,,,
Distance,446,776,,,,,,,
Speed,446,30,,,,,,,
Time,446,17.6,,,,,,,
Grade,446,0,,,,,,,
Median,446,12,,,,,,,
Offset,446,0,,,,,,,
TWLTL,446,0,,,,,,,
Crosswalk Width,446,16,,,,,,,
Mandatory Distance,446,200,,,,,,,
Mandatory Distance2,446,1320,,,,,,,
Positioning Distance,446,880,,,,,,,
Positioning Distance2,446,1760,,,,,,,
Curve Pt X,446,,,,,,,,
Curve Pt Y,446,,,,,,,,
Curve Pt Z,446,,,,,,,,
Link Is Hidden,446,FALSE,,,,,,,
Street Name Is Hidden,446,FALSE,,,,,,,
Up ID,447,,126,,,,,,
Lanes,447,,1,,,,,,
Name,447,,Butte Ave,,,,,,
Distance,447,,776,,,,,,
Speed,447,,30,,,,,,
Time,447,,17.6,,,,,,
Grade,447,,0,,,,,,
Median,447,,12,,,,,,
Offset,447,,0,,,,,,
TWLTL,447,,0,,,,,,
Crosswalk Width,447,,16,,,,,,
Mandatory Distance,447,,200,,,,,,
Mandatory Distance2,447,,1320,,,,,,
Positioning Distance,447,,880,,,,,,
Positioning Distance2,447,,1760,,,,,,
Curve Pt X,447,,,,,,,,
Curve Pt Y,447,,,,,,,,
Curve Pt Z,447,,,,,,,,
Link Is Hidden,447,,FALSE,,,,,,
Street Name Is Hidden,447,,FALSE,,,,,,
Up ID,448,268,,,,,,,
Lanes,448,0,,,,,,,
Name,448,,,,,,,,
Distance,448,626,,,,,,,
Speed,448,30,,,,,,,
Time,448,14.2,,,,,,,
Grade,448,0,,,,,,,
Median,448,0,,,,,,,
Offset,448,0,,,,,,,
TWLTL,448,0,,,,,,,
Crosswalk Width,448,16,,,,,,,
Mandatory Distance,448,200,,,,,,,
Mandatory Distance2,448,1320,,,,,,,
Positioning Distance,448,880,,,,,,,
Positioning Distance2,448,1760,,,,,,,
Curve Pt X,448,,,,,,,,
Curve Pt Y,448,,,,,,,,
Curve Pt Z,448,,,,,,,,
Link Is Hidden,448,FALSE,,,,,,,
Street Name Is Hidden,448,FALSE,,,,,,,
Up ID,449,,,224,,,,,
Lanes,449,,,2,,,,,
Name,449,,,Playa Del Norte,,,,,
Distance,449,,,698,,,,,
Speed,449,,,30,,,,,
Time,449,,,15.9,,,,,
Grade,449,,,0,,,,,
Median,449,,,12,,,,,
Offset,449,,,0,,,,,
TWLTL,449,,,0,,,,,
Crosswalk Width,449,,,16,,,,,
Mandatory Distance,449,,,200,,,,,
Mandatory Distance2,449,,,1320,,,,,
Positioning Distance,449,,,880,,,,,
Positioning Distance2,449,,,1760,,,,,
Curve Pt X,449,,,,,,,,
Curve Pt Y,449,,,,,,,,
Curve Pt Z,449,,,,,,,,
Link Is Hidden,449,,,FALSE,,,,,
Street Name Is Hidden,449,,,FALSE,,,,,
Up ID,450,254,,,,,,,
Lanes,450,2,,,,,,,
Name,450,,,,,,,,
Distance,450,613,,,,,,,
Speed,450,30,,,,,,,
Time,450,13.9,,,,,,,
Grade,450,0,,,,,,,
Median,450,0,,,,,,,
Offset,450,0,,,,,,,
TWLTL,450,0,,,,,,,
Crosswalk Width,450,16,,,,,,,
Mandatory Distance,450,200,,,,,,,
Mandatory Distance2,450,1320,,,,,,,
Positioning Distance,450,880,,,,,,,
Positioning Distance2,450,1760,,,,,,,
Curve Pt X,450,,,,,,,,
Curve Pt Y,450,,,,,,,,
Curve Pt Z,450,,,,,,,,
Link Is Hidden,450,FALSE,,,,,,,
Street Name Is Hidden,450,FALSE,,,,,,,
Up ID,451,,,117,,,,,
Lanes,451,,,1,,,,,
Name,451,,,Broadmor Dr,,,,,
Distance,451,,,558,,,,,
Speed,451,,,30,,,,,
Time,451,,,12.7,,,,,
Grade,451,,,0,,,,,
Median,451,,,12,,,,,
Offset,451,,,0,,,,,
TWLTL,451,,,0,,,,,
Crosswalk Width,451,,,16,,,,,
Mandatory Distance,451,,,200,,,,,
Mandatory Distance2,451,,,1320,,,,,
Positioning Distance,451,,,880,,,,,
Positioning Distance2,451,,,1760,,,,,
Curve Pt X,451,,,,,,,,
Curve Pt Y,451,,,,,,,,
Curve Pt Z,451,,,,,,,,
Link Is Hidden,451,,,FALSE,,,,,
Street Name Is Hidden,451,,,FALSE,,,,,
Up ID,452,,,,117,,,,
Lanes,452,,,,1,,,,
Name,452,,,,Broadmor Dr,,,,
Distance,452,,,,570,,,,
Speed,452,,,,30,,,,
Time,452,,,,13,,,,
Grade,452,,,,0,,,,
Median,452,,,,12,,,,
Offset,452,,,,0,,,,
TWLTL,452,,,,0,,,,
Crosswalk Width,452,,,,16,,,,
Mandatory Distance,452,,,,200,,,,
Mandatory Distance2,452,,,,1320,,,,
Positioning Distance,452,,,,880,,,,
Positioning Distance2,452,,,,1760,,,,
Curve Pt X,452,,,,,,,,
Curve Pt Y,452,,,,,,,,
Curve Pt Z,452,,,,,,,,
Link Is Hidden,452,,,,FALSE,,,,
Street Name Is Hidden,452,,,,FALSE,,,,
Up ID,453,203,,,,,,,
Lanes,453,1,,,,,,,
Name,453,Harl,,,,,,,
Distance,453,366,,,,,,,
Speed,453,30,,,,,,,
Time,453,8.3,,,,,,,
Grade,453,0,,,,,,,
Median,453,12,,,,,,,
Offset,453,0,,,,,,,
TWLTL,453,0,,,,,,,
Crosswalk Width,453,16,,,,,,,
Mandatory Distance,453,200,,,,,,,
Mandatory Distance2,453,1320,,,,,,,
Positioning Distance,453,880,,,,,,,
Positioning Distance2,453,1760,,,,,,,
Curve Pt X,453,,,,,,,,
Curve Pt Y,453,,,,,,,,
Curve Pt Z,453,,,,,,,,
Link Is Hidden,453,FALSE,,,,,,,
Street Name Is Hidden,453,FALSE,,,,,,,
Up ID,454,,247,,,,,,
Lanes,454,,1,,,,,,
Name,454,,Lakeside Dr,,,,,,
Distance,454,,492,,,,,,
Speed,454,,30,,,,,,
Time,454,,11.2,,,,,,
Grade,454,,0,,,,,,
Median,454,,0,,,,,,
Offset,454,,0,,,,,,
TWLTL,454,,0,,,,,,
Crosswalk Width,454,,16,,,,,,
Mandatory Distance,454,,200,,,,,,
Mandatory Distance2,454,,1320,,,,,,
Positioning Distance,454,,880,,,,,,
Positioning Distance2,454,,1760,,,,,,
Curve Pt X,454,,,,,,,,
Curve Pt Y,454,,,,,,,,
Curve Pt Z,454,,,,,,,,
Link Is Hidden,454,,FALSE,,,,,,
Street Name Is Hidden,454,,FALSE,,,,,,
Up ID,455,,,,246,,,,
Lanes,455,,,,1,,,,
Name,455,,,,Bus Maintenance,,,,
Distance,455,,,,2448,,,,
Speed,455,,,,30,,,,
Time,455,,,,55.6,,,,
Grade,455,,,,0,,,,
Median,455,,,,12,,,,
Offset,455,,,,0,,,,
TWLTL,455,,,,0,,,,
Crosswalk Width,455,,,,16,,,,
Mandatory Distance,455,,,,200,,,,
Mandatory Distance2,455,,,,1320,,,,
Positioning Distance,455,,,,880,,,,
Positioning Distance2,455,,,,1760,,,,
Curve Pt X,455,,,,6002,,,,
Curve Pt Y,455,,,,30248,,,,
Curve Pt Z,455,,,,0,,,,
Link Is Hidden,455,,,,FALSE,,,,
Street Name Is Hidden,455,,,,FALSE,,,,
Up ID,456,107,83,,,,,,
Lanes,456,3,*3,,,,,,
Name,456,48th Street,48th Street,,,,,,
Distance,456,930,465,,,,,,
Speed,456,45,45,,,,,,
Time,456,14.1,7,,,,,,
Grade,456,0,0,,,,,,
Median,456,24,24,,,,,,
Offset,456,0,0,,,,,,
TWLTL,456,0,0,,,,,,
Crosswalk Width,456,16,16,,,,,,
Mandatory Distance,456,100,100,,,,,,
Mandatory Distance2,456,1980,1980,,,,,,
Positioning Distance,456,1320,1320,,,,,,
Positioning Distance2,456,2640,2640,,,,,,
Curve Pt X,456,,,,,,,,
Curve Pt Y,456,,,,,,,,
Curve Pt Z,456,,,,,,,,
Link Is Hidden,456,FALSE,FALSE,,,,,,
Street Name Is Hidden,456,FALSE,FALSE,,,,,,
Up ID,457,,,,,,,,519
Lanes,457,,,,,,,,0
Name,457,,,,,,,,
