RECORDNAME,INTID,NB,SB,EB,WB,NE,NW,SE,SW
Mandatory Distance2,12,1980,1980,1761,,,,,
Positioning Distance,12,1320,1320,1174,,,,,
Positioning Distance2,12,2640,2640,2348,,,,,
Curve Pt X,12,,,,,,,,
Curve Pt Y,12,,,,,,,,
Curve Pt Z,12,,,,,,,,
Link Is Hidden,12,FALSE,FALSE,FALSE,,,,,
Street Name Is Hidden,12,FALSE,FALSE,FALSE,,,,,
Up ID,13,24,7002,7001,486,,,,
Lanes,13,6,6,5,5,,,,
Name,13,Priest Drive,Priest Drive,Rio Salado Parkway,Rio Salado Parkway,,,,
Distance,13,1470,1543,2063,477,,,,
Speed,13,40,45,40,40,,,,
Time,13,25.1,23.4,35.2,8.1,,,,
Grade,13,0,0,0,0,,,,
Median,13,24,24,24,24,,,,
Offset,13,0,0,0,0,,,,
TWLTL,13,0,0,0,0,,,,
Crosswalk Width,13,16,16,16,16,,,,
Mandatory Distance,13,458,458,458,458,,,,
Mandatory Distance2,13,1761,1980,1761,1761,,,,
Positioning Distance,13,1174,1320,1174,1174,,,,
Positioning Distance2,13,2348,2640,2348,2348,,,,
Curve Pt X,13,,,9428,,,,,
Curve Pt Y,13,,,29072,,,,,
Curve Pt Z,13,,,19643,,,,,
Link Is Hidden,13,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,13,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,14,5230,7003,486,247,,,,
Lanes,14,2,3,4,3,,,,
Name,14,Hardy,Hardy,Rio Salado Parkway,Rio Salado Parkway,,,,
Distance,14,2980,1246,2201,1176,,,,
Speed,14,30,30,40,30,,,,
Time,14,67.7,28.3,37.5,26.7,,,,
Grade,14,0,0,0,0,,,,
Median,14,12,12,12,12,,,,
Offset,14,0,0,0,0,,,,
TWLTL,14,0,0,0,0,,,,
Crosswalk Width,14,16,16,16,16,,,,
Mandatory Distance,14,341,341,341,341,,,,
Mandatory Distance2,14,1320,1320,1761,1320,,,,
Positioning Distance,14,880,880,1174,880,,,,
Positioning Distance2,14,1760,1760,2348,1760,,,,
Curve Pt X,14,,12904,12192,13291,,,,
Curve Pt Y,14,,30523,29828,30104,,,,
Curve Pt Z,14,,19976,0,19976,,,,
Link Is Hidden,14,FALSE,FALSE,FALSE,FALSE,,,,
Street Name Is Hidden,14,FALSE,FALSE,FALSE,FALSE,,,,
Up ID,15,,138,,,,,,
Lanes,15,,1,,,,,,
Name,15,,Evergreen,,,,,,
Distance,15,,450,,,,,,
