link_id,from_node_id,to_node_id,lanes,length_m,free_speed_mps,geometry,main_link_id,is_turn_bay_link
109_105,109,109_105_bay_node,2,211.714646,20.1168,"POLYGON ((-111.960942 33.400138, -111.960941 33.398229, -111.960863 33.398229, -111.960863 33.400139, -111.960942 33.400138))",109_105,False
109_105_bay,109_105_bay_node,105,4,190.5,20.1168,"POLYGON ((-111.96098 33.398229, -111.96098 33.396511, -111.960823 33.396511, -111.960823 33.398229, -111.96098 33.398229))",109_105,True
109_478,109,478,2,436.655508,13.4112,"POLYGON ((-111.960902 33.400171, -111.965597 33.400195, -111.965598 33.400129, -111.960903 33.400106, -111.960902 33.400171))",109_478,False
109_5240,109,5240,2,649.027758,15.6464,"POLYGON ((-111.960902 33.400106, -111.953924 33.400107, -111.953924 33.400173, -111.960902 33.400171, -111.960902 33.400106))",109_5240,False
10_11,10,10_11_bay_node,2,740.848442,17.8816,"POLYGON ((-111.926407 33.440294, -111.918439 33.44041, -111.91844 33.440476, -111.926408 33.44036, -111.926407 33.440294))",10_11,False
10_11_bay,10_11_bay_node,11,3,38.1,17.8816,"POLYGON ((-111.918438 33.440394, -111.918028 33.4404, -111.91803 33.440499, -111.91844 33.440493, -111.918438 33.440394))",10_11,True
10_17,10,10_17_bay_node,3,396.10366,17.8816,"POLYGON ((-111.926467 33.440326, -111.926442 33.436754, -111.926324 33.436755, -111.926349 33.440327, -111.926467 33.440326))",10_17,False
10_17_bay,10_17_bay_node,17,6,71.628,17.8816,"POLYGON ((-111.926501 33.436754, -111.926497 33.436108, -111.926261 33.436109, -111.926265 33.436755, -111.926501 33.436754))",10_17,True
10_7,10,10_7_bay_node,3,376.053988,17.8816,"POLYGON ((-111.926349 33.440328, -111.926417 33.443719, -111.926535 33.443717, -111.926467 33.440326, -111.926349 33.440328))",10_7,False
10_7_bay,10_7_bay_node,7,4,39.624,17.8816,"POLYGON ((-111.926397 33.443719, -111.926404 33.444076, -111.926561 33.444074, -111.926554 33.443717, -111.926397 33.443719))",10_7,True
10_9,10,10_9_bay_node,2,363.916565,17.8816,"POLYGON ((-111.926409 33.44036, -111.930322 33.440283, -111.930321 33.440217, -111.926407 33.440294, -111.926409 33.44036))",10_9,False
10_9_bay,10_9_bay_node,9,3,53.34,17.8816,"POLYGON ((-111.930323 33.4403, -111.930897 33.440288, -111.930894 33.44019, -111.93032 33.440201, -111.930323 33.4403))",10_9,True
110_5239,110,5239,1,749.580543,15.6464,"POLYGON ((-111.952266 33.40014, -111.952267 33.4069, -111.952306 33.4069, -111.952305 33.40014, -111.952266 33.40014))",110_5239,False
110_5240,110,5240,2,152.3538,15.6464,"POLYGON ((-111.952285 33.400173, -111.953924 33.400173, -111.953924 33.400107, -111.952285 33.400107, -111.952285 33.400173))",110_5240,False
110_5241,110,5241,2,91.412256,15.6464,"POLYGON ((-111.952285 33.400107, -111.951303 33.400107, -111.951303 33.400173, -111.952285 33.400173, -111.952285 33.400107))",110_5241,False
110_5244,110,5244,2,578.944329,15.6464,"POLYGON ((-111.952325 33.40014, -111.952324 33.394919, -111.952245 33.394919, -111.952246 33.40014, -111.952325 33.40014))",110_5244,False
111_112,111,111_112_bay_node,1,403.766653,13.4112,"POLYGON ((-111.939835 33.400125, -111.935494 33.400175, -111.935494 33.400208, -111.939835 33.400158, -111.939835 33.400125))",111_112,False
111_112_bay,111_112_bay_node,112,3,38.1,13.4112,"POLYGON ((-111.935493 33.400142, -111.935084 33.400147, -111.935085 33.400246, -111.935495 33.400241, -111.935493 33.400142))",111_112,True
111_117,111,111_117_bay_node,2,226.275826,13.4112,"POLYGON ((-111.939796 33.400142, -111.939889 33.402182, -111.939967 33.402179, -111.939874 33.40014, -111.939796 33.400142))",111_117,False
111_117_bay,111_117_bay_node,117,3,45.72,13.4112,"POLYGON ((-111.939869 33.402182, -111.939888 33.402594, -111.940006 33.402591, -111.939987 33.402178, -111.939869 33.402182))",111_117,True
111_124,111,111_124_bay_node,2,717.612104,13.4112,"POLYGON ((-111.939875 33.400141, -111.939786 33.393669, -111.939707 33.39367, -111.939796 33.400141, -111.939875 33.400141))",111_124,False
111_124_bay,111_124_bay_node,124,5,80.772,13.4112,"POLYGON ((-111.939845 33.393668, -111.939835 33.39294, -111.939638 33.392942, -111.939648 33.39367, -111.939845 33.393668))",111_124,True
111_7254,111,7254,1,326.036373,13.4112,"POLYGON ((-111.939835 33.400158, -111.943341 33.400157, -111.943341 33.400124, -111.939835 33.400125, -111.939835 33.400158))",111_7254,False
112_111,112,112_111_bay_node,1,409.862653,13.4112,"POLYGON ((-111.935085 33.400213, -111.939491 33.400162, -111.939491 33.400129, -111.935084 33.40018, -111.935085 33.400213))",112_111,False
112_111_bay,112_111_bay_node,111,3,32.004,13.4112,"POLYGON ((-111.939492 33.400195, -111.939836 33.400191, -111.939834 33.400092, -111.93949 33.400096, -111.939492 33.400195))",112_111,True
112_113,112,112_113_bay_node,1,778.513632,13.4112,"POLYGON ((-111.935084 33.40018, -111.926713 33.400179, -111.926713 33.400212, -111.935084 33.400213, -111.935084 33.40018))",112_113,False
112_113_bay,112_113_bay_node,113,2,35.052,13.4112,"POLYGON ((-111.926713 33.400163, -111.926336 33.400163, -111.926336 33.400229, -111.926713 33.400229, -111.926713 33.400163))",112_113,True
112_5265,112,5265,2,728.248527,13.4112,"POLYGON ((-111.935124 33.400196, -111.935124 33.393628, -111.935045 33.393628, -111.935045 33.400196, -111.935124 33.400196))",112_5265,False
112_92,112,112_92_bay_node,1,773.945139,13.4112,"POLYGON ((-111.935065 33.400196, -111.935065 33.407176, -111.935104 33.407176, -111.935104 33.400196, -111.935065 33.400196))",112_92,False
112_92_bay,112_92_bay_node,92,2,30.48,13.4112,"POLYGON ((-111.935045 33.407176, -111.935045 33.407451, -111.935124 33.407451, -111.935124 33.407176, -111.935045 33.407176))",112_92,True
113_106,113,113_106_bay_node,3,324.500094,15.6464,"POLYGON ((-111.926277 33.400196, -111.926277 33.403122, -111.926395 33.403122, -111.926395 33.400196, -111.926277 33.400196))",113_106,False
113_106_bay,113_106_bay_node,106,4,38.1,15.6464,"POLYGON ((-111.926257 33.403122, -111.926257 33.403466, -111.926415 33.403466, -111.926415 33.403122, -111.926257 33.403122))",113_106,True
