Mandatory Distance,12,270,270,270,270,,,,
Mandatory Distance2,12,2421,2421,1101,1320,,,,
Positioning Distance,12,1614,1614,734,880,,,,
Positioning Distance2,12,3228,3228,1468,1760,,,,
Curve Pt X,12,,,9439,,,,,
Curve Pt Y,12,,,59076,,,,,
Curve Pt Z,12,,,0,,,,,
Link Is Hidden,12,false,false,false,false,,,,
Street Name Is Hidden,12,false,false,false,false,,,,
Up ID,13,,,12,,,,,
Lanes,13,,,1,,,,,
Name,13,,,Business Pkwy,,,,,
Distance,13,,,273,,,,,
Speed,13,,,30,,,,,
Time,13,,,6.2,,,,,
Grade,13,,,0,,,,,
Median,13,,,0,,,,,
Offset,13,,,0,,,,,
TWLTL,13,,,0,,,,,
Crosswalk Width,13,,,16,,,,,
Mandatory Distance,13,,,200,,,,,
Mandatory Distance2,13,,,1320,,,,,
Positioning Distance,13,,,880,,,,,
Positioning Distance2,13,,,1760,,,,,
Curve Pt X,13,,,,,,,,
Curve Pt Y,13,,,,,,,,
Curve Pt Z,13,,,,,,,,
Link Is Hidden,13,,,false,,,,,
Street Name Is Hidden,13,,,false,,,,,
Up ID,14,,,,12,,,,
Lanes,14,,,,2,,,,
Name,14,,,,Retail Centre Blvd,,,,
Distance,14,,,,601,,,,
Speed,14,,,,30,,,,
Time,14,,,,13.7,,,,
Grade,14,,,,0,,,,
Median,14,,,,12,,,,
Offset,14,,,,0,,,,
TWLTL,14,,,,0,,,,
Crosswalk Width,14,,,,16,,,,
Mandatory Distance,14,,,,200,,,,
Mandatory Distance2,14,,,,1320,,,,
Positioning Distance,14,,,,880,,,,
Positioning Distance2,14,,,,1760,,,,
Curve Pt X,14,,,,9507,,,,
Curve Pt Y,14,,,,59118,,,,
Curve Pt Z,14,,,,0,,,,
Link Is Hidden,14,,,,false,,,,
Street Name Is Hidden,14,,,,false,,,,
Up ID,17,20,55,19,18,,,,
Lanes,17,4,4,2,3,,,,
Name,17,SR95,SR95,N Palo Verde Blvd,N Palo Verde Blvd,,,,
Distance,17,5181,6885,401,340,,,,
Speed,17,45,45,25,35,,,,
Time,17,78.5,104.3,10.9,6.6,,,,
Grade,17,0,0,0,0,,,,
Median,17,12,12,12,12,,,,
Offset,17,0,0,0,0,,,,
TWLTL,17,0,0,0,0,,,,
Crosswalk Width,17,16,16,16,16,,,,
Mandatory Distance,17,270,270,270,270,,,,
Mandatory Distance2,17,1980,1980,1101,1539,,,,
Positioning Distance,17,1320,1320,734,1026,,,,
Positioning Distance2,17,2640,2640,1468,2052,,,,
Curve Pt X,17,,13176,12990,,,,,
Curve Pt Y,17,,43625,42478,,,,,
Curve Pt Z,17,,0,0,,,,,
Link Is Hidden,17,false,false,false,false,,,,
Street Name Is Hidden,17,false,false,false,false,,,,
Up ID,18,,,17,,,,,
Lanes,18,,,1,,,,,
Name,18,,,N Palo Verde Blvd,,,,,
Distance,18,,,340,,,,,
Speed,18,,,30,,,,,
Time,18,,,7.7,,,,,
Grade,18,,,0,,,,,
Median,18,,,12,,,,,
Offset,18,,,0,,,,,
TWLTL,18,,,0,,,,,
Crosswalk Width,18,,,16,,,,,
Mandatory Distance,18,,,200,,,,,
Mandatory Distance2,18,,,1320,,,,,
Positioning Distance,18,,,880,,,,,
Positioning Distance2,18,,,1760,,,,,
Curve Pt X,18,,,,,,,,
Curve Pt Y,18,,,,,,,,
Curve Pt Z,18,,,,,,,,
Link Is Hidden,18,,,false,,,,,
Street Name Is Hidden,18,,,false,,,,,
Up ID,19,,,,17,,,,
Lanes,19,,,,1,,,,
Name,19,,,,N Palo Verde Blvd,,,,
Distance,19,,,,401,,,,
Speed,19,,,,30,,,,
Time,19,,,,9.1,,,,
Grade,19,,,,0,,,,
Median,19,,,,12,,,,
Offset,19,,,,0,,,,
TWLTL,19,,,,0,,,,
Crosswalk Width,19,,,,16,,,,
Mandatory Distance,19,,,,200,,,,
Mandatory Distance2,19,,,,1320,,,,
Positioning Distance,19,,,,880,,,,
Positioning Distance2,19,,,,1760,,,,
Curve Pt X,19,,,,12857,,,,
Curve Pt Y,19,,,,42444,,,,
Curve Pt Z,19,,,,0,,,,
Link Is Hidden,19,,,,false,,,,
Street Name Is Hidden,19,,,,false,,,,
Up ID,20,23,17,21,22,,,,
Lanes,20,4,3,3,2,,,,
