[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
Speed,15,,30,,
Time,15,,7.0,,
Grade,15,,0,,
Median,15,,0,,
Offset,15,,0,,
TWLTL,15,,0,,
Crosswalk Width,15,,16,,
Mandatory Distance,15,,200,,
Mandatory Distance2,15,,1320,,
Positioning Distance,15,,880,,
Positioning Distance2,15,,1760,,
Curve Pt X,15,,,,
Curve Pt Y,15,,,,
Curve Pt Z,15,,,,
Link Is Hidden,15,,false,,
Street Name Is Hidden,15,,false,,
Up ID,16,,,17,
Lanes,16,,,2,
Name,16,,,,
Distance,16,,,741,
Speed,16,,,30,
Time,16,,,16.8,
Grade,16,,,0,
Median,16,,,0,
Offset,16,,,0,
TWLTL,16,,,0,
Crosswalk Width,16,,,16,
Mandatory Distance,16,,,200,
Mandatory Distance2,16,,,1320,
Positioning Distance,16,,,880,
Positioning Distance2,16,,,1760,
Curve Pt X,16,,,,
Curve Pt Y,16,,,,
Curve Pt Z,16,,,,
Link Is Hidden,16,,,false,
Street Name Is Hidden,16,,,false,
Up ID,17,,18,9,16
Lanes,17,,2,3,3
Name,17,,Bluewater Dr,Riverside Dr,
Distance,17,,572,3025,741
Speed,17,,30,30,30
Time,17,,13.0,68.8,16.8
Grade,17,,0,0,0
Median,17,,12,24,24
Offset,17,,0,0,0
TWLTL,17,,0,0,0
Crosswalk Width,17,,16,16,16
Mandatory Distance,17,,293,293,293
Mandatory Distance2,17,,1320,1320,1320
Positioning Distance,17,,880,880,880
Positioning Distance2,17,,1760,1760,1760
Curve Pt X,17,,,,
Curve Pt Y,17,,,,
Curve Pt Z,17,,,,
Link Is Hidden,17,,false,false,false
Street Name Is Hidden,17,,false,false,false
Up ID,18,17,,,
Lanes,18,1,,,
Name,18,Bluewater Dr,,,
Distance,18,572,,,
Speed,18,30,,,
Time,18,13.0,,,
Grade,18,0,,,
Median,18,0,,,
Offset,18,0,,,
TWLTL,18,0,,,
Crosswalk Width,18,16,,,
Mandatory Distance,18,200,,,
Mandatory Distance2,18,1320,,,
Positioning Distance,18,880,,,
Positioning Distance2,18,1760,,,
Curve Pt X,18,,,,
