[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,294,1204,0,,,,,,
2,0,1230,945,0,,,,,,
3,0,2731,777,0,,,,,,
4,2,2952,559,0,,,,,,
5,1,2740,1045,0,,,,,,
6,2,3909,290,0,,,,,,
7,1,11947,2801,0,,,,,,
8,0,5217,127,0,,,,,,
9,1,5281,744,0,,,,,,
10,1,5191,-115,0,,,,,,
11,2,8419,-641,0,,,,,,
12,0,7363,-360,0,,,,,,
13,1,7369,-56,0,,,,,,
14,1,7393,-465,0,,,,,,
15,0,11462,2327,0,,,,,,
Curve Pt Z,8,,,,0,,,,
Link Is Hidden,8,false,false,false,false,,,,
Street Name Is Hidden,8,false,false,false,false,,,,
Up ID,9,8,,,,,,,
Lanes,9,1,,,,,,,
Name,9,4th St,,,,,,,
Distance,9,620,,,,,,,
Speed,9,30,,,,,,,
Time,9,14.1,,,,,,,
Grade,9,0,,,,,,,
Median,9,0,,,,,,,
Offset,9,0,,,,,,,
TWLTL,9,0,,,,,,,
Crosswalk Width,9,16,,,,,,,
Mandatory Distance,9,200,,,,,,,
Mandatory Distance2,9,1320,,,,,,,
Positioning Distance,9,880,,,,,,,
Positioning Distance2,9,1760,,,,,,,
Curve Pt X,9,,,,,,,,
Curve Pt Y,9,,,,,,,,
Curve Pt Z,9,,,,,,,,
Link Is Hidden,9,false,,,,,,,
Street Name Is Hidden,9,false,,,,,,,
Up ID,10,,8,,,,,,
Lanes,10,,1,,,,,,
Name,10,,,,,,,,
Distance,10,,243,,,,,,
Speed,10,,30,,,,,,
Time,10,,5.5,,,,,,
Grade,10,,0,,,,,,
Median,10,,0,,,,,,
Offset,10,,0,,,,,,
TWLTL,10,,0,,,,,,
Crosswalk Width,10,,16,,,,,,
Mandatory Distance,10,,200,,,,,,
Mandatory Distance2,10,,1320,,,,,,
Positioning Distance,10,,880,,,,,,
Positioning Distance2,10,,1760,,,,,,
Curve Pt X,10,,,,,,,,
Curve Pt Y,10,,,,,,,,
Curve Pt Z,10,,,,,,,,
Link Is Hidden,10,,false,,,,,,
Street Name Is Hidden,10,,false,,,,,,
Up ID,11,,,12,15,,,,
Lanes,11,,,2,2,,,,
Name,11,,,,,,,,
Distance,11,,,1093,4442,,,,
Speed,11,,,30,30,,,,
Time,11,,,24.8,101.0,,,,
Grade,11,,,0,0,,,,
Median,11,,,12,12,,,,
Offset,11,,,0,0,,,,
TWLTL,11,,,0,0,,,,
Crosswalk Width,11,,,16,16,,,,
Mandatory Distance,11,,,100,100,,,,
Mandatory Distance2,11,,,1320,1320,,,,
Positioning Distance,11,,,880,880,,,,
Positioning Distance2,11,,,1760,1760,,,,
Curve Pt X,11,,,,10004,,,,
Curve Pt Y,11,,,,-743,,,,
Curve Pt Z,11,,,,0,,,,
Link Is Hidden,11,,,false,false,,,,
Street Name Is Hidden,11,,,false,false,,,,
Up ID,12,14,13,8,11,,,,
Lanes,12,1,2,3,3,,,,
Name,12,,8th St,,,,,,
Distance,12,109,304,2210,1093,,,,
Speed,12,30,30,30,30,,,,
Time,12,2.5,6.9,50.2,24.8,,,,
Grade,12,0,0,0,0,,,,
Median,12,12,12,12,12,,,,
Offset,12,0,0,0,0,,,,
TWLTL,12,0,0,0,0,,,,
Crosswalk Width,12,16,16,16,16,,,,
Mandatory Distance,12,227,227,227,227,,,,
Mandatory Distance2,12,1320,1320,1320,1320,,,,
Positioning Distance,12,880,880,880,880,,,,
Positioning Distance2,12,1760,1760,1760,1760,,,,
Curve Pt X,12,,,6683,,,,,
Curve Pt Y,12,,,-144,,,,,
Curve Pt Z,12,,,0,,,,,
Link Is Hidden,12,false,false,false,false,,,,
Street Name Is Hidden,12,false,false,false,false,,,,
Up ID,13,12,,,,,,,
Lanes,13,1,,,,,,,
Name,13,8th St,,,,,,,
Distance,13,304,,,,,,,
Speed,13,30,,,,,,,
Time,13,6.9,,,,,,,
Grade,13,0,,,,,,,
Median,13,0,,,,,,,
Offset,13,0,,,,,,,
TWLTL,13,0,,,,,,,
Crosswalk Width,13,16,,,,,,,
Mandatory Distance,13,200,,,,,,,
Mandatory Distance2,13,1320,,,,,,,
