[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,03/25/2021

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
2,0,9469,10754,0,,,,,,
3,2,6879,5140,0,,,,,,
4,1,8951,10783,0,,,,,,
5,0,17922,12891,0,,,,,,
6,0,10251,10736,0,,,,,,
7,1,10249,10963,0,,,,,,
8,1,9677,17580,0,,,,,,
9,0,11312,10875,0,,,,,,
10,1,10253,10515,0,,,,,,
11,1,11312,11136,0,,,,,,
12,1,11374,10694,0,,,,,,
13,0,9523,12317,0,,,,,,
14,1,9834,12311,0,,,,,,
15,2,9350,12314,0,,,,,,
16,1,9286,12383,0,,,,,,
17,0,9586,14218,0,,,,,,
18,1,9381,14222,0,,,,,,
19,1,9884,14212,0,,,,,,
20,0,9435,9279,0,,,,,,
21,1,9215,9282,0,,,,,,
22,1,9683,9275,0,,,,,,
23,1,18601,13211,0,,,,,,
24,0,8790,7115,0,,,,,,
25,1,8580,7273,0,,,,,,
26,1,9060,6913,0,,,,,,
28,1,17784,13296,0,,,,,,
29,1,18099,12621,0,,,,,,
30,4,9652,16951,0,,,28,40,1,18
31,1,6706,1816,0,,,,,,
Positioning Distance,9,880,880,880,880,,,,
Positioning Distance2,9,1760,1760,1760,1760,,,,
Curve Pt X,9,,,10914,16190,,,,
Curve Pt Y,9,,,10818,11719,,,,
Curve Pt Z,9,,,0,0,,,,
Link Is Hidden,9,false,false,false,false,,,,
Street Name Is Hidden,9,false,false,false,false,,,,
Up ID,10,,6,,,,,,
Lanes,10,,1,,,,,,
Name,10,,,,,,,,
Distance,10,,221,,,,,,
Speed,10,,30,,,,,,
Time,10,,5.0,,,,,,
Grade,10,,0,,,,,,
Median,10,,0,,,,,,
Offset,10,,0,,,,,,
TWLTL,10,,0,,,,,,
Crosswalk Width,10,,16,,,,,,
Mandatory Distance,10,,200,,,,,,
Mandatory Distance2,10,,1320,,,,,,
Positioning Distance,10,,880,,,,,,
Positioning Distance2,10,,1760,,,,,,
Curve Pt X,10,,,,,,,,
Curve Pt Y,10,,,,,,,,
Curve Pt Z,10,,,,,,,,
Link Is Hidden,10,,false,,,,,,
Street Name Is Hidden,10,,false,,,,,,
Up ID,11,9,,,,,,,
Lanes,11,1,,,,,,,
Name,11,Manzanita Dr,,,,,,,
Distance,11,261,,,,,,,
Speed,11,30,,,,,,,
Time,11,5.9,,,,,,,
Grade,11,0,,,,,,,
Median,11,0,,,,,,,
Offset,11,0,,,,,,,
TWLTL,11,0,,,,,,,
Crosswalk Width,11,16,,,,,,,
Mandatory Distance,11,200,,,,,,,
Mandatory Distance2,11,1320,,,,,,,
Positioning Distance,11,880,,,,,,,
Positioning Distance2,11,1760,,,,,,,
Curve Pt X,11,,,,,,,,
Curve Pt Y,11,,,,,,,,
Curve Pt Z,11,,,,,,,,
Link Is Hidden,11,false,,,,,,,
Street Name Is Hidden,11,false,,,,,,,
Up ID,12,,9,,,,,,
Lanes,12,,1,,,,,,
Name,12,,,,,,,,
Distance,12,,191,,,,,,
Speed,12,,30,,,,,,
Time,12,,4.3,,,,,,
Grade,12,,0,,,,,,
Median,12,,0,,,,,,
Offset,12,,0,,,,,,
TWLTL,12,,0,,,,,,
Crosswalk Width,12,,16,,,,,,
Mandatory Distance,12,,200,,,,,,
Mandatory Distance2,12,,1320,,,,,,
Positioning Distance,12,,880,,,,,,
Positioning Distance2,12,,1760,,,,,,
Curve Pt X,12,,,,,,,,
