[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,09/14/2021
ScenarioTime,4:38 pm

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,2,9431,9004,0,,,,,,
2,1,10105,8320,0,,,,,,
3,0,9838,8704,0,,,,,,
4,1,10068,8935,0,,,,,,
5,1,3344,11879,0,,,,,,
6,0,2868,11874,0,,,,,,
7,2,3115,10595,0,,,,,,
8,4,1728,15276,0,,,28,40,1,18
9,1,2706,11853,0,,,,,,
10,2,6363,8862,0,,,,,,
11,1,810,17137,0,,,,,,
12,1,1459,15139,0,,,,,,
13,0,2164,14404,0,,,,,,
14,1,2616,14648,0,,,,,,
Link Is Hidden,11,false,,,,,,,
Street Name Is Hidden,11,false,,,,,,,
Up ID,12,,,,8,,,,
Lanes,12,,,,1,,,,
Name,12,,,,,,,,
Distance,12,,,,302,,,,
Speed,12,,,,30,,,,
Time,12,,,,6.9,,,,
Grade,12,,,,0,,,,
Median,12,,,,0,,,,
Offset,12,,,,0,,,,
TWLTL,12,,,,0,,,,
Crosswalk Width,12,,,,16,,,,
Mandatory Distance,12,,,,200,,,,
Mandatory Distance2,12,,,,1320,,,,
Positioning Distance,12,,,,880,,,,
Positioning Distance2,12,,,,1760,,,,
Curve Pt X,12,,,,,,,,
Curve Pt Y,12,,,,,,,,
Curve Pt Z,12,,,,,,,,
Link Is Hidden,12,,,,false,,,,
Street Name Is Hidden,12,,,,false,,,,
Up ID,13,6,8,15,14,,,,
Lanes,13,4,4,3,2,,,,
Name,13,,,,,,,,
Distance,13,2669,975,329,514,,,,
Speed,13,30,30,30,30,,,,
Time,13,60.7,22.2,7.5,11.7,,,,
Grade,13,0,0,0,0,,,,
Median,13,12,12,24,24,,,,
Offset,13,0,0,0,0,,,,
TWLTL,13,0,0,0,0,,,,
Crosswalk Width,13,16,16,16,16,,,,
Mandatory Distance,13,200,200,200,200,,,,
Mandatory Distance2,13,1320,1320,1320,1320,,,,
Positioning Distance,13,880,880,880,880,,,,
Positioning Distance2,13,1760,1760,1760,1760,,,,
Curve Pt X,13,2538,,,,,,,
Curve Pt Y,13,13780,,,,,,,
Curve Pt Z,13,0,,,,,,,
Link Is Hidden,13,false,false,false,false,,,,
Street Name Is Hidden,13,false,false,false,false,,,,
Up ID,14,,,13,,,,,
Lanes,14,,,1,,,,,
Name,14,,,,,,,,
Distance,14,,,514,,,,,
Speed,14,,,30,,,,,
Time,14,,,11.7,,,,,
Grade,14,,,0,,,,,
Median,14,,,0,,,,,
Offset,14,,,0,,,,,
TWLTL,14,,,0,,,,,
Crosswalk Width,14,,,16,,,,,
Mandatory Distance,14,,,200,,,,,
Mandatory Distance2,14,,,1320,,,,,
Positioning Distance,14,,,880,,,,,
Positioning Distance2,14,,,1760,,,,,
Curve Pt X,14,,,,,,,,
