Positioning Distance,206,,,880,,,,
Positioning Distance2,206,,,1760,,,,
Curve Pt X,206,,,,,,,
Curve Pt Y,206,,,,,,,
Curve Pt Z,206,,,,,,,
Link Is Hidden,206,,,false,,,,
Street Name Is Hidden,206,,,false,,,,
Up ID,208,,,,3775,,,
Lanes,208,,,,1,,,
Name,208,,,,Behrend,,,
Distance,208,,,,1039,,,
Speed,208,,,,30,,,
Time,208,,,,23.6,,,
Grade,208,,,,0,,,
Median,208,,,,12,,,
Offset,208,,,,0,,,
TWLTL,208,,,,0,,,
Crosswalk Width,208,,,,16,,,
Mandatory Distance,208,,,,200,,,
Mandatory Distance2,208,,,,1320,,,
Positioning Distance,208,,,,880,,,
Positioning Distance2,208,,,,1760,,,
Curve Pt X,208,,,,9909,,,
Curve Pt Y,208,,,,17549,,,
Curve Pt Z,208,,,,0,,,
Link Is Hidden,208,,,,false,,,
Street Name Is Hidden,208,,,,false,,,
Up ID,209,,,3775,,,,
Lanes,209,,,1,,,,
Name,209,,,Behrend,,,,
Distance,209,,,869,,,,
Speed,209,,,30,,,,
Time,209,,,19.8,,,,
Grade,209,,,0,,,,
Median,209,,,12,,,,
Offset,209,,,0,,,,
TWLTL,209,,,0,,,,
Crosswalk Width,209,,,16,,,,
Mandatory Distance,209,,,200,,,,
Mandatory Distance2,209,,,1320,,,,
Positioning Distance,209,,,880,,,,
Positioning Distance2,209,,,1760,,,,
Curve Pt X,209,,,,,,,
Curve Pt Y,209,,,,,,,
Curve Pt Z,209,,,,,,,
Link Is Hidden,209,,,false,,,,
Street Name Is Hidden,209,,,false,,,,
Up ID,211,,,,102,,,
Lanes,211,,,,0,,,
Name,211,,,,101 East,,,
Distance,211,,,,732,,,
Speed,211,,,,30,,,
Time,211,,,,16.6,,,
Grade,211,,,,0,,,
Median,211,,,,0,,,
Offset,211,,,,0,,,
TWLTL,211,,,,0,,,
Crosswalk Width,211,,,,16,,,
Mandatory Distance,211,,,,200,,,
Mandatory Distance2,211,,,,1320,,,
Positioning Distance,211,,,,880,,,
Positioning Distance2,211,,,,1760,,,
Curve Pt X,211,,,,,,,
Curve Pt Y,211,,,,,,,
Curve Pt Z,211,,,,,,,
Link Is Hidden,211,,,,false,,,
Street Name Is Hidden,211,,,,false,,,
Up ID,215,,,,103,,,
Lanes,215,,,,*3,,,
Name,215,,,,101 West,,,
Distance,215,,,,578,,,
Speed,215,,,,30,,,
Time,215,,,,13.1,,,
Grade,215,,,,0,,,
Median,215,,,,0,,,
Offset,215,,,,0,,,
TWLTL,215,,,,0,,,
Crosswalk Width,215,,,,16,,,
Mandatory Distance,215,,,,200,,,
Mandatory Distance2,215,,,,1320,,,
Positioning Distance,215,,,,880,,,
Positioning Distance2,215,,,,1760,,,
Curve Pt X,215,,,,,,,
Curve Pt Y,215,,,,,,,
Curve Pt Z,215,,,,,,,
Link Is Hidden,215,,,,false,,,
Street Name Is Hidden,215,,,,false,,,
Up ID,216,,,103,,,,
Lanes,216,,,0,,,,
Name,216,,,101 West,,,,
Distance,216,,,1007,,,,
Speed,216,,,30,,,,
Time,216,,,22.9,,,,
Grade,216,,,0,,,,
Median,216,,,0,,,,
Offset,216,,,0,,,,
TWLTL,216,,,0,,,,
Crosswalk Width,216,,,16,,,,
Mandatory Distance,216,,,200,,,,
Mandatory Distance2,216,,,1320,,,,
Positioning Distance,216,,,880,,,,
Positioning Distance2,216,,,1760,,,,
Curve Pt X,216,,,,,,,
Curve Pt Y,216,,,,,,,
Curve Pt Z,216,,,,,,,
Link Is Hidden,216,,,false,,,,
Street Name Is Hidden,216,,,false,,,,
Up ID,218,,,341,3825,,,
Lanes,218,,,1,1,,,
Name,218,,,,Arrowhead Loop Rd,,,
Distance,218,,,2690,1508,,,
Speed,218,,,25,25,,,
Time,218,,,73.4,41.1,,,
Grade,218,,,0,0,,,
Median,218,,,12,12,,,
Offset,218,,,0,0,,,
TWLTL,218,,,0,0,,,
Crosswalk Width,218,,,16,16,,,
Mandatory Distance,218,,,100,100,,,
Mandatory Distance2,218,,,1101,1101,,,
Positioning Distance,218,,,734,734,,,
Positioning Distance2,218,,,1468,1468,,,
Curve Pt X,218,,,8056,,,,
Curve Pt Y,218,,,20625,,,,
Curve Pt Z,218,,,0,,,,
Link Is Hidden,218,,,false,false,,,
Street Name Is Hidden,218,,,false,false,,,
Up ID,219,,,3825,374,,,
Lanes,219,,,1,1,,,
Name,219,,,Arrowhead Loop Rd,,,,
Distance,219,,,365,2195,,,
Speed,219,,,25,30,,,
Time,219,,,10.0,49.9,,,
Grade,219,,,0,0,,,
Median,219,,,12,12,,,
Offset,219,,,0,0,,,
TWLTL,219,,,0,0,,,
Crosswalk Width,219,,,16,16,,,
Mandatory Distance,219,,,100,100,,,
Mandatory Distance2,219,,,1101,1320,,,
Positioning Distance,219,,,734,880,,,
Positioning Distance2,219,,,1468,1760,,,
Curve Pt X,219,,,,11696,,,
Curve Pt Y,219,,,,20149,,,
Curve Pt Z,219,,,,0,,,
Link Is Hidden,219,,,false,false,,,
Street Name Is Hidden,219,,,false,false,,,
Up ID,222,,,3900,204,,,
Lanes,222,,,*1,1,,,
Name,222,,,Deer Valley Rd.,,,,
Distance,222,,,525,1235,,,
Speed,222,,,35,30,,,
Time,222,,,10.2,28.1,,,
Grade,222,,,0,0,,,
Median,222,,,12,12,,,
Offset,222,,,0,0,,,
TWLTL,222,,,0,0,,,
Crosswalk Width,222,,,16,16,,,
Mandatory Distance,222,,,100,100,,,
Mandatory Distance2,222,,,1539,1320,,,
Positioning Distance,222,,,1026,880,,,
Positioning Distance2,222,,,2052,1760,,,
Curve Pt X,222,,,,11519,,,
Curve Pt Y,222,,,,24048,,,
Curve Pt Z,222,,,,0,,,
Link Is Hidden,222,,,false,false,,,
Street Name Is Hidden,222,,,false,false,,,
Up ID,223,,,3925,,,,
Lanes,223,,,1,,,,
Name,223,,,Hillcrest Blvd,,,,
Distance,223,,,851,,,,
Speed,223,,,25,,,,
Time,223,,,23.2,,,,
Grade,223,,,0,,,,
Median,223,,,12,,,,
Offset,223,,,0,,,,
TWLTL,223,,,0,,,,
Crosswalk Width,223,,,16,,,,
Mandatory Distance,223,,,200,,,,
Mandatory Distance2,223,,,1101,,,,
Positioning Distance,223,,,734,,,,
Positioning Distance2,223,,,1468,,,,
Curve Pt X,223,,,11186,,,,
Curve Pt Y,223,,,25007,,,,
Curve Pt Z,223,,,0,,,,
Link Is Hidden,223,,,false,,,,
Street Name Is Hidden,223,,,false,,,,
Up ID,224,,,,3925,,,
Lanes,224,,,,1,,,
Name,224,,,,Hillcrest Blvd,,,
Distance,224,,,,840,,,
Speed,224,,,,25,,,
Time,224,,,,22.9,,,
Grade,224,,,,0,,,
Median,224,,,,12,,,
Offset,224,,,,0,,,
TWLTL,224,,,,0,,,
Crosswalk Width,224,,,,16,,,
Mandatory Distance,224,,,,200,,,
Mandatory Distance2,224,,,,1101,,,
Positioning Distance,224,,,,734,,,
Positioning Distance2,224,,,,1468,,,
Curve Pt X,224,,,,10050,,,
Curve Pt Y,224,,,,25181,,,
Curve Pt Z,224,,,,0,,,
Link Is Hidden,224,,,,false,,,
Street Name Is Hidden,224,,,,false,,,
Up ID,226,,,,3950,,,
Lanes,226,,,,2,,,
Name,226,,,,Mountain Ridge High School,,,
Distance,226,,,,853,,,
Speed,226,,,,25,,,
Time,226,,,,23.3,,,
Grade,226,,,,0,,,
Median,226,,,,0,,,
Offset,226,,,,0,,,
TWLTL,226,,,,0,,,
Crosswalk Width,226,,,,16,,,
Mandatory Distance,226,,,,200,,,
Mandatory Distance2,226,,,,1101,,,
Positioning Distance,226,,,,734,,,
Positioning Distance2,226,,,,1468,,,
Curve Pt X,226,,,,,,,
Curve Pt Y,226,,,,,,,
Curve Pt Z,226,,,,,,,
Link Is Hidden,226,,,,false,,,
Street Name Is Hidden,226,,,,false,,,
Up ID,228,,,,3975,,,
Lanes,228,,,,1,,,
Name,228,,,,Patrick Ln,,,
Distance,228,,,,843,,,
Speed,228,,,,30,,,
Time,228,,,,19.2,,,
Grade,228,,,,0,,,
Median,228,,,,0,,,
Offset,228,,,,0,,,
TWLTL,228,,,,0,,,
Crosswalk Width,228,,,,16,,,
Mandatory Distance,228,,,,200,,,
Mandatory Distance2,228,,,,1320,,,
Positioning Distance,228,,,,880,,,
Positioning Distance2,228,,,,1760,,,
Curve Pt X,228,,,,,,,
Curve Pt Y,228,,,,,,,
Curve Pt Z,228,,,,,,,
Link Is Hidden,228,,,,false,,,
Street Name Is Hidden,228,,,,false,,,
Up ID,231,3999,,,,,,
Lanes,231,2,,,,,,
Name,231,67th Ave,,,,,,
Distance,231,857,,,,,,
Speed,231,40,,,,,,
Time,231,14.6,,,,,,
Grade,231,0,,,,,,
Median,231,12,,,,,,
Offset,231,0,,,,,,
TWLTL,231,0,,,,,,
Crosswalk Width,231,16,,,,,,
Mandatory Distance,231,200,,,,,,
Mandatory Distance2,231,1761,,,,,,
Positioning Distance,231,1174,,,,,,
Positioning Distance2,231,2348,,,,,,
Curve Pt X,231,,,,,,,
Curve Pt Y,231,,,,,,,
Curve Pt Z,231,,,,,,,
Link Is Hidden,231,false,,,,,,
Street Name Is Hidden,231,false,,,,,,
Up ID,233,341,3912,,,,,
Lanes,233,1,1,,,,,
Name,233,,71st Ave.,,,,,
Distance,233,1349,522,,,,,
Speed,233,25,25,,,,,
Time,233,36.8,14.2,,,,,
Grade,233,0,0,,,,,
Median,233,0,0,,,,,
Offset,233,0,0,,,,,
TWLTL,233,0,0,,,,,
Crosswalk Width,233,16,16,,,,,
Mandatory Distance,233,100,100,,,,,
Mandatory Distance2,233,1101,1101,,,,,
Positioning Distance,233,734,734,,,,,
Positioning Distance2,233,1468,1468,,,,,
Curve Pt X,233,,,,,,,
Curve Pt Y,233,,,,,,,
Curve Pt Z,233,,,,,,,
Link Is Hidden,233,false,false,,,,,
Street Name Is Hidden,233,false,false,,,,,
Up ID,237,,,3999,,,,
Lanes,237,,,1,,,,
Name,237,,,Parkside Ln,,,,
Distance,237,,,893,,,,
Speed,237,,,25,,,,
Time,237,,,24.4,,,,
Grade,237,,,0,,,,
Median,237,,,12,,,,
Offset,237,,,0,,,,
TWLTL,237,,,0,,,,
Crosswalk Width,237,,,16,,,,
