[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,0.5
Walk,7.0
DontWalk,14.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,4.0
LostTimeAdjust,0.0
ScenarioDate,02/24/2015
ScenarioTime,4:00 pm

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
255,1,604964,975522,0,,,,,,
256,1,613953,934019,0,,,,,,
257,1,601983,11,0,,,,,,
258,1,602491,0,0,,,,,,
259,3,610230,941905,0,,,,,,
260,1,599672,971923,0,,,,,,
261,1,599678,973516,0,,,,,,
262,0,602179,931206,0,X,,,,,
263,1,596327,969160,0,,,,,,
264,1,597552,969160,0,,,,,,
265,2,597827,1003624,0,,,,,,
266,1,596736,936394,0,,,,,,
267,1,597335,962517,0,,,,,,
268,1,582865,930829,0,,,,,,
269,1,589475,969439,0,,,,,,
270,2,589465,971806,0,,,,,,
271,2,601550,965150,0,,,,,,
272,3,599872,941606,0,,,,,,
273,1,586399,964902,0,,,,,,
274,2,586512,984298,0,,,,,,
275,2,587366,986184,0,,,,,,
276,0,612837,941954,0,,,,,,
277,2,592136,973129,0,,,,,,
278,1,583125,970460,0,,,,,,
279,2,589504,973255,0,,,,,,
280,1,590718,974630,0,,,,,,
281,2,589513,976724,0,,,,,,
282,2,597676,959135,0,,,,,,
283,2,604862,933163,0,,,,,,
284,2,591707,982804,0,,,,,,
285,2,613144,976903,0,,,,,,
286,1,598926,1006995,0,,,,,,
287,2,592892,990018,0,,,,,,
288,2,594701,986347,0,,,,,,
289,2,592576,986314,0,,,,,,
290,1,613097,976904,0,,,,,,
291,2,606120,933890,0,,,,,,
292,2,588541,987473,0,,,,,,
293,2,586256,987441,0,,,,,,
294,1,579656,987633,0,,,,,,
295,0,607662,959893,0,,,,,,
296,2,578417,989173,0,,,,,,
297,2,578327,995426,0,,,,,,
298,2,578902,990600,0,,,,,,
299,3,599611,936410,0,,,,,,
300,1,575485,998358,0,,,,,,
301,1,575547,986629,0,,,,,,
302,2,575602,995099,0,,,,,,
303,2,575567,995699,0,,,,,,
304,1,575970,996624,0,,,,,,
305,1,577397,998359,0,,,,,,
306,3,591592,930951,0,,,,,,
307,1,585862,978334,0,,,,,,
308,2,612972,956451,0,,,,,,
309,2,588214,978359,0,,,,,,
310,2,589219,978351,0,,,,,,
311,1,606319,958471,0,,,,,,
312,1,606313,960310,0,,,,,,
313,0,600790,949584,0,,,,,,
314,2,609460,933950,0,,,,,,
315,1,603035,958722,0,,,,,,
316,0,612909,949801,0,,,,,,
317,1,600771,951307,0,,,,,,
318,1,595551,928696,0,,,,,,
319,1,610302,952483,0,,,,,,
320,1,602122,941009,0,,,,,,
321,1,602672,941009,0,,,,,,
322,1,602006,956411,0,,,,,,
323,1,602861,956424,0,,,,,,
324,2,612909,947210,0,,,,,,
325,1,602637,957924,0,,,,,,
326,1,603049,957632,0,,,,,,
327,0,612858,939289,0,,,,,,
328,1,607579,965142,0,,,,,,
329,2,595980,965160,0,,,,,,
330,0,603593,959891,0,,,,,,
331,1,591774,965153,0,,,,,,
332,1,610341,952442,0,,,,,,
333,1,608863,955031,0,,,,,,
334,1,608444,959893,0,,,,,,
335,1,587976,959883,0,,,,,,
336,1,596604,960147,0,,,,,,
337,2,604906,934713,0,,,,,,
338,1,581531,928148,0,,,,,,
339,1,579851,987627,0,,,,,,
340,1,591809,989117,0,,,,,,
341,1,608060,933271,0,,,,,,
342,1,591440,984996,0,,,,,,
343,1,599030,946935,0,,,,,,
344,1,598411,949331,0,,,,,,
345,1,603963,939410,0,,,,,,
346,2,603868,958401,0,,,,,,
347,2,602346,954954,0,,,,,,
348,2,602338,978327,0,,,,,,
349,2,594410,974418,0,,,,,,
350,1,610745,928724,0,,,,,,
351,3,602361,936908,0,,,,,,
352,1,607520,927914,0,,,,,,
353,2,605008,933528,0,,,,,,
354,0,594847,996494,0,,,,,,
355,2,595399,997638,0,,,,,,
356,2,607766,933579,0,,,,,,
357,1,600545,992231,0,,,,,,
358,1,601060,993061,0,,,,,,
359,1,592967,926267,0,,,,,,
360,0,607430,933938,0,,,,,,
361,1,592170,928836,0,,,,,,
362,1,596376,934184,0,,,,,,
363,1,596390,933216,0,,,,,,
364,0,596020,933730,0,,,,,,
365,1,596070,934126,0,,,,,,
366,1,596050,933166,0,,,,,,
367,0,599760,949600,0,,,,,,
368,1,599988,951268,0,,,,,,
369,1,599077,947667,0,,,,,,
370,1,598487,947837,0,,,,,,
371,0,595870,939000,0,,,,,,
372,1,595830,940451,0,,,,,,
373,0,595310,939000,0,,,,,,
374,1,595394,940419,0,,,,,,
375,1,595770,937727,0,,,,,,
376,1,595298,937747,0,,,,,,
377,1,597026,949270,0,,,,,,
378,4,603485,970429,0,,,35,74,2,18
379,0,612860,944565,0,,,,,,
380,1,596921,928215,0,,,,,,
381,1,596526,937786,0,,,,,,
382,1,597596,937806,0,,,,,,
383,2,599643,941133,0,,,,,,
384,2,601551,992234,0,,,,,,
385,0,602244,938460,0,,,,,,
386,1,601641,938453,0,,,,,,
387,0,613220,986991,0,,,,,,
388,1,614584,986993,0,,,,,,
389,1,602172,927987,0,,,,,,
390,3,602227,936422,0,,,,,,
391,1,611205,986274,0,,,,,,
392,1,611210,986909,0,,,,,,
393,1,608492,987169,0,,,,,,
394,1,608492,985974,0,,,,,,
395,1,587858,988071,0,,,,,,
396,1,613223,949802,0,,,,,,
397,3,594440,975749,0,,,,,,
398,1,591225,983711,0,,,,,,
399,1,592413,983705,0,,,,,,
400,2,592443,991600,0,,,,,,
401,1,589212,991602,0,,,,,,
402,2,591984,991608,0,,,,,,
403,1,594919,991733,0,,,,,,
404,2,578423,988597,0,,,,,,
405,2,594299,991582,0,,,,,,
406,2,594646,991620,0,,,,,,
407,2,591169,991605,0,,,,,,
408,2,597037,954530,0,,,,,,
409,0,598311,1006878,0,X,,,,,
410,1,602961,939583,0,,,,,,
411,1,595667,993759,0,,,,,,
412,1,589496,993774,0,,,,,,
413,1,579827,987207,0,,,,,,
414,0,581121,987423,0,,,,,,
415,1,581107,987855,0,,,,,,
416,1,581119,987041,0,,,,,,
417,1,579653,987228,0,,,,,,
418,2,582464,987429,0,,,,,,
419,3,601878,991322,0,,,,,,
420,1,602578,991425,0,,,,,,
421,1,613283,993313,0,,,,,,
422,0,603464,937964,0,,,,,,
423,3,602673,937207,0,,,,,,
424,4,602896,936983,0,,,28,40,1,18
425,1,603032,937124,0,,,,,,
426,2,604626,936113,0,,,,,,
427,4,602236,937183,0,,,28,40,1,18
428,1,601603,937186,0,,,,,,
429,1,588688,933571,0,,,,,,
430,1,604841,932300,0,,,,,,
431,1,590206,979758,0,,,,,,
432,1,590759,978353,0,,,,,,
433,2,597566,994139,0,,,,,,
434,1,603533,939004,0,,,,,,
435,2,589210,928290,0,,,,,,
436,2,602620,949617,0,,,,,,
437,1,599584,930783,0,,,,,,
438,0,597080,978370,0,,,,,,
439,2,597240,933739,0,,,,,,
440,2,596910,933070,0,,,,,,
441,1,597654,1006745,0,,,,,,
442,1,598725,1008766,0,,,,,,
443,1,601194,973563,0,,,,,,
444,1,596811,1006939,0,,,,,,
445,1,599856,1007809,0,,,,,,
446,1,594019,929572,0,,,,,,
447,1,590783,987026,0,,,,,,
448,3,591115,986547,0,,,,,,
449,1,591233,986823,0,,,,,,
450,1,590957,986269,0,,,,,,
451,3,591405,986439,0,,,,,,
452,1,591326,986186,0,,,,,,
453,1,603481,971271,0,,,,,,
454,1,603601,969453,0,,,,,,
455,1,604141,970437,0,,,,,,
456,1,602167,971920,0,,,,,,
457,2,602310,968520,0,,,,,,
458,2,608150,949730,0,,,,,,
459,2,607010,949700,0,,,,,,
460,2,607620,950210,0,,,,,,
461,2,607630,949220,0,,,,,,
462,0,586510,981010,0,X,,,,,
463,1,587293,981007,0,,,,,,
464,1,585743,981017,0,,,,,,
465,1,594366,996624,0,,,,,,
466,1,594459,987199,0,,,,,,
467,1,597701,978360,0,,,,,,
468,1,596270,978381,0,,,,,,
469,2,597080,978870,0,,,,,,
470,1,594461,986000,0,,,,,,
471,1,595561,928061,0,,,,,,
472,1,602781,931207,0,,,,,,
473,3,599613,946946,0,,,,,,
474,2,599492,942016,0,,,,,,
475,1,591913,987724,0,,,,,,
476,1,592413,987617,0,,,,,,
477,1,592426,975226,0,,,,,,
478,1,592426,976458,0,,,,,,
506,0,602392,939055,0,,,,,,

[Links]
Link Data
RECORDNAME,INTID,NB,SB,EB,WB,NE,NW,SE,SW
Up ID,1,173,172,4,327,,,,
Lanes,1,2,2,4,4,,,,
Name,1,68th Ave,68th Ave,Peoria Ave,Peoria Ave,,,,
Distance,1,212,337,1788,858,,,,
Speed,1,40,40,40,40,,,,
Time,1,3.6,5.7,30.5,14.6,,,,
Grade,1,0,0,0,0,,,,
Median,1,12,12,12,12,,,,
Offset,1,0,0,0,0,,,,
TWLTL,1,0,0,1,0,,,,
Crosswalk Width,1,16,16,16,16,,,,
Mandatory Distance,1,375,375,375,375,,,,
Mandatory Distance2,1,1761,1761,1761,1761,,,,
Positioning Distance,1,1174,1174,1174,1174,,,,
Positioning Distance2,1,2348,2348,2348,2348,,,,
Curve Pt X,1,,,,,,,,
Curve Pt Y,1,,,,,,,,
Curve Pt Z,1,,,,,,,,
Link Is Hidden,1,false,false,false,false,,,,
Street Name Is Hidden,1,false,false,false,false,,,,
Up ID,2,259,186,6,379,,,,
Lanes,2,3,2,3,3,,,,
Name,2,71st Ave,71st Ave,Cactus,Cactus,,,,
Distance,2,2619,2634,2681,2612,,,,
Speed,2,40,40,40,40,,,,
Time,2,44.6,44.9,45.7,44.5,,,,
Grade,2,0,0,0,0,,,,
Median,2,12,12,12,12,,,,
Offset,2,0,0,0,0,,,,
TWLTL,2,0,1,1,0,,,,
Crosswalk Width,2,16,16,16,16,,,,
Mandatory Distance,2,458,458,458,458,,,,
Mandatory Distance2,2,1761,1761,1761,1761,,,,
Positioning Distance,2,1174,1174,1174,1174,,,,
Positioning Distance2,2,2348,2348,2348,2348,,,,
Curve Pt X,2,,,,,,,,
Curve Pt Y,2,,,,,,,,
Curve Pt Z,2,,,,,,,,
Link Is Hidden,2,false,false,false,false,,,,
Street Name Is Hidden,2,false,false,false,false,,,,
Up ID,3,,224,314,132,,,,
Lanes,3,,2,3,2,,,,
Name,3,,71st Ave,Olive Ave,Olive Ave,,,,
Distance,3,,2657,700,2600,,,,
Speed,3,,30,40,40,,,,
Time,3,,60.4,11.9,44.3,,,,
Grade,3,,0,0,0,,,,
Median,3,,12,12,12,,,,
Offset,3,,0,0,0,,,,
TWLTL,3,,0,1,1,,,,
Crosswalk Width,3,,16,16,16,,,,
Mandatory Distance,3,,500,500,500,,,,
Mandatory Distance2,3,,1320,1761,1761,,,,
Positioning Distance,3,,880,1174,1174,,,,
Positioning Distance2,3,,1760,2348,2348,,,,
Curve Pt X,3,,,,,,,,
Curve Pt Y,3,,,,,,,,
Curve Pt Z,3,,,,,,,,
Link Is Hidden,3,,false,false,false,,,,
Street Name Is Hidden,3,,false,false,false,,,,
Up ID,4,224,259,12,1,,,,
Lanes,4,3,3,3,3,,,,
Name,4,71st Ave,71st Ave,Peoria Ave,Peoria Ave,,,,
Distance,4,2640,2653,2662,1788,,,,
Speed,4,40,40,40,40,,,,
Time,4,45.0,45.2,45.4,30.5,,,,
Grade,4,0,0,0,0,,,,
Median,4,12,12,12,12,,,,
Offset,4,0,0,0,0,,,,
TWLTL,4,0,0,1,1,,,,
Crosswalk Width,4,16,16,16,16,,,,
Mandatory Distance,4,375,375,375,375,,,,
Mandatory Distance2,4,1761,1761,1761,1761,,,,
Positioning Distance,4,1174,1174,1174,1174,,,,
Positioning Distance2,4,2348,2348,2348,2348,,,,
Curve Pt X,4,,,,,,,,
Curve Pt Y,4,,,,,,,,
Curve Pt Z,4,,,,,,,,
Link Is Hidden,4,false,false,false,false,,,,
Street Name Is Hidden,4,false,false,false,false,,,,
Up ID,5,186,319,458,316,,,,
Lanes,5,2,1,3,3,,,,
Name,5,71st Ave,71st AVe,Thunderbird,Thunderbird,,,,
Distance,5,2596,2729,2133,2626,,,,
Speed,5,40,40,40,40,,,,
Time,5,44.3,46.5,36.4,44.8,,,,
Grade,5,0,0,0,0,,,,
Median,5,0,0,12,12,,,,
Offset,5,0,-10,0,0,,,,
TWLTL,5,1,0,1,1,,,,
Crosswalk Width,5,16,16,16,16,,,,
Mandatory Distance,5,458,458,458,458,,,,
Mandatory Distance2,5,1761,1761,1761,1761,,,,
Positioning Distance,5,1174,1174,1174,1174,,,,
Positioning Distance2,5,2348,2348,2348,2348,,,,
Curve Pt X,5,,,,,,,,
Curve Pt Y,5,,,,,,,,
Curve Pt Z,5,,,,,,,,
Link Is Hidden,5,false,false,false,false,,,,
Street Name Is Hidden,5,false,false,false,false,,,,
Up ID,6,7,13,16,2,,,,
Lanes,6,3,3,3,3,,,,
Name,6,75th Ave,75th Ave,Cactus,Cactus,,,,
Distance,6,2648,2622,2676,2681,,,,
Speed,6,40,40,40,40,,,,
Time,6,45.1,44.7,45.6,45.7,,,,
Grade,6,0,0,0,0,,,,
Median,6,12,12,12,12,,,,
Offset,6,0,0,0,0,,,,
TWLTL,6,1,1,1,1,,,,
Crosswalk Width,6,16,16,16,16,,,,
Mandatory Distance,6,458,458,458,458,,,,
Mandatory Distance2,6,1761,1761,1761,1761,,,,
Positioning Distance,6,1174,1174,1174,1174,,,,
Positioning Distance2,6,2348,2348,2348,2348,,,,
Curve Pt X,6,,,,,,,,
Curve Pt Y,6,,,,,,,,
Curve Pt Z,6,,,,,,,,
Link Is Hidden,6,false,false,false,false,,,,
Street Name Is Hidden,6,false,false,false,false,,,,
Up ID,7,12,6,151,259,,,,
Lanes,7,3,3,2,2,,,,
Name,7,75th Ave,75th Ave,Cholla,Cholla,,,,
Distance,7,2640,2648,2639,2683,,,,
Speed,7,40,40,30,30,,,,
Time,7,45.0,45.1,60.0,61.0,,,,
Grade,7,0,0,0,0,,,,
Median,7,12,12,12,12,,,,
Offset,7,0,0,0,0,,,,
TWLTL,7,1,1,1,1,,,,
Crosswalk Width,7,16,16,16,16,,,,
Mandatory Distance,7,458,458,458,458,,,,
Mandatory Distance2,7,1761,1761,1320,1320,,,,
Positioning Distance,7,1174,1174,880,880,,,,
Positioning Distance2,7,2348,2348,1760,1760,,,,
Curve Pt X,7,,,,,,,,
Curve Pt Y,7,,,,,,,,
Curve Pt Z,7,,,,,,,,
Link Is Hidden,7,false,false,false,false,,,,
Street Name Is Hidden,7,false,false,false,false,,,,
Up ID,8,460,11,121,333,,,,
Lanes,8,3,3,3,2,,,,
Name,8,75th Ave,75th Ave,Greenway,Greenway,,,,
Distance,8,4794,3398,1834,1191,,,,
Speed,8,40,40,30,30,,,,
Time,8,81.7,57.9,41.7,27.1,,,,
Grade,8,0,0,0,0,,,,
Median,8,12,12,12,12,,,,
Offset,8,0,0,0,0,,,,
TWLTL,8,0,1,1,1,,,,
Crosswalk Width,8,16,16,16,16,,,,
Mandatory Distance,8,458,458,458,458,,,,
Mandatory Distance2,8,1761,1761,1320,1320,,,,
