[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,03/19/2018
ScenarioTime,7:00 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,0,-3975,1616,0,,,,,,
2,0,-2660,1620,0,,,,,,
3,0,-15,1608,0,,,,,,
4,0,705,1603,0,,,,,,
5,0,1320,1586,0,,,,,,
6,0,18,-997,0,,,,,,
7,0,835,-1,0,,,,,,
8,0,735,-989,0,,,,,,
9,0,1410,97,0,,,,,,
10,0,1475,-989,0,,,,,,
11,0,-27,-144,0,,,,,,
36,1,120,-146,0,,,,,,
901,1,-5250,1621,0,,,,,,
902,1,-3970,4166,0,,,,,,
903,1,-2680,4172,0,,,,,,
904,1,-70,4159,0,,,,,,
905,1,727,4159,0,,,,,,
906,1,1311,4159,0,,,,,,
907,1,2656,1571,0,,,,,,
908,1,-3955,324,0,,,,,,
909,1,-2632,-932,0,,,,,,
910,1,-2609,-999,0,,,,,,
911,1,-1254,62,0,,,,,,
912,1,-1654,-107,0,,,,,,
913,1,575,90,0,,,,,,
914,1,750,-182,0,,,,,,
Crosswalk Width,9,16,16,16,,,
Mandatory Distance,9,250,250,250,,,
Mandatory Distance2,9,1539,1320,1539,,,
Positioning Distance,9,1026,880,1026,,,
Positioning Distance2,9,2052,1760,2052,,,
Curve Pt X,9,,,,,,
Curve Pt Y,9,,,,,,
Curve Pt Z,9,,,,,,
Link Is Hidden,9,false,false,false,,,
Street Name Is Hidden,9,false,false,false,,,
Up ID,10,918,9,8,915,,
Lanes,10,4,0,2,1,,
Name,10,3rd Avenue,3rd Avenue,Roosevelt Street,Roosevelt Street,,
Distance,10,1443,1088,740,923,,
Speed,10,30,30,30,30,,
Time,10,32.8,24.7,16.8,21.0,,
Grade,10,0,0,0,0,,
Median,10,12,12,12,12,,
Offset,10,0,0,0,0,,
TWLTL,10,0,0,1,1,,
Crosswalk Width,10,16,16,16,16,,
Mandatory Distance,10,500,500,500,500,,
Mandatory Distance2,10,1320,1320,1320,1320,,
Positioning Distance,10,880,880,880,880,,
Positioning Distance2,10,1760,1760,1760,1760,,
Curve Pt X,10,,,,,,
Curve Pt Y,10,,,,,,
Curve Pt Z,10,,,,,,
Link Is Hidden,10,false,false,false,false,,
Street Name Is Hidden,10,false,false,false,false,,
Up ID,11,6,3,919,922,920,921
Lanes,11,6,5,0,0,4,3
Name,11,7th Avenue,7th Avenue,I-10WB Ramp,I-10EB Ramp,I-10EB Ramp,I-10WB Ramp
Distance,11,854,1752,316,352,372,308
Speed,11,35,35,30,30,40,40
Time,11,16.6,34.1,7.2,8.0,6.3,5.3
Grade,11,0,0,0,0,0,0
Median,11,*36,*36,0,0,24,24
Offset,11,0,0,0,0,0,0
TWLTL,11,0,0,0,0,0,0
Crosswalk Width,11,16,16,16,16,16,16
Mandatory Distance,11,500,500,500,500,500,500
Mandatory Distance2,11,1539,1539,1320,1320,1761,1761
Positioning Distance,11,1026,1026,880,880,1174,1174
Positioning Distance2,11,2052,2052,1760,1760,2348,2348
Curve Pt X,11,,,,,,
Curve Pt Y,11,,,,,,
Curve Pt Z,11,,,,,,
Link Is Hidden,11,false,false,false,false,false,false
Street Name Is Hidden,11,false,false,false,false,false,false
Up ID,36,,,,7,,
Lanes,36,,,,1,,
Name,36,,,,I-10 HOV,,
Distance,36,,,,730,,
Speed,36,,,,30,,
Time,36,,,,16.6,,
Grade,36,,,,0,,
Median,36,,,,0,,
Offset,36,,,,0,,
TWLTL,36,,,,0,,
Crosswalk Width,36,,,,16,,
Mandatory Distance,36,,,,200,,
