[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,0.5
Walk,5.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,4.0
LostTimeAdjust,0.0

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,-7,-1094,0,,,,,,
2,1,2406,-1132,0,,,,,,
3,0,873,-1093,0,,,,,,
4,1,845,2,0,,,,,,
5,1,1123,-1992,0,,,,,,
6,0,1305,-1090,0,,,,,,
7,1,1038,11,0,,,,,,
8,1,1299,-1990,0,,,,,,
9,0,1660,-1089,0,,,,,,
DetectType1,3,,,,3,3,3,,3,3,3,3,,,
DetectExtend1,3,,,,0,0,0,,0,0,0,0,,,
DetectQueue1,3,,,,0,0,0,,0,0,0,0,,,
DetectDelay1,3,,,,0,0,0,,0,0,0,0,,,
DetectPos2,3,,,,,94,,,94,,,94,,,
DetectSize2,3,,,,,6,,,6,,,6,,,
DetectType2,3,,,,,3,,,3,,,3,,,
DetectExtend2,3,,,,,0,,,0,,,0,,,
Exit Lanes,3,,0,,,0,,,0,,,0,,,
CBD,3,,0,,,,,,,,,,,,
Lane Group Flow,3,0,0,0,174,2,216,0,230,374,352,287,0,,
Up Node,6,8,8,8,7,7,7,3,3,3,9,9,9,,
Dest Node,6,3,7,9,9,8,3,7,9,8,8,3,7,,
Lanes,6,0,1,2,0,0,0,1,2,0,0,2,1,,
Shared,6,0,1,,0,0,,0,0,,0,0,,,
Width,6,12,12,12,12,12,12,12,12,12,12,12,12,,
Storage,6,,,325,,,,185,,,,,,,
Taper,6,,,25,,,,25,,,,,,,
StLanes,6,,,1,,,,1,,,,,,,
Grade,6,,,,,,,,,,,,,,
Speed,6,,75,,,30,,,35,,,35,,,
Phase1,6,,5,1,,,,,3,,,1,1,,
Phase2,6,,,2,,,,,,,,2,2,,
Phase3,6,,,4,,,,,,,,3,3,,
Phase4,6,,,5,,,,,,,,4,4,,
PermPhase1,6,5,,,,,,3,,,,,1,,
PermPhase2,6,,,,,,,,,,,,2,,
PermPhase3,6,,,,,,,,,,,,3,,
PermPhase4,6,,,,,,,,,,,,4,,
LostTime,6,5.7,5.7,6.2,4,4,4,4.8,4.8,4,4,6.2,6.2,,
Lost Time Adjust,6,0,0,0,0,0,0,0,0,0,0,0,0,,
IdealFlow,6,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,
SatFlow,6,0,1770,2682,0,0,0,1736,3374,0,0,3406,1538,,
SatFlowPerm,6,0,1770,2682,0,0,0,853,3374,0,0,3406,1538,,
Allow RTOR,6,1,1,1,1,1,1,1,1,1,1,1,1,,
SatFlowRTOR,6,0,0,127,0,0,0,0,0,0,0,0,101,,
Volume,6,124,0,117,0,0,0,115,257,0,0,464,93,,
Peds,6,0,0,0,0,0,0,0,0,0,0,0,0,,
Bicycles,6,0,0,0,0,0,0,0,0,0,0,0,0,,
PHF,6,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,
Growth,6,100,100,100,100,100,100,100,100,100,100,100,100,,
HeavyVehicles,6,2,0,6,2,2,2,4,7,2,0,6,5,,
BusStops,6,0,0,0,0,0,0,0,0,0,0,0,0,,
Midblock,6,,0,,,0,,,0,,,0,,,
Distance,6,,901,,,1133,,,432,,,355,,,
TravelTime,6,,8.2,,,25.8,,,8.4,,,6.9,,,
Right Channeled,6,,,0,,,0,,,0,,,0,,
Alignment,6,0,0,1,0,0,1,0,0,1,0,0,1,,
Enter Blocked,6,0,0,0,0,0,0,0,0,0,0,0,0,,
HeadwayFact,6,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,
Turning Speed,6,15,60,9,15,60,9,15,60,9,15,60,9,,
FirstDetect,6,20,100,20,,,,20,100,,,100,20,,
LastDetect,6,0,0,0,,,,0,0,,,0,0,,
DetectPhase1,6,5,5,1,,,,3,3,,,1,1,,
DetectPhase2,6,0,0,2,,,,0,0,,,2,2,,
DetectPhase3,6,0,0,4,,,,0,0,,,3,3,,
DetectPhase4,6,0,0,5,,,,0,0,,,4,4,,
SwitchPhase,6,0,0,0,,,,0,0,,,0,0,,
numDetects,6,1,2,1,,,,1,2,,,2,1,,
DetectPos1,6,0,0,0,,,,0,0,,,0,0,,
DetectSize1,6,20,6,20,,,,20,6,,,6,20,,
DetectType1,6,3,3,3,,,,3,3,,,3,3,,
DetectExtend1,6,0,0,0,,,,0,0,,,0,0,,
DetectQueue1,6,0,0,0,,,,0,0,,,0,0,,
DetectDelay1,6,0,0,0,,,,0,0,,,0,0,,
DetectPos2,6,,94,,,,,,94,,,94,,,
DetectSize2,6,,6,,,,,,6,,,6,,,
DetectType2,6,,3,,,,,,3,,,3,,,
DetectExtend2,6,,0,,,,,,0,,,0,,,
Exit Lanes,6,,0,,,0,,,0,,,0,,,
CBD,6,,0,,,,,,,,,,,,
Lane Group Flow,6,0,135,127,0,0,0,125,279,0,0,504,101,,
Up Node,9,11,11,11,10,10,10,6,6,6,14,14,14,,
Dest Node,9,6,10,14,14,11,6,10,14,11,11,6,10,,
Lanes,9,1,1,0,0,1,2,2,1,0,1,2,0,,
Shared,9,0,2,,0,1,,0,2,,0,2,,,
Width,9,12,12,12,12,12,12,12,12,12,12,12,12,,
Storage,9,400,,,,,600,,,,120,,120,,
Taper,9,25,,,,,25,,,,25,,25,,
StLanes,9,1,,,,,2,,,,1,,1,,
Grade,9,,,,,,,,,,,,,,
Speed,9,,50,,,25,,,35,,,35,,,
Phase1,9,,2,,,2,2,3,3,,1,1,,,
Phase2,9,,,,,,3,4,4,,,,,,
Phase3,9,,,,,,4,5,5,,,,,,
PermPhase1,9,2,,,2,,,,,,,,,,
LostTime,9,5.8,5.8,4,5.8,5.8,5.8,4.8,4.8,4,6.2,6.2,4,,
Lost Time Adjust,9,0,0,0,0,0,0,0,0,0,0,0,0,,
IdealFlow,9,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,
SatFlow,9,1641,1514,0,0,1108,2002,3127,1750,0,1752,3413,0,,
SatFlowPerm,9,1294,1514,0,0,880,2002,3127,1750,0,1752,3413,0,,
Allow RTOR,9,1,1,1,1,1,1,1,1,1,1,1,1,,
SatFlowRTOR,9,0,14,0,0,0,81,0,18,0,0,3,0,,
Volume,9,19,16,13,10,2,18,199,136,39,61,520,21,,
Peds,9,0,0,0,0,0,0,0,0,0,0,0,0,,
Bicycles,9,0,0,0,0,0,0,0,0,0,0,0,0,,
PHF,9,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,
Growth,9,100,100,100,100,100,100,100,100,100,100,100,100,,
HeavyVehicles,9,10,31,0,67,50,42,12,5,5,3,4,33,,
BusStops,9,0,0,0,0,0,0,0,0,0,0,0,0,,
Midblock,9,,0,,,0,,,0,,,0,,,
Distance,9,,975,,,1238,,,355,,,342,,,
TravelTime,9,,13.3,,,33.8,,,6.9,,,6.7,,,
Right Channeled,9,,,0,,,0,,,0,,,0,,
