[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,05/19/2021

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,3,2405,-1648,0,,,,,,
2,3,2398,-2913,0,,,,,,
3,0,2390,-4253,0,,,,,,
4,3,4431,-4273,0,,,,,,
5,3,4910,-4270,0,,,,,,
6,3,7680,-4267,0,,,,,,
7,3,2395,-3490,0,,,,,,
8,3,2387,-3846,0,,,,,,
9,3,3085,-4256,0,,,,,,
10,3,3770,-4260,0,,,,,,
11,1,3431,-2891,0,,,,,,
12,1,2411,-701,0,,,,,,
13,1,7681,-3011,0,,,,,,
14,1,1571,-4251,0,,,,,,
15,1,4419,-4964,0,,,,,,
16,1,9421,-4271,0,,,,,,
17,1,4896,-4948,0,,,,,,
18,1,7677,-4784,0,,,,,,
19,1,81,-1641,0,,,,,,
Curve Pt Y,9,,,,
Curve Pt Z,9,,,,
Link Is Hidden,9,,false,false,false
Street Name Is Hidden,9,,false,false,false
Up ID,10,,27,9,4
Lanes,10,,1,1,2
Name,10,,Driveway D,Val Vista Boulevard,Val Vista Boulevard
Distance,10,,445,685,661
Speed,10,,30,45,45
Time,10,,10.1,10.4,10.0
Grade,10,,0,0,0
Median,10,,12,0,0
Offset,10,,0,0,0
TWLTL,10,,0,0,0
Crosswalk Width,10,,16,16,16
Mandatory Distance,10,,200,200,200
Mandatory Distance2,10,,1320,1980,1980
Positioning Distance,10,,880,1320,1320
Positioning Distance2,10,,1760,2640,2640
Curve Pt X,10,,,,
Curve Pt Y,10,,,,
Curve Pt Z,10,,,,
Link Is Hidden,10,,false,false,false
Street Name Is Hidden,10,,false,false,false
Up ID,11,,,2,
Lanes,11,,,1,
Name,11,,,Havasupai Drive,
Distance,11,,,1033,
Speed,11,,,30,
Time,11,,,23.5,
Grade,11,,,0,
Median,11,,,0,
Offset,11,,,0,
TWLTL,11,,,0,
Crosswalk Width,11,,,16,
Mandatory Distance,11,,,200,
Mandatory Distance2,11,,,1320,
Positioning Distance,11,,,880,
Positioning Distance2,11,,,1760,
Curve Pt X,11,,,,
Curve Pt Y,11,,,,
Curve Pt Z,11,,,,
Link Is Hidden,11,,,false,
Street Name Is Hidden,11,,,false,
Up ID,12,1,,,
Lanes,12,2,,,
Name,12,State Route 387,,,
Distance,12,947,,,
Speed,12,30,,,
Time,12,21.5,,,
Grade,12,0,,,
Median,12,12,,,
Offset,12,0,,,
