RECORDNAME,INTID,NB,SB,EB,WB,NE,SW
Up ID,14,,2,,,,
Lanes,14,,1,,,,
Name,14,,Hickory Valley,,,,
Distance,14,,1108,,,,
Speed,14,,35,,,,
Time,14,,21.6,,,,
Grade,14,,0,,,,
Median,14,,12,,,,
Offset,14,,0,,,,
TWLTL,14,,0,,,,
Crosswalk Width,14,,16,,,,
Mandatory Distance,14,,200,,,,
Mandatory Distance2,14,,1539,,,,
Positioning Distance,14,,1026,,,,
Positioning Distance2,14,,2052,,,,
Curve Pt X,14,,,,,,
Curve Pt Y,14,,,,,,
Curve Pt Z,14,,,,,,
Link Is Hidden,14,,false,,,,
Street Name Is Hidden,14,,false,,,,
Up ID,15,,,16,,,
Lanes,15,,,2,,,
Name,15,,,Shallowford Rd.,,,
Distance,15,,,1300,,,
Speed,15,,,40,,,
Time,15,,,22.2,,,
Grade,15,,,0,,,
Median,15,,,12,,,
Offset,15,,,0,,,
TWLTL,15,,,0,,,
Crosswalk Width,15,,,16,,,
Mandatory Distance,15,,,200,,,
Mandatory Distance2,15,,,1761,,,
Positioning Distance,15,,,1174,,,
Positioning Distance2,15,,,2348,,,
Curve Pt X,15,,,,,,
Curve Pt Y,15,,,,,,
Curve Pt Z,15,,,,,,
Link Is Hidden,15,,,false,,,
Street Name Is Hidden,15,,,false,,,
Up ID,16,18,17,19,15,,
Lanes,16,3,3,4,3,,
Name,16,Gunbarrel Road,Gunbarrel Road,Shallowford Rd.,Shallowford Rd.,,
Distance,16,492,813,512,1300,,
Speed,16,40,40,40,40,,
Time,16,8.4,13.9,8.7,22.2,,
Grade,16,0,0,0,0,,
Median,16,24,*12,12,12,,
Offset,16,0,0,0,0,,
TWLTL,16,1,0,1,0,,
Crosswalk Width,16,16,16,16,16,,
Mandatory Distance,16,416,416,416,416,,
Mandatory Distance2,16,1761,1761,1761,1761,,
Positioning Distance,16,1174,1174,1174,1174,,
Positioning Distance2,16,2348,2348,2348,2348,,
Curve Pt X,16,,,,,,
Curve Pt Y,16,,,,,,
Curve Pt Z,16,,,,,,
Link Is Hidden,16,false,false,false,false,,
Street Name Is Hidden,16,false,false,true,false,,
Up ID,17,16,,,,,
Lanes,17,1,,,,,
Name,17,Gunbarrel Road,,,,,
Distance,17,813,,,,,
Speed,17,40,,,,,
Time,17,13.9,,,,,
Grade,17,0,,,,,
Median,17,12,,,,,
Offset,17,0,,,,,
TWLTL,17,0,,,,,
Crosswalk Width,17,16,,,,,
Mandatory Distance,17,200,,,,,
Mandatory Distance2,17,1761,,,,,
Positioning Distance,17,1174,,,,,
Positioning Distance2,17,2348,,,,,
Curve Pt X,17,,,,,,
Curve Pt Y,17,,,,,,
Curve Pt Z,17,,,,,,
Link Is Hidden,17,false,,,,,
Street Name Is Hidden,17,false,,,,,
Up ID,18,,16,,,,
Lanes,18,,*2,,,,
Name,18,,Gunbarrel Road,,,,
Distance,18,,492,,,,
Speed,18,,40,,,,
Time,18,,8.4,,,,
Grade,18,,0,,,,
Median,18,,12,,,,
Offset,18,,0,,,,
TWLTL,18,,1,,,,
Crosswalk Width,18,,16,,,,
Mandatory Distance,18,,200,,,,
Mandatory Distance2,18,,1761,,,,
Positioning Distance,18,,1174,,,,
Positioning Distance2,18,,2348,,,,
Curve Pt X,18,,,,,,
Curve Pt Y,18,,,,,,
Curve Pt Z,18,,,,,,
Link Is Hidden,18,,false,,,,
Street Name Is Hidden,18,,false,,,,
Up ID,19,21,20,22,16,,
Lanes,19,2,2,3,3,,
Name,19,Lifestyle Way,Lifestyle Way,Shallowford Rd.,Shallowford Rd.,,
Distance,19,350,388,808,512,,
Speed,19,15,25,40,40,,
Time,19,15.9,10.6,13.8,8.7,,
Grade,19,0,0,0,0,,
Median,19,*0,12,12,12,,
Offset,19,0,0,0,0,,
TWLTL,19,0,0,1,1,,
Crosswalk Width,19,16,16,16,16,,
Mandatory Distance,19,416,416,416,416,,
Mandatory Distance2,19,660,1101,1761,1761,,
Positioning Distance,19,440,734,1174,1174,,
Positioning Distance2,19,880,1468,2348,2348,,
Curve Pt X,19,,,,,,
Curve Pt Y,19,,,,,,
Curve Pt Z,19,,,,,,
Link Is Hidden,19,false,false,false,false,,
Street Name Is Hidden,19,false,false,false,true,,
Up ID,20,19,,,,,
Lanes,20,1,,,,,
Name,20,Lifestyle Way,,,,,
Distance,20,388,,,,,
Speed,20,25,,,,,
Time,20,10.6,,,,,
Grade,20,0,,,,,
Median,20,12,,,,,
Offset,20,0,,,,,
TWLTL,20,0,,,,,
Crosswalk Width,20,16,,,,,
Mandatory Distance,20,200,,,,,
Mandatory Distance2,20,1101,,,,,
Positioning Distance,20,734,,,,,
Positioning Distance2,20,1468,,,,,
Curve Pt X,20,,,,,,
Curve Pt Y,20,,,,,,
Curve Pt Z,20,,,,,,
Link Is Hidden,20,false,,,,,
Street Name Is Hidden,20,false,,,,,
Up ID,21,,19,,,,
Lanes,21,,1,,,,
Name,21,,Lifestyle Way,,,,
Distance,21,,350,,,,
Speed,21,,15,,,,
Time,21,,15.9,,,,
Grade,21,,0,,,,
Median,21,,0,,,,
Offset,21,,0,,,,
TWLTL,21,,0,,,,
Crosswalk Width,21,,16,,,,
Mandatory Distance,21,,200,,,,
Mandatory Distance2,21,,660,,,,
Positioning Distance,21,,440,,,,
Positioning Distance2,21,,880,,,,
Curve Pt X,21,,,,,,
Curve Pt Y,21,,,,,,
Curve Pt Z,21,,,,,,
Link Is Hidden,21,,false,,,,
Street Name Is Hidden,21,,false,,,,
Up ID,22,24,23,11,19,,
Lanes,22,3,2,5,3,,
Name,22,Hamilton Place Blvd.,Napier Dr.,Shallowford Rd.,Shallowford Rd.,,
Distance,22,506,375,300,808,,
Speed,22,35,25,40,40,,
Time,22,9.9,10.2,5.1,13.8,,
Grade,22,0,0,0,0,,
Median,22,12,*0,12,12,,
