lane_id,link_id,lane_num,length_m,speed_mps,geometry,type,movement_name,mvmt_id,up_node,dest_node,volume,numDetects,is_turn_bay_lane,is_added_turn_bay_lane
85_84_2,85_84,2,78.0438,20.1168,"POLYGON ((-114.598995 34.982363, -114.59814 34.982363, -114.59814 34.982396, -114.598995 34.982396, -114.598995 34.982363))",thru,EBT,85_84_86_EBT,85,86,8.0,2,False,False
86_84_0,86_84,0,105.786424,20.1168,"POLYGON ((-114.596982 34.982382, -114.59814 34.982379, -114.59814 34.982346, -114.596982 34.982349, -114.596982 34.982382))",thru,WBT,86_84_85_WBT,86,85,10.0,2,False,False
86_84_1,86_84,1,105.786424,20.1168,"POLYGON ((-114.596982 34.982349, -114.59814 34.982346, -114.59814 34.982313, -114.596982 34.982316, -114.596982 34.982349))",thru,WBT,86_84_85_WBT,86,85,10.0,2,False,False
87_31_0,87_31,0,173.769739,20.1168,"POLYGON ((-114.598207 34.967757, -114.59821 34.966191, -114.59817 34.966191, -114.598167 34.967757, -114.598207 34.967757))",thru,,,87,,,,False,False
87_31_1,87_31,1,173.769739,20.1168,"POLYGON ((-114.598167 34.967757, -114.59817 34.966191, -114.59813 34.966191, -114.598127 34.967757, -114.598167 34.967757))",thru,,,87,,,,False,False
87_88_0,87_88,0,60.972496,20.1168,"POLYGON ((-114.598167 34.96779, -114.598834 34.967793, -114.598834 34.96776, -114.598167 34.967757, -114.598167 34.96779))",thru,,,87,,,,False,False
87_88_1,87_88,1,60.972496,20.1168,"POLYGON ((-114.598167 34.967757, -114.598834 34.96776, -114.598834 34.967727, -114.598167 34.967724, -114.598167 34.967757))",thru,,,87,,,,False,False
87_89_0,87_89,0,109.143286,20.1168,"POLYGON ((-114.598167 34.967724, -114.596972 34.967716, -114.596972 34.967749, -114.598167 34.967757, -114.598167 34.967724))",thru,,,87,,,,False,False
87_89_1,87_89,1,109.143286,20.1168,"POLYGON ((-114.598167 34.967757, -114.596972 34.967749, -114.596972 34.967782, -114.598166 34.96779, -114.598167 34.967757))",thru,,,87,,,,False,False
87_98_0,87_98,0,1218.215953,20.1168,"POLYGON ((-114.598107 34.967757, -114.59812 34.978736, -114.59816 34.978736, -114.598147 34.967757, -114.598107 34.967757))",thru,NBT,87_98_84_NBT,87,84,730.0,2,False,False
87_98_1,87_98,1,1218.215953,20.1168,"POLYGON ((-114.598147 34.967757, -114.59816 34.978736, -114.5982 34.978736, -114.598187 34.967757, -114.598147 34.967757))",thru,NBT,87_98_84_NBT,87,84,730.0,2,False,False
87_98_2,87_98,2,1218.215953,20.1168,"POLYGON ((-114.598187 34.967757, -114.5982 34.978736, -114.59824 34.978736, -114.598227 34.967757, -114.598187 34.967757))",left,NBL,87_98_97_NBL,87,97,74.0,1,False,False
88_87_0,88_87,0,60.972496,20.1168,"POLYGON ((-114.598835 34.967711, -114.598167 34.967708, -114.598167 34.967741, -114.598834 34.967744, -114.598835 34.967711))",thru,EBT,88_87_89_EBT,88,89,15.0,2,False,False
88_87_1,88_87,1,60.972496,20.1168,"POLYGON ((-114.598834 34.967744, -114.598167 34.967741, -114.598167 34.967774, -114.598834 34.967776, -114.598834 34.967744))",thru,EBT,88_87_89_EBT,88,89,15.0,2,False,False
88_87_2,88_87,2,60.972496,20.1168,"POLYGON ((-114.598834 34.967776, -114.598167 34.967774, -114.598166 34.967807, -114.598834 34.967809, -114.598834 34.967776))",left,EBL,88_87_98_EBL,88,98,23.0,1,False,False
89_87_0,89_87,0,109.143286,20.1168,"POLYGON ((-114.596971 34.967798, -114.598166 34.967807, -114.598167 34.967774, -114.596972 34.967766, -114.596971 34.967798))",thru,WBT,89_87_88_WBT,89,88,19.0,2,False,False
89_87_1,89_87,1,109.143286,20.1168,"POLYGON ((-114.596972 34.967766, -114.598167 34.967774, -114.598167 34.967741, -114.596972 34.967733, -114.596972 34.967766))",thru,WBT,89_87_88_WBT,89,88,19.0,2,False,False
89_87_2,89_87,2,109.143286,20.1168,"POLYGON ((-114.596972 34.967733, -114.598167 34.967741, -114.598167 34.967708, -114.596972 34.9677, -114.596972 34.967733))",left,WBL,89_87_31_WBL,89,31,77.0,1,False,False
97_98_0,97_98,0,86.961683,20.1168,"POLYGON ((-114.599129 34.978654, -114.598178 34.978687, -114.598179 34.97872, -114.599131 34.978687, -114.599129 34.978654))",left,EBL,97_98_84_EBL,97,84,21.0,1,False,False
97_98_1,97_98,1,86.961683,20.1168,"POLYGON ((-114.599131 34.978687, -114.598179 34.97872, -114.598181 34.978752, -114.599132 34.978719, -114.599131 34.978687))",left,EBL,97_98_84_EBL,97,84,21.0,1,False,False
97_98_2,97_98,2,86.961683,20.1168,"POLYGON ((-114.599132 34.978719, -114.598181 34.978752, -114.598183 34.978785, -114.599134 34.978752, -114.599132 34.978719))",left,EBL,97_98_84_EBL,97,84,21.0,1,False,False
98_84_0,98_84,0,400.600989,20.1168,"POLYGON ((-114.5981 34.978735, -114.59806 34.982346, -114.5981 34.982346, -114.59814 34.978736, -114.5981 34.978735))",thru,NBT,98_84_82_NBT,98,82,745.0,2,False,False
98_84_1,98_84,1,400.600989,20.1168,"POLYGON ((-114.59814 34.978736, -114.5981 34.982346, -114.59814 34.982346, -114.59818 34.978736, -114.59814 34.978736))",thru,NBT,98_84_82_NBT,98,82,745.0,2,False,False
98_84_2,98_84,2,400.600989,20.1168,"POLYGON ((-114.59818 34.978736, -114.59814 34.982346, -114.59818 34.982346, -114.59822 34.978736, -114.59818 34.978736))",thru,NBT,98_84_82_NBT,98,82,745.0,2,False,False
98_84_3,98_84,3,400.600989,20.1168,"POLYGON ((-114.59822 34.978736, -114.59818 34.982346, -114.59822 34.982347, -114.59826 34.978737, -114.59822 34.978736))",left,NBL,98_84_85_NBL,98,85,17.0,1,False,False
98_87_0,98_87,0,1218.215953,20.1168,"POLYGON ((-114.59824 34.978736, -114.598227 34.967757, -114.598187 34.967757, -114.5982 34.978736, -114.59824 34.978736))",thru,SBT,98_87_31_SBT,98,31,483.0,2,False,False
98_87_1,98_87,1,1218.215953,20.1168,"POLYGON ((-114.5982 34.978736, -114.598187 34.967757, -114.598147 34.967757, -114.59816 34.978736, -114.5982 34.978736))",thru,SBT,98_87_31_SBT,98,31,483.0,2,False,False
98_87_2,98_87,2,1218.215953,20.1168,"POLYGON ((-114.59816 34.978736, -114.598147 34.967757, -114.598107 34.967757, -114.59812 34.978736, -114.59816 34.978736))",left,SBL,98_87_89_SBL,98,89,21.0,1,False,False
98_97_0,98_97,0,86.961683,20.1168,"POLYGON ((-114.598181 34.978752, -114.599132 34.978719, -114.599131 34.978687, -114.598179 34.97872, -114.598181 34.978752))",thru,,,98,,,,False,False
