[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.5
allRedTime,1.0
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,03/03/2016
ScenarioTime,7:00 am

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,-2456,151,0,,,,,,
2,1,-1023,511,0,,,,,,
3,1,-1146,-875,0,,,,,,
4,1,2805,-744,0,,,,,,
5,1,2809,351,0,,,,,,
6,3,969,-124,0,,,,,,
7,1,4450,199,0,,,,,,
8,1,4446,-335,0,,,,,,
9,1,-535,-544,0,,,,,,
10,1,-2462,-785,0,,,,,,
11,0,-5105,-140,0,,,,,,
12,0,-3602,-124,0,,,,,,
13,0,-2455,-124,0,,,,,,
14,0,-1132,-117,0,,,,,,
15,0,45,-121,0,,,,,,
16,0,1505,-125,0,,,,,,
17,0,2809,-123,0,,,,,,
18,0,4446,-116,0,,,,,,
19,0,5440,-115,0,,,,,,
20,1,-3609,-388,0,,,,,,
21,1,970,235,0,,,,,,
22,1,968,-479,0,,,,,,
23,1,-522,137,0,,,,,,
24,2,-5484,-144,0,,,,,,
101,1,-7205,-144,0,,,,,,
102,1,-5099,1187,0,,,,,,
103,1,-1208,1488,0,,,,,,
104,1,275,453,0,,,,,,
105,1,1588,534,0,,,,,,
106,1,5440,1186,0,,,,,,
Crosswalk Width,12,16,,16,16,,
Mandatory Distance,12,575,,575,575,,
Mandatory Distance2,12,1101,,1539,1539,,
Positioning Distance,12,734,,1026,1026,,
Positioning Distance2,12,1468,,2052,2052,,
Curve Pt X,12,,,,,,
Curve Pt Y,12,,,,,,
Curve Pt Z,12,,,,,,
Link Is Hidden,12,false,,false,false,,
Street Name Is Hidden,12,false,,false,false,,
Up ID,13,10,1,12,14,,
Lanes,13,2,2,4,4,,
Name,13,N 31st Ave,N 31st Ave,Dunlap Ave,Dunlap Ave,,
Distance,13,661,275,1147,1323,,
Speed,13,30,25,35,40,,
Time,13,15.0,7.5,22.3,22.6,,
Grade,13,0,0,0,0,,
Median,13,0,0,*12,*12,,
Offset,13,0,0,0,0,,
TWLTL,13,0,0,1,0,,
Crosswalk Width,13,16,16,16,16,,
Mandatory Distance,13,575,575,575,575,,
Mandatory Distance2,13,1320,1101,1539,1761,,
Positioning Distance,13,880,734,1026,1174,,
Positioning Distance2,13,1760,1468,2052,2348,,
Curve Pt X,13,,,,,,
Curve Pt Y,13,,,,,,
Curve Pt Z,13,,,,,,
Link Is Hidden,13,false,false,false,false,,
Street Name Is Hidden,13,false,false,false,false,,
Up ID,14,3,2,13,2001,,
Lanes,14,2,3,5,5,,
Name,14,N 29th Ave,N 29th Ave,Dunlap Ave,Dunlap Ave,,
Distance,14,758,639,1323,602,,
Speed,14,25,35,40,40,,
Time,14,20.7,12.4,22.6,10.3,,
Grade,14,0,0,0,0,,
Median,14,*12,24,*28,*28,,
Offset,14,0,0,0,0,,
TWLTL,14,0,0,0,0,,
Crosswalk Width,14,16,16,16,16,,
Mandatory Distance,14,575,575,575,575,,
Mandatory Distance2,14,1101,1539,1761,1761,,
Positioning Distance,14,734,1026,1174,1174,,
Positioning Distance2,14,1468,2052,2348,2348,,
Curve Pt X,14,,-1116,,,,
Curve Pt Y,14,,61,,,,
Curve Pt Z,14,,0,,,,
Link Is Hidden,14,false,false,false,false,,
Street Name Is Hidden,14,false,false,false,false,,
Up ID,15,111,104,2001,6,110,103
Lanes,15,0,0,8,6,6,6
Name,15,I-17 SPUI,I-17 SPUI,Dunlap Ave,Dunlap Ave,,
Distance,15,676,618,575,924,1952,2039
Speed,15,40,40,40,40,40,40
Time,15,11.5,10.5,9.8,15.8,33.3,34.8
Grade,15,0,0,0,0,0,0
Median,15,0,0,24,24,24,24
Offset,15,0,0,0,0,0,0
TWLTL,15,0,0,0,0,0,0
Crosswalk Width,15,16,16,16,16,16,16
Mandatory Distance,15,575,575,575,575,575,575
Mandatory Distance2,15,1761,1761,1761,1761,1761,1761
Positioning Distance,15,1174,1174,*1174,1174,1174,1174
Positioning Distance2,15,2348,2348,2348,2348,2348,2348
Curve Pt X,15,,,,,,
Curve Pt Y,15,,,,,,
Curve Pt Z,15,,,,,,
Link Is Hidden,15,false,false,false,false,false,false
Street Name Is Hidden,15,false,false,false,false,false,false
Up ID,16,109,105,6,2002,,
Lanes,16,2,3,5,4,,
Name,16,N 25th Ave,N 25th Ave,Dunlap Ave,Dunlap Ave,,
Distance,16,383,671,536,367,,
Speed,16,25,30,40,40,,
